symbol,timeframe,segment,arm,arm_label,lens,no_same_step_tp,combine_obs,max_zone_width_atr,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
TRX/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.8429516417299099,211,211,0,471,0.4198984416435534,0.1582716276582827,0.6409630035717658,0.0,200,0,1386,9.937541528239205
TRX/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.037996314386073,59,59,0,151,0.026040891499166,-0.0448814143742025,0.1049470864829336,0.35,200,0,1386,1.595144253507804
DOGE/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.3854526366992777,232,232,0,453,0.7029618276320437,0.3743552937303129,1.0941116937462143,0.0,200,0,1421,25.328068916008615
DOGE/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.0948382324843665,89,89,0,171,0.0690715302059268,-0.0663919110398954,0.2044356965305261,0.34,200,0,1421,-0.313523631258774
DOGE/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.178440792963831,223,223,0,442,0.5076857968826965,0.2011867699164168,0.8825521021574925,0.0,200,0,1421,25.328068916008615
DOGE/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.0949786293775654,85,85,0,168,0.0476988615766266,-0.1164462535623597,0.1979414490663832,0.27,200,0,1421,-0.313523631258774
LINK/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.8881992377323644,266,266,0,537,0.5693481939997337,0.2224209407088254,0.8901274792785214,0.03,200,0,1453,-0.2850652568974062
LINK/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.0995625077692251,92,92,0,184,-0.0222014699647132,-0.131668171992224,0.0964675994142644,0.025,200,0,1453,-0.1861011848786911
LINK/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.6867791740700421,253,253,0,528,0.3998179586939516,0.0882691910680498,0.7333952124767497,0.065,200,0,1453,-0.2850652568974062
LINK/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.043503344552021,88,88,0,179,-0.069936998962768,-0.18677580567728,0.0496138641173265,0.04,200,0,1453,-0.1861011848786911
