timeframe,segment,feature,axis,excluded_symbol,n,correlation
15m,is,band_lower_slope_3_atr,death_vs_rest,BTC/USDT:USDT,4796,0.04510300235024089
15m,is,band_lower_slope_3_atr,death_vs_rest,ETH/USDT:USDT,4777,0.04890489575873783
15m,is,band_lower_slope_3_atr,death_vs_rest,SOL/USDT:USDT,4512,0.057522630903311396
15m,is,band_lower_slope_3_atr,death_vs_rest,BNB/USDT:USDT,4698,0.049040181527523576
15m,is,band_lower_slope_3_atr,death_vs_rest,XRP/USDT:USDT,4667,0.058889216986613604
15m,is,band_lower_slope_3_atr,death_vs_rest,TRX/USDT:USDT,4830,0.04597971431739512
15m,is,band_lower_slope_3_atr,death_vs_rest,DOGE/USDT:USDT,4683,0.05395421481554896
15m,is,band_lower_slope_3_atr,death_vs_rest,LINK/USDT:USDT,4615,0.05414719400217973
15m,is,band_lower_slope_3_atr,death_vs_rest,LTC/USDT:USDT,4662,0.05311321639155794
15m,oos,band_lower_slope_3_atr,death_vs_rest,BTC/USDT:USDT,2393,0.08982039266080018
15m,oos,band_lower_slope_3_atr,death_vs_rest,ETH/USDT:USDT,2264,0.08326778515937935
15m,oos,band_lower_slope_3_atr,death_vs_rest,SOL/USDT:USDT,2163,0.08906720192679449
15m,oos,band_lower_slope_3_atr,death_vs_rest,BNB/USDT:USDT,2380,0.09237211409022449
15m,oos,band_lower_slope_3_atr,death_vs_rest,XRP/USDT:USDT,2247,0.10522474966162136
15m,oos,band_lower_slope_3_atr,death_vs_rest,TRX/USDT:USDT,2488,0.09163172914598462
15m,oos,band_lower_slope_3_atr,death_vs_rest,DOGE/USDT:USDT,2181,0.09462350794756463
15m,oos,band_lower_slope_3_atr,death_vs_rest,LINK/USDT:USDT,2195,0.10410752402674031
15m,oos,band_lower_slope_3_atr,death_vs_rest,LTC/USDT:USDT,2225,0.0900748501905264
15m,is,band_lower_slope_3_pct,death_vs_rest,BTC/USDT:USDT,4796,0.04863963963011507
15m,is,band_lower_slope_3_pct,death_vs_rest,ETH/USDT:USDT,4777,0.049540226691591895
15m,is,band_lower_slope_3_pct,death_vs_rest,SOL/USDT:USDT,4512,0.0574404236228239
15m,is,band_lower_slope_3_pct,death_vs_rest,BNB/USDT:USDT,4698,0.04946773823515521
15m,is,band_lower_slope_3_pct,death_vs_rest,XRP/USDT:USDT,4667,0.05332514343500325
15m,is,band_lower_slope_3_pct,death_vs_rest,TRX/USDT:USDT,4830,0.04673788112894456
15m,is,band_lower_slope_3_pct,death_vs_rest,DOGE/USDT:USDT,4683,0.05402693737881358
15m,is,band_lower_slope_3_pct,death_vs_rest,LINK/USDT:USDT,4615,0.05098251792324179
15m,is,band_lower_slope_3_pct,death_vs_rest,LTC/USDT:USDT,4662,0.051521000933785074
15m,oos,band_lower_slope_3_pct,death_vs_rest,BTC/USDT:USDT,2393,0.09202863072398412
15m,oos,band_lower_slope_3_pct,death_vs_rest,ETH/USDT:USDT,2264,0.08791852984522851
15m,oos,band_lower_slope_3_pct,death_vs_rest,SOL/USDT:USDT,2163,0.08892744877318844
15m,oos,band_lower_slope_3_pct,death_vs_rest,BNB/USDT:USDT,2380,0.09273698205318295
15m,oos,band_lower_slope_3_pct,death_vs_rest,XRP/USDT:USDT,2247,0.10772574346215405
15m,oos,band_lower_slope_3_pct,death_vs_rest,TRX/USDT:USDT,2488,0.08949513054291394
15m,oos,band_lower_slope_3_pct,death_vs_rest,DOGE/USDT:USDT,2181,0.09106132705188483
15m,oos,band_lower_slope_3_pct,death_vs_rest,LINK/USDT:USDT,2195,0.10022795116031266
15m,oos,band_lower_slope_3_pct,death_vs_rest,LTC/USDT:USDT,2225,0.08991348279976069
15m,is,band_lower_slope_5_atr,death_vs_rest,BTC/USDT:USDT,4796,0.03934787866995339
15m,is,band_lower_slope_5_atr,death_vs_rest,ETH/USDT:USDT,4777,0.04485177422543847
15m,is,band_lower_slope_5_atr,death_vs_rest,SOL/USDT:USDT,4512,0.05115042417592137
15m,is,band_lower_slope_5_atr,death_vs_rest,BNB/USDT:USDT,4698,0.04507889344079339
15m,is,band_lower_slope_5_atr,death_vs_rest,XRP/USDT:USDT,4667,0.05271941682027016
15m,is,band_lower_slope_5_atr,death_vs_rest,TRX/USDT:USDT,4830,0.04014792336068954
15m,is,band_lower_slope_5_atr,death_vs_rest,DOGE/USDT:USDT,4683,0.04999572529113826
15m,is,band_lower_slope_5_atr,death_vs_rest,LINK/USDT:USDT,4615,0.049601665926966604
15m,is,band_lower_slope_5_atr,death_vs_rest,LTC/USDT:USDT,4662,0.04735555244739021
15m,oos,band_lower_slope_5_atr,death_vs_rest,BTC/USDT:USDT,2393,0.08593459916911225
15m,oos,band_lower_slope_5_atr,death_vs_rest,ETH/USDT:USDT,2264,0.08303566879103659
15m,oos,band_lower_slope_5_atr,death_vs_rest,SOL/USDT:USDT,2163,0.08581317542079507
15m,oos,band_lower_slope_5_atr,death_vs_rest,BNB/USDT:USDT,2380,0.08708823400636136
15m,oos,band_lower_slope_5_atr,death_vs_rest,XRP/USDT:USDT,2247,0.10474752164454772
15m,oos,band_lower_slope_5_atr,death_vs_rest,TRX/USDT:USDT,2488,0.09384854469709232
15m,oos,band_lower_slope_5_atr,death_vs_rest,DOGE/USDT:USDT,2181,0.09345927079151332
15m,oos,band_lower_slope_5_atr,death_vs_rest,LINK/USDT:USDT,2195,0.09747135051081655
15m,oos,band_lower_slope_5_atr,death_vs_rest,LTC/USDT:USDT,2225,0.08581043681091048
15m,is,band_lower_slope_5_pct,death_vs_rest,BTC/USDT:USDT,4796,0.046338638131548114
15m,is,band_lower_slope_5_pct,death_vs_rest,ETH/USDT:USDT,4777,0.04803862277312189
15m,is,band_lower_slope_5_pct,death_vs_rest,SOL/USDT:USDT,4512,0.053807868771407426
15m,is,band_lower_slope_5_pct,death_vs_rest,BNB/USDT:USDT,4698,0.047595296183573124
