arm,label,detector,overlap_gate,retap_mode,timeframes,segment,num_cells,num_symbols,num_candidates,num_trades,trades_per_symbol,symbols_below_gate,win_rate,mean_net_r,net_r_stderr,net_r,gross_r,mean_gross_r_after_slippage,slippage_r,cost_r,identity_max_abs,stop_width_p10,stop_width_p50,stop_width_p90,total_return,max_drawdown,wallet_defined,peak_concurrency,max_concurrent_risk,liquidation_events
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,every_tap,"1h,2h,4h",full,36,12,33901,19166,1597.1666666666667,0,0.3944485025566107,-0.0759577649993105,0.0090120913232307,-1455.8065239767857,-0.0137825353175963,-0.0359802366061826,0.0221977012885861,0.0621752296817139,2.8421709430404014e-14,0.0069884264097474,0.0175711893952576,0.0436769458008895,-0.9999999874012412,0.99999999056151,True,23,0.2297938175932677,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,every_tap,"1h,2h,4h",is,36,12,22696,12891,1074.25,0,0.3960902955550384,-0.0670104695107627,0.0109734678146501,-863.8319624632428,-0.0098432912698657,-0.0298469397307629,0.0200036484608972,0.0571671782408969,2.8421709430404014e-14,0.0077894865919677,0.0192407523406479,0.0484418703139285,-0.999992715209552,0.9999938971871508,True,23,0.2297938175932677,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,every_tap,"1h,2h,4h",oos_warm,36,12,11205,6276,523.0,0,0.3911727214786488,-0.0942343714090144,0.0157915622962572,-591.4149149629746,-0.021774390040958,-0.0484791131478453,0.0267047231068874,0.0724599813680565,5.684341886080804e-14,0.0057949641397652,0.0147170649250266,0.0346085489605012,-0.998261273996701,0.999485494526616,True,20,0.2044458525379811,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,every_tap,"1h,2h,4h",oos,36,12,10868,6117,509.75,0,0.3905509236553866,-0.0970679095493501,0.0159929347736302,-593.7644027133747,-0.0238005295274207,-0.0507915647154799,0.0269910351880592,0.0732673800219295,5.684341886080804e-14,0.0057296333683107,0.0145552882298419,0.0340876796938165,-0.9982853526344349,0.9993641883557336,True,20,0.2044458525379812,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,every_tap,"1h,2h,4h",full,36,12,58136,34366,2863.8333333333335,0,0.3913751964150614,-0.1059416524644939,0.0067790402725106,-3640.7908285947983,-0.0216522674772356,-0.0521391682393391,0.0304869007621035,0.0842893849872582,2.8421709430404014e-14,0.0052236707445252,0.0127497938485441,0.0324065767341622,-0.9999999999999944,0.9999999999999968,True,24,0.5517880711574105,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,every_tap,"1h,2h,4h",is,36,12,38478,23039,1919.9166666666667,0,0.3920309041191024,-0.097753678111845,0.0082582529113462,-2252.1469900187976,-0.019922739702244,-0.0476543310318841,0.02773159132964,0.0778309384096005,2.8421709430404014e-14,0.0057995397272771,0.0137119343799312,0.0350519329584147,-0.9999999997015896,0.9999999998371248,True,24,0.5517880711574105,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,every_tap,"1h,2h,4h",oos_warm,36,12,19658,11327,943.9166666666666,0,0.3900414937759336,-0.1225959069988532,0.0118681720133693,-1388.6438385760105,-0.0251701089540637,-0.0612612803981241,0.0360911714440602,0.0974257980447892,2.8421709430404014e-14,0.004362639962545,0.011086111021057,0.0265368066766771,-0.9999790887901178,0.9999854398698742,True,22,0.2302630372950227,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,every_tap,"1h,2h,4h",oos,36,12,19219,11180,931.6666666666666,0,0.3881037567084078,-0.1282772197019843,0.0119367950547448,-1434.1393162681843,-0.0299962671326542,-0.0664224540855205,0.0364261869528661,0.0982809525693298,2.8421709430404014e-14,0.0043402945809839,0.0109853655018131,0.0259858158652766,-0.9999858584385084,0.9999889336536556,True,22,0.2335671379656654,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,once,"1h,2h,4h",full,36,12,14943,13845,1153.75,0,0.4047670639219935,-0.0515449335397333,0.010657921514071673,-713.6396048576075,0.01184509631826555,-0.010605343085132543,0.02245043940339799,0.06339002985799869,2.842170943040401e-14,0.006805820286435091,0.017242809748985236,0.04292156745122787,-0.9998783505084151,0.9999348683270941,True,20,0.20290360420155526,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,once,"1h,2h,4h",is,36,12,9994,9310,775.8333333333334,0,0.40354457572502683,-0.049521492599621346,0.012960797910265527,-461.0450961024747,0.008765857383475923,-0.011431732598092157,0.020197589981568086,0.05828734998309758,2.842170943040401e-14,0.007663548262915884,0.018941355846539665,0.047008058106563,-0.9981445249731008,0.998977177315537,True,20,0.20290360420155526,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,once,"1h,2h,4h",oos_warm,36,12,4949,4535,377.9166666666667,0,0.40749724366041895,-0.05534225976162625,0.01872937329875939,-250.97714801897504,0.018521578506369707,-0.008553961929742261,0.02707554043611195,0.07386383826799604,1.1368683772161603e-13,0.005696441877733448,0.014259648070385848,0.03426450181494864,-0.9333820733722221,0.9831666696922677,True,18,0.19323308885011461,0
flux_L0,FluxCharts 생짜(= 사다리 `L0`의 탐지기),flux,False,once,"1h,2h,4h",oos,36,12,4837,4430,369.1666666666667,0,0.40677200902934535,-0.057751598951491394,0.018947665621464,-255.83958335510687,0.016703241202344603,-0.01058827202376534,0.02729151322610994,0.07445484015383612,5.684341886080802e-14,0.005669654112655737,0.014113349272004512,0.0339216570349376,-0.9347962945552503,0.9813683257359909,True,18,0.1932330888501145,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,once,"1h,2h,4h",full,36,12,33103,28382,2365.1666666666665,0,0.3897893030794165,-0.11384731384853336,0.007464912126734025,-3231.2144616490737,-0.025603796873941792,-0.05748809406394403,0.03188429719000244,0.08824351697459172,2.842170943040401e-14,0.005008575116958276,0.012355711440799718,0.03117880459720061,-0.9999999999988857,0.9999999999993013,True,32,0.37102525553914517,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,once,"1h,2h,4h",is,36,12,22009,19033,1586.0833333333333,0,0.3873272736825514,-0.11403584170550704,0.009080826032463754,-2170.4441751809154,-0.03168181579362161,-0.06109554587324226,0.02941373007962073,0.08235402591188516,2.842170943040401e-14,0.0055389786402417745,0.013155760949361618,0.03381604165198046,-0.9999999966739473,0.9999999977688121,True,32,0.37102525553914517,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,once,"1h,2h,4h",oos_warm,36,12,11094,9349,779.0833333333334,0,0.39480158305701146,-0.11346350267067862,0.013108161027694866,-1060.7702864681744,-0.013229967149023051,-0.05014392567306051,0.03691395852403745,0.10023353552165544,2.842170943040401e-14,0.004231397119865373,0.010787857557081674,0.025632557126940313,-0.999664928635445,0.9997818069034832,True,22,0.21737413373806067,0
lux_L0,LuxAlgo 생짜(거래량 피벗),lux,False,once,"1h,2h,4h",oos,36,12,10991,9271,772.5833333333334,0,0.39305360802502426,-0.11830837372995921,0.013153060832822423,-1096.8369328504518,-0.01760187281590084,-0.054706693487220265,0.037104820671319406,0.10070650091405821,2.842170943040401e-14,0.004220505610071855,0.01072844995953041,0.025407371705408344,-0.9997557197213266,0.9998412976271357,True,22,0.21790328690922597,0
flux_L0∩lux,flux 생짜 × **lux 겹침 게이트**,flux,True,once,"1h,2h,4h",full,36,12,3907,3879,323.25,0,0.3268883732920856,-0.2519235887361953,0.019243100243052248,-977.2116007077016,-0.18307322456395864,-0.20915507144083353,0.026081846876875047,0.06885036417223697,2.842170943040401e-14,0.0064056840704448505,0.016568438953479616,0.040830149888984,-0.9999037219848463,0.9999092163358495,True,13,0.12993139636586087,0
flux_L0∩lux,flux 생짜 × **lux 겹침 게이트**,flux,True,once,"1h,2h,4h",is,36,12,2672,2646,220.5,0,0.3216175359032502,-0.25837793672692866,0.023136515386259163,-683.6680205794532,-0.19595616024187457,-0.21926410837760063,0.023307948135726335,0.0624217764850539,2.842170943040401e-14,0.007338336896376996,0.018456381391637078,0.04362449515029798,-0.9988384926125433,0.9989115924904007,True,13,0.12993139636586087,0
flux_L0∩lux,flux 생짜 × **lux 겹침 게이트**,flux,True,once,"1h,2h,4h",oos_warm,36,12,1235,1233,102.75,0,0.3381995133819951,-0.23807265217214096,0.034647645871060125,-293.5435801282498,-0.15542663267120466,-0.1874612257517125,0.032034593080507864,0.08264601950093611,2.842170943040401e-14,0.005326275447472517,0.013600394549632354,0.03311313038587769,-0.9171094250510272,0.9279713843353549,True,7,0.07064805350482062,0
flux_L0∩lux,flux 생짜 × **lux 겹침 게이트**,flux,True,once,"1h,2h,4h",oos,36,12,1189,1187,98.91666666666667,0,0.33614153327716934,-0.24375065845126923,0.035251058240110225,-289.33203158165657,-0.1606074457317568,-0.19279404409393597,0.03218659836217915,0.08314321271951207,2.842170943040401e-14,0.0052978473581968165,0.013447368896521823,0.03317565908774619,-0.9161812854282958,0.9205910785144314,True,7,0.0706480535048206,0
