arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,lens,net_r_stderr,gross_r,cost_r,breakeven_win_rate,breakeven_win_rate_zero_cost,win_rate_margin,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
기준,0.003,1.5,full,False,44,11,46015,0.40551993915027706,-0.09484302238913869,-0.025333980847863247,-25.871911460164437,16.938501348552098,-1.5274026271737415,22,97.21662296151227,97.21662296151227,0.6068238617842008,0.052121395425067246,40453,16704,95866,0,3090,baseline,0.0059393047142002,0.013767036757219814,0.10861005914635952,0.4434440236585438,0.4,-0.03792408450826673,3946,0.08575464522438335,,-ADA
기준,0.003,1.5,oos_warm,False,44,11,13779,0.4024239785180347,-0.11566746470399684,-0.03815689896394379,-9.653442749466135,9.326154680902626,-1.0350935706903623,16,470.70724377587294,470.70724377587294,0.6976558531098048,0.04872024678330066,11376,16704,95866,0,685,baseline,0.01088321163217058,0.005950373494699921,0.12161783819869688,0.4486471352794788,0.4,-0.04622315676144412,936,0.06792945787067277,,-ADA
기준,0.003,1.5,full,False,44,11,45782,0.4043510549997816,-0.09811771353495244,-0.028242293070895416,-27.264965409177115,17.264002209220607,-1.5792957553385303,23,61.55465650322021,61.55465650322021,0.6077716132978026,0.04368180611080264,40482,16564,95938,0,3109,baseline,0.005950687532624894,0.010877927871606064,0.10899564140655907,0.44359825656262364,0.4,-0.03924720156284206,3830,0.08365733257612162,,-BCH
기준,0.003,1.5,oos_warm,False,44,11,13675,0.39882998171846434,-0.12488040219129397,-0.0471513318014577,-10.59689744761624,8.306907617164761,-1.2756729623090568,16,27.104636608003826,27.104636608003826,0.6992321755027422,0.023151111693537358,10947,16564,95938,0,688,baseline,0.010906169693879716,-0.0029240735782180044,0.12195632861307598,0.4487825314452304,0.4,-0.04995254972676605,892,0.06522851919561243,,-BCH
기준,0.003,1.5,full,False,44,11,46579,0.40380858326713753,-0.09816131866427345,-0.029115946364546452,-27.86616830678141,19.46988445727754,-1.4312446675237187,24,131.5573183437847,131.5573183437847,0.5971145795315486,0.08904299267655011,41464,15874,97253,0,3096,baseline,0.005895527502895154,0.009541289508428056,0.10770260817270194,0.44308104326908077,0.4,-0.03927246000194323,3986,0.08557504454797227,,-BNB
기준,0.003,1.5,oos_warm,False,44,11,14075,0.4007815275310835,-0.11764942293843529,-0.04140162085006543,-10.389213410186223,9.797747667490752,-1.0603675214721004,16,567.4723169103185,567.4723169103185,0.688809946714032,0.0830381193070313,11636,15874,97253,0,687,baseline,0.010753220702602834,0.002019447532012094,0.11966887047044743,0.447867548188179,0.4,-0.047086020657095495,935,0.06642984014209591,,-BNB
기준,0.003,1.5,full,False,44,11,46850,0.4025186766275347,-0.10033517050426746,-0.0321748147157445,-28.577941258282582,26.57806445572647,-1.075245389139886,24,160.5905347808735,160.5905347808735,0.5933617929562434,0.14979595764541814,43918,15596,96843,0,3114,baseline,0.005875086304923079,0.006316408196650378,0.10665157870091847,0.44266063148036744,0.4,-0.04014195485283273,3958,0.08448239060832444,,-BTC
기준,0.003,1.5,oos_warm,False,44,11,14159,0.39974574475598557,-0.11947398606511178,-0.0438460536405425,-10.34104131171008,9.144690527654117,-1.1308246332052598,16,66.60575092197855,66.60575092197855,0.6851472561621583,0.05740338339384349,11492,15596,96843,0,691,baseline,0.01071557754859411,-0.0005703987560512279,0.11890358730906055,0.4475614349236242,0.4,-0.04781569016763865,936,0.06610636344374603,,-BTC
기준,0.003,1.5,full,False,44,11,45849,0.40373835852472245,-0.0996926751599447,-0.029915644107822274,-27.80291301555335,25.515280264550153,-1.0896573632460365,22,307.39402241084366,307.39402241084366,0.6084756483238457,0.10196227871442136,43991,16746,95723,0,3104,baseline,0.005946067664755077,0.00936575345580496,0.1090584286157501,0.44362337144630004,0.4,-0.03988501292157759,3837,0.08368775763920697,,-DOGE
기준,0.003,1.5,oos_warm,False,44,11,13722,0.4025652237283195,-0.11519993898367421,-0.03765154094231135,-9.47674154467485,8.49083562825963,-1.1161141211041559,16,100.15123073810003,100.15123073810003,0.6999708497303601,0.04888473691573967,11219,16746,95723,0,695,baseline,0.010909038966081731,0.006479407534995014,0.12167934651866942,0.4486717386074678,0.4,-0.0461065148791483,913,0.06653549045328669,,-DOGE
