timeframe,segment,feature,axis,excluded_symbol,n,correlation
15m,is,zone_width_atr,death_vs_rest,LTC/USDT:USDT,4662,0.13633869382668337
15m,oos,zone_width_atr,death_vs_rest,BTC/USDT:USDT,2393,0.1713345577143034
15m,oos,zone_width_atr,death_vs_rest,ETH/USDT:USDT,2264,0.16720673781059256
15m,oos,zone_width_atr,death_vs_rest,SOL/USDT:USDT,2163,0.1660284843047732
15m,oos,zone_width_atr,death_vs_rest,BNB/USDT:USDT,2380,0.16308134521366738
15m,oos,zone_width_atr,death_vs_rest,XRP/USDT:USDT,2247,0.1651231541676855
15m,oos,zone_width_atr,death_vs_rest,TRX/USDT:USDT,2488,0.1625077970968537
15m,oos,zone_width_atr,death_vs_rest,DOGE/USDT:USDT,2181,0.16522969963198705
15m,oos,zone_width_atr,death_vs_rest,LINK/USDT:USDT,2195,0.16135379637900213
15m,oos,zone_width_atr,death_vs_rest,LTC/USDT:USDT,2225,0.1749896242870002
15m,is,approach_mom,death_vs_winner,BTC/USDT:USDT,3245,0.07445070299698997
15m,is,approach_mom,death_vs_winner,ETH/USDT:USDT,3252,0.07096426074322075
15m,is,approach_mom,death_vs_winner,SOL/USDT:USDT,3070,0.08587023832606826
15m,is,approach_mom,death_vs_winner,BNB/USDT:USDT,3203,0.0722687315112903
15m,is,approach_mom,death_vs_winner,XRP/USDT:USDT,3145,0.07869643229243102
15m,is,approach_mom,death_vs_winner,TRX/USDT:USDT,3287,0.06589806375761462
15m,is,approach_mom,death_vs_winner,DOGE/USDT:USDT,3163,0.06890010467001743
15m,is,approach_mom,death_vs_winner,LINK/USDT:USDT,3124,0.07416752662260791
15m,is,approach_mom,death_vs_winner,LTC/USDT:USDT,3175,0.07082420423143133
15m,oos,approach_mom,death_vs_winner,BTC/USDT:USDT,1660,0.10345130644905703
15m,oos,approach_mom,death_vs_winner,ETH/USDT:USDT,1577,0.09584498750488181
15m,oos,approach_mom,death_vs_winner,SOL/USDT:USDT,1490,0.11189024181501148
15m,oos,approach_mom,death_vs_winner,BNB/USDT:USDT,1652,0.1091584764447407
15m,oos,approach_mom,death_vs_winner,XRP/USDT:USDT,1538,0.1064043056579253
15m,oos,approach_mom,death_vs_winner,TRX/USDT:USDT,1720,0.10824383506525288
15m,oos,approach_mom,death_vs_winner,DOGE/USDT:USDT,1515,0.10099006645761674
15m,oos,approach_mom,death_vs_winner,LINK/USDT:USDT,1529,0.12185123297093671
15m,oos,approach_mom,death_vs_winner,LTC/USDT:USDT,1551,0.10322998766028497
15m,is,freshness_bars,death_vs_winner,BTC/USDT:USDT,3245,-0.03625425784481784
15m,is,freshness_bars,death_vs_winner,ETH/USDT:USDT,3252,-0.03804224202220332
15m,is,freshness_bars,death_vs_winner,SOL/USDT:USDT,3070,-0.041336170054965274
15m,is,freshness_bars,death_vs_winner,BNB/USDT:USDT,3203,-0.03609892045706489
15m,is,freshness_bars,death_vs_winner,XRP/USDT:USDT,3145,-0.03771787486672075
15m,is,freshness_bars,death_vs_winner,TRX/USDT:USDT,3287,-0.03842337090716713
15m,is,freshness_bars,death_vs_winner,DOGE/USDT:USDT,3163,-0.037224007741668855
15m,is,freshness_bars,death_vs_winner,LINK/USDT:USDT,3124,-0.033728890409849104
15m,is,freshness_bars,death_vs_winner,LTC/USDT:USDT,3175,-0.02922023737207061
15m,oos,freshness_bars,death_vs_winner,BTC/USDT:USDT,1660,-0.07002664609928735
15m,oos,freshness_bars,death_vs_winner,ETH/USDT:USDT,1577,-0.07106652181880921
15m,oos,freshness_bars,death_vs_winner,SOL/USDT:USDT,1490,-0.06744564218646219
15m,oos,freshness_bars,death_vs_winner,BNB/USDT:USDT,1652,-0.06462015645402024
15m,oos,freshness_bars,death_vs_winner,XRP/USDT:USDT,1538,-0.07612699411106127
15m,oos,freshness_bars,death_vs_winner,TRX/USDT:USDT,1720,-0.06867750459597623
15m,oos,freshness_bars,death_vs_winner,DOGE/USDT:USDT,1515,-0.07181043610500684
15m,oos,freshness_bars,death_vs_winner,LINK/USDT:USDT,1529,-0.07340241862443248
15m,oos,freshness_bars,death_vs_winner,LTC/USDT:USDT,1551,-0.07264633144796223
15m,is,tap_rsi,death_vs_winner,BTC/USDT:USDT,3245,0.08291046061375013
15m,is,tap_rsi,death_vs_winner,ETH/USDT:USDT,3252,0.08294096523320357
15m,is,tap_rsi,death_vs_winner,SOL/USDT:USDT,3070,0.0977910581832386
