arm,arm_label,segment,num_cells,num_trades,win_rate,total_return,cagr,span_years,net_pnl,net_r,mean_net_r,median_net_r,profit_factor,max_drawdown,return_over_mdd,ruin,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,same_step_tp_trades,same_step_tp_trade_share,candidate_same_step_tps,reentry_trades
base,채택 북(현행) = 인자 없는 backtest.run,full,48,19018,0.5833946787254181,6841306.433543502,13.782502067113905,5.843258042436688,68413064335.43505,5536.212029607791,0.2911037979602372,1.218176573420238,1.662030506334334,0.1745281963986644,39198860.55498053,False,17,0.1281943692763386,0.1281943692763386,0,1747,0.0918603428331054,2976,3091
base,채택 북(현행) = 인자 없는 backtest.run,is,48,12556,0.5969257725390251,1091185.4282908884,34.465547025200095,3.895904631530915,10911854282.908882,4185.866969389744,0.3333758338156852,1.2383091047762929,2.0688984894254463,0.1362281828130848,8009982.99880485,False,16,0.1281943692763386,0.1281943692763386,0,1280,0.1019432940426887,2090,2090
base,채택 북(현행) = 인자 없는 backtest.run,oos_warm,48,6336,0.5533459595959596,1519.800873534539,42.20110520259061,1.9456327477374704,15198008.735345388,1257.9005980600764,0.1985322913604918,1.183012680681413,1.4869638579717064,0.2289603792577484,6637.83349093621,False,14,0.1071839380808172,0.1071839380808172,0,467,0.073705808080808,886,987
base,채택 북(현행) = 인자 없는 backtest.run,oos,48,6160,0.5483766233766234,880.814617457925,31.882414948546725,1.941626739676021,8808146.174579248,1135.7642009241226,0.1843773053448251,1.1777155259487917,1.3895994108822949,0.2289603792577465,3847.017638219272,False,11,0.0956316131069461,0.0956316131069461,0,420,0.0681818181818181,835,927
all_off,같은 스텝 익절 전부 끔(WAN-336 반사실 · 상한),full,48,18161,0.5620285226584439,98015.68654817971,6.148223402908929,5.843258042436688,980156865.4817972,4329.305235471216,0.2383847384764724,1.2023292655274258,1.246368499563714,0.1869697250611647,524232.9287060522,False,19,0.1289893832324962,0.1289893832324962,0,0,0.0,0,2339
all_off,같은 스텝 익절 전부 끔(WAN-336 반사실 · 상한),is,48,11948,0.5742383662537663,53831.19266113979,15.381848526243031,3.895904631530915,538311926.6113976,3315.533847153625,0.2774969741507888,1.2218468762291947,1.4117962579008914,0.1786961056181852,301244.3526674238,False,19,0.1289893832324962,0.1289893832324962,0,0,0.0,0,1558
all_off,같은 스텝 익절 전부 끔(WAN-336 반사실 · 상한),oos_warm,48,6050,0.5332231404958677,305.8258087612229,17.975439024827136,1.9456327477374704,3058258.087612228,896.8026401401596,0.1482318413454809,1.1679077659877088,1.277794930835955,0.2522160154101235,1212.555072142923,False,12,0.0962520759299928,0.0962520759299928,0,0,0.0,0,768
all_off,같은 스텝 익절 전부 끔(WAN-336 반사실 · 상한),oos,48,5913,0.5303568408591239,218.3362948114122,15.060051789690585,1.941626739676021,2183362.948114121,825.4297501083846,0.1395957635901208,1.1656392521572203,1.246358588400161,0.2522160154101229,865.6718109529261,False,10,0.0962520759299928,0.0962520759299928,0,0,0.0,0,736
tick_off,틱이 지지하지 않는 것만 끔 ← 답,full,48,18807,0.5784016589567714,1933185.3298378258,10.907389261692714,5.843258042436688,19331853298.37827,5246.679653177615,0.278974831348839,1.214777723719665,1.3394149430692854,0.2222297560306614,8699039.068247464,False,17,0.12819436927633865,0.12819436927633865,0,1411,0.07502525655341097,2633,2902
tick_off,틱이 지지하지 않는 것만 끔 ← 답,is,48,12556,0.5969257725390251,1091185.4282908884,34.465547025200095,3.895904631530915,10911854282.908882,4185.866969389744,0.3333758338156852,1.2383091047762929,2.0688984894254463,0.13622818281308482,8009982.99880485,False,16,0.12819436927633865,0.12819436927633865,0,1280,0.10194329404268876,2090,2090
tick_off,틱이 지지하지 않는 것만 끔 ← 답,oos_warm,48,6103,0.5366213337702769,442.5465963911496,21.93251224538522,1.9456327477374706,4425465.963911494,956.6355237208451,0.15674840631178846,1.1699183347702715,1.3085921116232713,0.24662423281250503,1794.4165151345596,False,12,0.09684797105554248,0.09684797105554248,0,131,0.021464853350811077,543,800
tick_off,틱이 지지하지 않는 것만 끔 ← 답,oos,48,5963,0.5336240147576723,309.8389228419845,18.21921363354278,1.941626739676021,3098389.2284198473,881.5381350627589,0.1478346696399059,1.1677709598956552,1.2711111005873894,0.24662423281250542,1256.319864875313,False,10,0.09564561286783807,0.09564561286783807,0,123,0.020627201073285258,534,766
