entry_tf,segment,n,from_15m,from_5m,from_1m,from_1h
15m,is,7279,0.12487979118010716,0.2022255804368732,0.6728946283830196,
15m,oos,3891,0.1264456437933693,0.21948085325109226,0.6540735029555385,
1h,is,1745,0.30716332378223493,0.5375358166189111,,0.15530085959885387
1h,oos,947,0.3051742344244984,0.5269271383315733,,0.1678986272439282
