symbol,timeframe,num_bars,num_zones,base_first_taps,base_all_taps,swept_zones,swept_share,a_first_taps,a_all_taps,a_first_tap_change,a_all_tap_change,a_removed_taps,a_added_taps,b_diff_taps,b_diff_share,b_multi_taps,b_diff_share_of_multi,b_first_taps,b_all_taps,b_first_tap_change,b_all_tap_change,b_removed_taps,b_added_taps,c_first_taps,c_all_taps,c_first_tap_change,c_all_tap_change,c_removed_taps,c_added_taps,c0_first_taps,c0_all_taps,c0_first_tap_change,c0_all_tap_change,c0_removed_taps,c0_added_taps,join_taps,join_first_taps
BNB/USDT:USDT,15m,205056,5958,5859,11434,5775,0.9692849949647533,,,,,,,36,0.003148504460381319,2147,0.016767582673497903,5859,11433,0.0,-8.745845723281441e-05,1,0,5833,11200,-0.004437617340843148,-0.02046527899247857,234,0,5859,11248,0.0,-0.016267273045303482,186,0,48,26
BNB/USDT:USDT,1h,51264,1415,1372,2706,1324,0.9356890459363958,1371.0,2671.0,-0.0007288629737609329,-0.012934220251293422,190.0,155.0,22,0.008130081300813009,482,0.04564315352697095,1372,2706,0.0,0.0,0,0,1369,2660,-0.002186588921282799,-0.016999260901699925,46,0,1372,2667,0.0,-0.014412416851441241,39,0,7,3
BNB/USDT:USDT,2h,25632,710,675,1307,648,0.9126760563380282,675.0,1298.0,0.0,-0.006885998469778117,70.0,61.0,4,0.00306044376434583,181,0.022099447513812154,675,1307,0.0,0.0,0,0,675,1289,0.0,-0.013771996939556235,18,0,675,1292,0.0,-0.011476664116296864,15,0,3,0
BNB/USDT:USDT,4h,12816,365,344,633,329,0.9013698630136986,344.0,641.0,0.0,0.01263823064770932,35.0,43.0,2,0.00315955766192733,98,0.02040816326530612,344,633,0.0,0.0,0,0,344,626,0.0,-0.011058451816745656,7,0,344,626,0.0,-0.011058451816745656,7,0,0,0
XRP/USDT:USDT,15m,205056,5734,5657,11412,5601,0.9768050226717824,,,,,,,8,0.0007010164738871364,2040,0.00392156862745098,5657,11412,0.0,0.0,0,0,5643,11234,-0.002474809969948736,-0.015597616543988784,178,0,5657,11260,0.0,-0.01331931300385559,152,0,26,14
XRP/USDT:USDT,1h,51264,1445,1411,2825,1372,0.9494809688581315,1411.0,2818.0,0.0,-0.00247787610619469,266.0,259.0,1,0.00035398230088495576,552,0.0018115942028985507,1411,2825,0.0,0.0,0,0,1405,2764,-0.004252303330970942,-0.0215929203539823,61,0,1411,2777,0.0,-0.016991150442477877,48,0,13,6
XRP/USDT:USDT,2h,25632,680,658,1369,640,0.9411764705882353,658.0,1392.0,0.0,0.016800584368151936,124.0,147.0,2,0.0014609203798392988,303,0.006600660066006601,658,1369,0.0,0.0,0,0,657,1344,-0.001519756838905775,-0.018261504747991233,25,0,658,1349,0.0,-0.014609203798392988,20,0,5,1
XRP/USDT:USDT,4h,12816,394,376,715,360,0.9137055837563451,376.0,717.0,0.0,0.002797202797202797,76.0,78.0,0,0.0,146,0.0,376,715,0.0,0.0,0,0,374,699,-0.005319148936170213,-0.022377622377622378,16,0,376,706,0.0,-0.012587412587412588,9,0,7,2
TRX/USDT:USDT,15m,205056,5658,5541,10382,5433,0.9602332979851538,,,,,,,11,0.0010595261028703525,1633,0.006736068585425597,5541,10382,0.0,0.0,0,0,5524,10203,-0.0030680382602418337,-0.017241379310344827,179,0,5541,10238,0.0,-0.01387015989212098,144,0,35,17
TRX/USDT:USDT,1h,51264,1386,1329,2512,1276,0.9206349206349206,1329.0,2483.0,0.0,-0.011544585987261146,166.0,137.0,24,0.009554140127388535,428,0.056074766355140186,1329,2511,0.0,-0.0003980891719745223,1,0,1327,2469,-0.0015048908954100827,-0.01711783439490446,43,0,1329,2476,0.0,-0.014331210191082803,36,0,7,2
TRX/USDT:USDT,2h,25632,709,665,1280,628,0.8857545839210155,665.0,1274.0,0.0,-0.0046875,81.0,75.0,10,0.0078125,202,0.04950495049504951,665,1279,0.0,-0.00078125,1,0,661,1258,-0.006015037593984963,-0.0171875,22,0,665,1264,0.0,-0.0125,16,0,6,4
TRX/USDT:USDT,4h,12816,375,338,621,311,0.8293333333333334,338.0,615.0,0.0,-0.00966183574879227,58.0,52.0,0,0.0,93,0.0,338,621,0.0,0.0,0,0,335,606,-0.008875739644970414,-0.024154589371980676,15,0,338,613,0.0,-0.01288244766505636,8,0,7,3
DOGE/USDT:USDT,15m,205056,5780,5687,11568,5598,0.9685121107266436,,,,,,,14,0.0012102351313969572,2139,0.0065451145395044414,5687,11568,0.0,0.0,0,0,5665,11335,-0.0038684719535783366,-0.020141770401106502,233,0,5687,11376,0.0,-0.016597510373443983,192,0,41,22
DOGE/USDT:USDT,1h,51264,1421,1377,2785,1320,0.9289232934553132,1377.0,2733.0,0.0,-0.01867145421903052,230.0,178.0,6,0.0021543985637342907,512,0.01171875,1377,2785,0.0,0.0,0,0,1369,2730,-0.005809731299927378,-0.019748653500897665,55,0,1377,2748,0.0,-0.013285457809694794,37,0,18,8
