arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,net_r_stderr,long_trades,short_trades,long_win_rate,short_win_rate,long_mean_net_r,short_mean_net_r,long_net_r_sum,short_net_r_sum,btc_return_corr,btc_days,exclude
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45825,0.4053464266230224,-0.09512246734358358,0.013333119397347954,0.0390528074024224,0.02649840221895785,0.010879945881866427,0.03122251932095042,4.105478030102644e-06,0.0007978064387033287,0.10845558674093246,2.842170943040401e-14,0.008619138178883502,0.026886223785323918,-0.007934192629396448,14549,0.31749045280960175,5591,2241,-25.875334017222837,17.17483735020482,-1.5065839337869629,22,55.46928065885012,55.46928065885012,40289,0,3078,0.0059509095746484286,45825,0,0.4053464266230224,,-0.09512246734358358,,-4358.9870660197175,0.0,0.34706740608080533,2121,-ADA
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13722,0.4020550940096196,-0.11646900909505553,0.005027707067735755,0.044080953244627234,0.029912839596736965,0.012281463840297699,0.03523341985653514,1.371035787271926e-05,-2.5670733278558194e-05,0.1214967161627914,2.842170943040401e-14,0.007209201931391058,0.021035304656291,-0.009082521489972979,4435,0.32320361463343533,1434,584,-9.692763019350433,9.362269181104685,-1.0353006126882962,16,1275.068514502851,1275.068514502851,11361,0,685,0.010903752706569361,13722,0,0.4020550940096196,,-0.11646900909505553,,-1598.187742802352,0.0,0.445911556024783,707,-ADA
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45599,0.4040878089431786,-0.09863659011187757,0.010219813895433427,0.03908556687612458,0.026524294220090817,0.010892111432418144,0.03125016578931261,2.653484839977481e-06,0.001101612204524566,0.10885640400731142,2.842170943040401e-14,0.008597608532049399,0.026706293174296583,-0.007772932330827721,14551,0.31910787517270117,5397,2177,-27.27708658725741,17.548719384513777,-1.5543633691771621,23,103.59216279135104,103.59216279135104,40308,0,3097,0.005961824040022103,45599,0,0.4040878089431786,,-0.09863659011187757,,-4497.729872511505,0.0,0.35153565294975003,2121,-BCH
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13619,0.39841398046846316,-0.1258150392810437,-0.0039640727059351705,0.04421363200432561,0.029889599632489137,0.01220335401621584,0.03534433577918042,8.884371482350625e-06,0.0001911607714146462,0.12185096657510848,2.842170943040401e-14,0.007215323606032762,0.021238394155615712,-0.008798564593300511,4391,0.32241721124899037,1372,560,-10.621071626986163,8.324044355117513,-1.2759508688173278,16,50.22761153168661,50.22761153168661,10916,0,688,0.010926502470882431,13619,0,0.39841398046846316,,-0.1258150392810437,,-1713.475019968534,0.0,0.4394587341232342,708,-BCH
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,46400,0.40357758620689654,-0.09859437385430113,0.00896387336235066,0.03861899671171198,0.02617833488558726,0.01073252897557303,0.03087570357099235,4.0461996959026014e-06,0.0011486368730902348,0.10755824721665212,2.842170943040401e-14,0.008753221516005206,0.027270821912595267,-0.0075769230769231755,14791,0.31877155172413796,5674,2252,-27.85142345282714,19.74952740956583,-1.4102324007680862,24,111.03412353425644,111.03412353425644,41296,0,3086,0.005906135547146171,46400,0,0.40357758620689654,,-0.09859437385430113,,-4574.778946839572,0.0,0.3520774127913498,2122,-BNB
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,14017,0.40037097809802386,-0.11855246331967788,0.0009933455099572091,0.043396860406429226,0.029406108534569448,0.012047563041097881,0.03468673558327548,1.3393997709201735e-05,-4.8527334466766384e-06,0.11954580882963503,2.842170943040401e-14,0.007365163276265662,0.021739102884992683,-0.008471713147409842,4524,0.32275094528073056,1463,586,-10.442672999156368,9.845738905141031,-1.0606286739640884,16,229.31071327016187,229.31071327016187,11603,0,687,0.010773253899307281,14017,0,0.40037097809802386,,-0.11855246331967788,,-1661.7498783519247,0.0,0.4348600910417551,708,-BNB
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,46684,0.4024076771484877,-0.10049813794951491,0.006038979607854297,0.03845685018342536,0.02597801401685061,0.01059648173940026,0.030746075821847147,4.021584823277369e-06,0.0007556742110217134,0.10653711755736979,2.842170943040401e-14,0.008821105184995846,0.027419933707041072,-0.007557900101934066,14811,0.31726073172821523,5628,2232,-28.49715657548297,26.61006962505739,-1.0709162725620456,24,5151.63993530786,5151.63993530786,43797,0,3103,0.005885089058739259,46684,0,0.4024076771484877,,-0.10049813794951491,,-4691.655072035154,0.0,0.3387735807537719,2122,-BTC
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,14116,0.39961745536979315,-0.11969953633879765,-0.0008909234901480199,0.04324756264492961,0.02925817917488488,0.011958975932213163,0.03456745102954856,1.3300061341023003e-05,-0.0002368559942678215,0.11880861284864956,2.842170943040401e-14,0.007417315221992336,0.022024467661871494,-0.008421568627452573,4558,0.3228960045338623,1441,581,-10.350556942254153,9.15272403882071,-1.130871738113474,16,256.9468858468645,256.9468858468645,11465,0,691,0.010730982611275763,14116,0,0.39961745536979315,,-0.11969953633879765,,-1689.6786549584676,0.0,0.4279147386477652,706,-BTC
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45669,0.40351222930215247,-0.10011730754136855,0.008800508664415728,0.03924470379870457,0.026595504584241834,0.01089938316649102,0.03137860360999383,1.4615474538909884e-06,0.0007981594988977008,0.10891781620578461,2.842170943040401e-14,0.008591271131110734,0.02661698784859498,-0.0077916328894030214,14506,0.317633405592415,5423,2154,-27.823771558302386,25.52839298191062,-1.0899147305519101,22,105.79630226477899,105.79630226477899,43836,0,3092,0.005957049837966345,45669,0,0.40351222930215247,,-0.10011730754136855,,-4572.25731810676,0.0,0.3629969604824513,2121,-DOGE
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13667,0.40220970220238533,-0.11595859657718267,0.005590870724753189,0.04410388526311832,0.029949446017807354,0.012309010086703029,0.03526058281863295,4.883837760426396e-06,-7.834072208590329e-05,0.12154946730193607,2.842170943040401e-14,0.00720558482132477,0.020966258243916194,-0.008861803972649875,4433,0.3243579424892076,1378,539,-9.516926253252432,8.519547445852751,-1.117069458646562,16,18.742115741802163,18.742115741802163,11197,0,695,0.010929052778528906,13667,0,0.40220970220238533,,-0.11595859657718267,,-1584.8061394203555,0.0,0.43586956638188407,708,-DOGE
