arm,segment,excluded,num_trades,total_return,max_drawdown,mean_net_r,revived_trades
A,oos_warm,-,6336,1519.800873534539,0.22896037925774845,0.19853229136049186,0
A,oos_warm,BTC/USDT:USDT,5976,1360.3991918598751,0.21165807188433858,0.20537358352656374,0
A,oos_warm,ETH/USDT:USDT,5791,771.0821342501783,0.23099959468356254,0.18727339014268812,0
A,oos_warm,SOL/USDT:USDT,5685,851.0956146500341,0.23872265071369703,0.1952700302631307,0
A,oos_warm,BNB/USDT:USDT,5974,1365.969913064539,0.22002480031236682,0.20330733218875466,0
A,oos_warm,XRP/USDT:USDT,5821,1167.3017249150953,0.208248846027593,0.2033354712647722,0
A,oos_warm,TRX/USDT:USDT,6097,1444.8716750656886,0.19220916187340323,0.20205009131380483,0
A,oos_warm,DOGE/USDT:USDT,5712,941.5668185234573,0.19907192739251067,0.19482309971242512,0
A,oos_warm,LINK/USDT:USDT,5773,1074.7920401498475,0.21109514426693238,0.2001896084098153,0
A,oos_warm,LTC/USDT:USDT,5800,1335.405005040305,0.19139144012998843,0.2082142135709661,0
A,oos_warm,ADA/USDT:USDT,5773,1245.563304824069,0.19679044373671284,0.20888885651442585,0
A,oos_warm,DOT/USDT:USDT,5744,1209.4515162997975,0.17826193147296363,0.19869482113584822,0
A,oos_warm,BCH/USDT:USDT,5804,984.2232902136318,0.25366265344459604,0.1939464872187864,0
B,oos_warm,-,9514,-0.9999746780257376,0.9999775596032764,-0.17975157663463676,3309
B,oos_warm,BTC/USDT:USDT,8990,-0.9999592334681638,0.9999619630802525,-0.17967673616384675,3125
B,oos_warm,ETH/USDT:USDT,8684,-0.9999484097611747,0.9999550930164401,-0.18079747444758848,2981
B,oos_warm,SOL/USDT:USDT,8585,-0.9999478432889378,0.9999558495556388,-0.18449908985865093,2993
B,oos_warm,BNB/USDT:USDT,8959,-0.999940726113887,0.9999478843971608,-0.1734886537381008,3105
B,oos_warm,XRP/USDT:USDT,8770,-0.9999311870891894,0.9999411686702423,-0.17639166602357878,3053
B,oos_warm,TRX/USDT:USDT,9194,-0.9999658861572721,0.9999700416153766,-0.17825572720207916,3220
B,oos_warm,DOGE/USDT:USDT,8573,-0.9999093780538647,0.999917453488093,-0.17725358572981734,2959
B,oos_warm,LINK/USDT:USDT,8697,-0.9999169605861785,0.9999253481723229,-0.176679135487306,3022
B,oos_warm,LTC/USDT:USDT,8701,-0.9998913902574892,0.9999052901626524,-0.17103687147209823,3001
B,oos_warm,ADA/USDT:USDT,8705,-0.9999035290710945,0.9999174331851576,-0.1729095850634223,3033
B,oos_warm,DOT/USDT:USDT,8685,-0.9999347766229822,0.9999386743355091,-0.18225608883639674,3036
B,oos_warm,BCH/USDT:USDT,8678,-0.9999432198275783,0.9999493912384698,-0.18028412616319622,2980
