arm,symbol,timeframe,metric,quantile,value,sample
proximal,BTC/USDT:USDT,1h,stop_fraction,0.25,0.007135605963119057,1741
proximal,BTC/USDT:USDT,1h,stop_fraction,0.33,0.008240419793345721,1741
proximal,BTC/USDT:USDT,1h,stop_fraction,0.5,0.011070932720410057,1741
proximal,BTC/USDT:USDT,1h,stop_fraction,0.67,0.014156947501089421,1741
proximal,BTC/USDT:USDT,1h,stop_fraction,0.75,0.01644550900425685,1741
proximal,BTC/USDT:USDT,1h,stop_fraction,0.9,0.024802643623912372,1741
proximal,BTC/USDT:USDT,1h,stop_fraction,0.95,0.028482750369212512,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.05,0.5520160317883418,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.1,0.681594055869195,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.25,0.9635203473452585,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.33,1.09910276621494,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.5,1.4329094754854093,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.67,1.8639539571425672,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.75,2.162106655918232,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.9,3.127042000034481,1741
mid,BTC/USDT:USDT,1h,zone_width_atr,0.95,3.780611829491294,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.05,0.0018471996974603216,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.1,0.0023020453642012065,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.25,0.003679853052147193,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.33,0.004236420645888982,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.5,0.005665158316244767,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.67,0.0072275052433585915,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.75,0.00838926770986567,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.9,0.012654540509388012,1741
mid,BTC/USDT:USDT,1h,stop_fraction,0.95,0.014544243945992935,1741
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.05,0.622269879911818,947
