symbol,timeframe,level,seed,penetration_bps,dropout_rate,num_trades,win_rate,total_return,max_drawdown,profit_factor,sharpe,eligible_setups,num_filled,fill_rate,num_dropped,num_penetrations
BTC/USDT:USDT,15m,baseline,0,0.0,0.0,428,0.4953271028037383,0.07230950827450469,0.12702224717538088,1.0395401922247005,4.306364242547007,2418,698,0.28866832092638545,0,1
BTC/USDT:USDT,15m,pen_1bp,0,1.0,0.0,423,0.48936170212765956,0.04085364662494267,0.127022247175381,1.02268901149673,2.8377532628378304,2418,684,0.28287841191067,0,1
BTC/USDT:USDT,15m,pen_5bp,0,5.0,0.0,400,0.47,-0.054296435779750206,0.15029486774676376,0.9683231266385195,-2.1115970781953854,2418,643,0.26592224979321755,0,1
BTC/USDT:USDT,15m,drop_25,0,0.0,0.25,343,0.4868804664723032,0.0524077829104921,0.14070079512116937,1.035386690715857,3.9940742729067615,2418,528,0.21836228287841192,170,1
BTC/USDT:USDT,15m,drop_25,1,0.0,0.25,349,0.498567335243553,0.06592872204901451,0.12452269634907931,1.0440133777653207,4.742795366463648,2418,526,0.21753515301902399,172,1
BTC/USDT:USDT,15m,drop_25,2,0.0,0.25,340,0.47941176470588237,-0.03483751670359016,0.12227579860476093,0.9752096971194768,-1.4480424386747508,2418,525,0.21712158808933002,173,1
BTC/USDT:USDT,15m,drop_25,3,0.0,0.25,346,0.49710982658959535,0.11696331977409609,0.10377251505821605,1.0763514995430046,7.5576814049619125,2418,525,0.21712158808933002,173,1
BTC/USDT:USDT,15m,drop_25,4,0.0,0.25,339,0.4778761061946903,-0.011387938339418906,0.15534241869138612,0.991953467764648,0.10345075000802784,2418,512,0.21174524400330852,186,1
BTC/USDT:USDT,15m,drop_50,0,0.0,0.5,243,0.4732510288065844,0.024599190083946995,0.134338111864493,1.0231012425829542,2.910345381754562,2418,344,0.14226633581472292,354,1
BTC/USDT:USDT,15m,drop_50,1,0.0,0.5,252,0.49603174603174605,0.04645897764176552,0.12982084367668856,1.041180998514642,4.603302398387922,2418,359,0.14846980976013235,339,1
