align,scope,unit,offset_ms,n_stop,n_tp,oos_delta,oos_z,oos_decided,is_delta,is_same_sign,no_crash_delta,no_crash_z,no_crash_kept,pooled_delta,pooled_z,pooled_kept,status
exit,self,coin,-3600000,5816,4260,0.0007983372692,3.410134551,True,0.0002870551231,True,0.000206306683,0.9666703946,False,0.0003948074659,1.797850311,False,대리변수
exit,self,coin,-1800000,5816,4260,0.0008482690176,4.635754796,True,0.0004445673982,True,0.0002138326546,1.333533111,False,0.0004867412338,2.882555516,False,대리변수
exit,self,coin,-300000,5816,4260,6.235916539e-05,0.7160275813,False,0.0003626967198,True,0.0001030883742,1.314880341,False,4.920008536e-05,0.5997743434,False,무
exit,self,usdt,-86400000,5816,4260,0.02615142545,13.81472605,True,0.01486988691,True,0.01378175301,10.78111182,True,0.01854289929,12.71380141,True,선행
exit,self,usdt,-43200000,5816,4260,0.0274594429,16.17859031,True,0.01557066702,True,0.01271096417,14.57441916,True,0.01901529141,16.62808041,True,선행
exit,self,usdt,-21600000,5816,4260,0.02851391974,18.20086981,True,0.01516662124,True,0.01446470347,22.43262546,True,0.02080384391,20.5818123,True,선행
exit,self,usdt,-7200000,5816,4260,0.02439008978,18.73438418,True,0.01452931956,True,0.01360078417,30.42942191,True,0.01871880374,22.57268157,True,선행
exit,self,usdt,-3600000,5816,4260,0.02247683343,17.67383123,True,0.01265584741,True,0.01190411944,33.67628496,True,0.01684172122,21.43112842,True,선행
exit,self,usdt,-1800000,5816,4260,0.02022539346,16.12332539,True,0.01060852183,True,0.009540234249,35.21292264,True,0.01472558627,19.33604857,True,선행
exit,self,usdt,-300000,5816,4260,0.0103824317,12.44118036,True,0.004748123656,True,0.004046736829,31.56998964,True,0.007203682917,14.26201086,True,선행
exit,btc,coin,-86400000,5816,4260,0.00181921267,2.910304066,False,-0.002476771898,False,-0.0006734592503,1.098067967,False,0.0003136321962,0.5235575124,False,무
exit,btc,coin,-43200000,5816,4260,0.001563874412,3.237035713,True,-0.001286076444,False,-0.0008191735017,1.788592567,False,9.457676437e-05,0.2094498937,False,대리변수
exit,btc,coin,-21600000,5816,4260,0.002800849481,6.946814383,True,0.0003147475427,True,0.0002999107602,0.8510558431,False,0.001299423707,3.625834027,True,대리변수
exit,btc,coin,-7200000,5816,4260,0.001518143388,6.505703057,True,0.0005543689005,True,0.000363009416,1.631137397,False,0.0007967962977,3.6813487,True,대리변수
exit,btc,coin,-3600000,5816,4260,0.001322233229,7.493802587,True,0.000470495433,True,0.0003972752074,2.389974998,False,0.0007320644231,4.547156745,True,대리변수
exit,btc,coin,-1800000,5816,4260,0.001093827393,8.113345732,True,0.0005133995794,True,0.0002153667833,1.807317972,False,0.0005829833279,4.875084008,True,대리변수
exit,btc,coin,-300000,5816,4260,0.0002157427262,4.09479498,True,0.0004312441449,True,0.0001176519253,2.275268462,False,0.0001692560775,3.281269522,True,대리변수
exit,btc,usdt,-86400000,5816,4260,0.01419441841,14.25685136,True,0.006908956032,True,0.00804261973,9.010872791,True,0.009914986344,11.81133179,True,선행
exit,btc,usdt,-43200000,5816,4260,0.0129093994,15.97842814,True,0.008402618558,True,0.006977812485,10.48269815,True,0.009012525468,13.79230609,True,선행
exit,btc,usdt,-21600000,5816,4260,0.01418694324,20.62935254,True,0.00963574888,True,0.008539058078,16.90585179,True,0.01067392052,20.02009534,True,선행
exit,btc,usdt,-7200000,5816,4260,0.01079720125,25.45630796,True,0.009208542362,True,0.007838073999,23.23722953,True,0.00891076335,25.51662817,True,선행
exit,btc,usdt,-3600000,5816,4260,0.0096054968,26.29098499,True,0.00807658262,True,0.006926921139,25.07058911,True,0.007861254764,27.22627484,True,선행
exit,btc,usdt,-1800000,5816,4260,0.008075418884,25.72543486,True,0.006685297866,True,0.005410691362,26.62683018,True,0.006460144598,27.59692057,True,선행
exit,btc,usdt,-300000,5816,4260,0.003293807306,24.2555127,True,0.003026838215,True,0.002301316103,27.29741852,True,0.002712041117,26.01304433,True,선행
