symbol,timeframe,segment,arm,family,take_profit_r,partial_r,breakeven,eligible,filled,num_trades,total_return,max_drawdown,win_rate,sharpe,mean_net_r,mean_gross_r,cost_total,n_take_profit,n_stop_loss,n_end_of_data,n_partial,n_partial_then_stop,funding_rows
ADA/USDT:USDT,4h,full,A0,A,1.5,,False,128,81,61,0.1980980358107732,0.051070932094642016,0.5409836065573771,11.439091518310779,0.3044072016162232,0.3524590163934426,310.41252384157104,33,28,0,0,0,6408
ADA/USDT:USDT,4h,full,A1_be_off,A,1.5,1.0,False,128,81,61,0.16194521328138106,0.040728914005021495,0.5409836065573771,11.097445113150899,0.2511470229608886,0.29918032786885235,306.4111025085309,33,28,0,38,5,6408
ADA/USDT:USDT,4h,full,A1_be_on,A,1.5,1.0,True,128,81,65,0.11667513847020018,0.04913752573727073,0.6,7.951450109240293,0.17443807158228547,0.22307692307692295,323.63627645996496,28,37,0,39,11,6408
ADA/USDT:USDT,4h,full,A2_be_off,A,1.5,1.2,False,128,81,61,0.16696995133319725,0.04880363359958264,0.5737704918032787,10.611349292900348,0.2594793019282454,0.30737704918032765,305.21137389588637,33,28,0,35,2,6408
ADA/USDT:USDT,4h,full,A2_be_on,A,1.5,1.2,True,128,81,63,0.14531843225569718,0.061181144520587025,0.5555555555555556,9.073780985269053,0.22163368487672824,0.2698412698412695,313.6912675010203,32,31,0,35,3,6408
ADA/USDT:USDT,4h,full,A3_be_off,A,1.5,1.3,False,128,81,61,0.1600732508039091,0.056504966144432886,0.5409836065573771,9.8170916434306,0.25046560064244955,0.2983606557377051,304.27638620183086,33,28,0,33,0,6408
ADA/USDT:USDT,4h,full,A3_be_on,A,1.5,1.3,True,128,81,61,0.15146368753800815,0.0635071793058978,0.5409836065573771,9.395074724024296,0.23813413839159053,0.28606557377049197,302.53150103248055,32,29,0,33,1,6408
ADA/USDT:USDT,4h,full,B0,B,2.0,,False,128,81,59,0.24397056160752145,0.09312550177528067,0.4745762711864407,11.897767261248761,0.37288739827160405,0.42372881355932224,315.6902856758387,28,31,0,0,0,6408
ADA/USDT:USDT,4h,full,B1_be_off,B,2.0,1.0,False,128,81,59,0.19694381046650924,0.05249913445695744,0.4745762711864407,12.778093126219558,0.3063035804706085,0.35593220338983045,307.9794367954373,28,31,0,38,10,6408
ADA/USDT:USDT,4h,full,B1_be_on,B,2.0,1.0,True,128,81,65,0.14002861017033247,0.06416442022061518,0.6,8.884693511822016,0.20465215859675404,0.25384615384615383,327.98594297346114,23,42,0,39,16,6408
ADA/USDT:USDT,4h,full,B2_be_off,B,2.0,1.3,False,128,81,59,0.1949964684500981,0.0726106397017092,0.5423728813559322,11.415239799668715,0.3055990590905274,0.3550847457627121,305.8858589321409,28,31,0,33,5,6408
ADA/USDT:USDT,4h,full,B2_be_on,B,2.0,1.3,True,128,81,61,0.1872146330110665,0.07828698636191067,0.5409836065573771,10.713515516809636,0.28681533059747777,0.33524590163934453,307.6037087552081,27,34,0,33,6,6408
ADA/USDT:USDT,4h,full,B3_be_off,B,2.0,1.5,False,128,81,59,0.23415344923525827,0.06724566381475176,0.559322033898305,12.970586293159302,0.3613691889108698,0.41101694915254244,312.09625632003065,28,31,0,33,5,6408
ADA/USDT:USDT,4h,full,B3_be_on,B,2.0,1.5,True,128,81,61,0.2382997933561155,0.06373412422167264,0.5409836065573771,12.70668106320137,0.35718306677293016,0.40573770491803285,316.31947330312914,28,33,0,33,5,6408
ADA/USDT:USDT,4h,is,A0,A,1.5,,False,82,52,38,0.10376601589393013,0.051070932094642016,0.5263157894736842,10.043600359278848,0.26782110223373695,0.31578947368421084,181.2281143240964,20,18,0,0,0,4272
ADA/USDT:USDT,4h,is,A1_be_off,A,1.5,1.0,False,82,52,38,0.08332819268425774,0.040728914005021495,0.5263157894736842,9.472437869291571,0.21518758567491372,0.26315789473684215,180.8446323323035,20,18,0,23,3,4272
ADA/USDT:USDT,4h,is,A1_be_on,A,1.5,1.0,True,82,52,41,0.05740315552281409,0.04913752573727073,0.5853658536585366,6.412049744043189,0.14029199749811813,0.18902439024390236,195.9916120429489,17,24,0,24,7,4272
ADA/USDT:USDT,4h,is,A2_be_off,A,1.5,1.2,False,82,52,38,0.08382604156061607,0.04880363359958264,0.5526315789473685,8.861848046028634,0.21784794132965002,0.2657894736842104,179.7800445583719,20,18,0,21,1,4272
