timeframe,assumption,is_best_offset_bps,is_best_return,oos_return_at_is_best,oos_best_offset_bps,oos_best_return,oos_return_at_zero,survives_oos
15m,baseline,0.0,0.10391400315138538,0.02456808592182976,0.0,0.02456808592182976,0.02456808592182976,False
15m,pen_5bp_drop_50,0.0,-0.020550180045931583,-0.024683929123240356,0.0,-0.024683929123240356,-0.024683929123240356,False
1h,baseline,2.0,-0.0007145523346592519,0.03555967854360855,0.0,0.03572715422599407,0.03572715422599407,False
1h,pen_5bp_drop_50,5.0,0.009443293079015569,0.0008158406504086534,2.0,0.02056544952077345,0.018006936360525225,False
