timeframe,variant,num_windows,oos_num_trades,mean_oos_total_return,mean_oos_profit_factor,mean_oos_sharpe,mean_return_gap,mean_profit_factor_gap,mean_oos_fill_rate
4h,A,21,57,0.002628606284936419,1.477848062903679,39.73950331026663,-0.05785841024977323,-0.6542259183404566,
4h,B,21,90,0.032157702570812866,1.7541779740794599,-77.22773036792621,-0.004719348983387154,-0.7113958313659519,0.41096773596773584
1h,A,21,244,-0.02788587015776664,2.975034303491557,-11.068176965821902,-0.0905947681825125,-2.212685214931948,
1h,B,21,347,-0.00850540945387877,1.132997007464363,-5.411351988746562,-0.08693865841103768,-0.2991270708371549,0.3383008632137926
15m,A,21,926,-0.05093213374411193,0.7581806222697884,-32.69734980966588,-0.15563783001475234,-0.07084431494861783,
15m,B,21,1358,-0.009135775163216025,0.9547260570859027,-13.728235333275231,-0.041567114300141025,-0.03500476576945013,0.31896114228025857
1d,A,24,2,-0.002819572048804836,0.0,,-0.010702257396061536,0.0,
1d,B,24,7,-0.006532191990536081,0.2481335138260134,1.7965520083434814,-0.016101894817051227,0.5062276906792763,0.21929824561403505
