symbol,timeframe,variant,is_placebo,segment,real_total_return,real_num_trades,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations
BTC/USDT:USDT,4h,close_pct2,False,IS,-0.021138730869699612,2,12,-0.001274814151274239,-0.021138730869699612,0.02810349130498762,1.0,100
BTC/USDT:USDT,4h,close_atr2,False,IS,-0.011162891853777546,1,12,-0.002935319088653224,-0.010705401812889977,0.01554343943206859,1.0,100
BTC/USDT:USDT,4h,sma20_stdev2_bollinger,False,IS,-0.02131101639976878,12,12,-0.021311016399768762,-0.02131101639976878,-0.02131101639976878,1.0,100
BTC/USDT:USDT,4h,sma20_atr2,False,IS,-0.01825858378685898,12,12,-0.021311016399768762,-0.02131101639976878,-0.02131101639976878,0.0,100
BTC/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.012923224578176632,7,12,0.005169615105460449,-0.009931027874291431,0.013509629694445358,0.65,100
BTC/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.0022021728966929006,8,12,-0.002011757807216794,-0.020173003394615627,0.0026744976390144074,0.8,100
BTC/USDT:USDT,4h,close_pct2,False,OOS,0.02243496560988315,2,8,-0.007716864526018002,-0.021503877641521105,0.0019210788767246413,0.0,100
BTC/USDT:USDT,4h,close_atr2,False,OOS,0.0,0,8,,,,,0
BTC/USDT:USDT,4h,sma20_stdev2_bollinger,False,OOS,-0.06122538532032868,8,8,-0.061125135292457555,-0.06112513529245753,-0.06112513529245753,1.0,100
BTC/USDT:USDT,4h,sma20_atr2,False,OOS,-0.06112513529245753,8,8,-0.061125135292457555,-0.06112513529245753,-0.06112513529245753,1.0,100
BTC/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.05251411774446369,5,8,-0.03504363196576129,-0.052612121387070145,-0.029844714675467912,0.86,100
BTC/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.05251411774446369,5,8,-0.03504363196576129,-0.052612121387070145,-0.029844714675467912,0.86,100
BTC/USDT:USDT,1h,close_pct2,False,IS,0.17952076470922348,7,43,0.04905389383452475,-0.0571353957094183,0.20308492936920702,0.09,100
BTC/USDT:USDT,1h,close_atr2,False,IS,0.17139533598010492,9,43,0.12076269383843007,-0.03410686288496054,0.28408797388624063,0.28,100
BTC/USDT:USDT,1h,sma20_stdev2_bollinger,False,IS,0.12835618129409648,37,43,0.17281897891863982,0.12731030947940908,0.22001593339227365,0.95,100
BTC/USDT:USDT,1h,sma20_atr2,False,IS,0.15478835803603924,38,43,0.17357823186953866,0.12418665393954834,0.21666721731933358,0.75,100
BTC/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.1004925941686759,19,43,0.1547551215828108,-0.012096441407247404,0.29477999612545025,0.74,100
BTC/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.10170816922600752,19,43,0.1547551215828108,-0.012096441407247404,0.29477999612545025,0.74,100
BTC/USDT:USDT,1h,close_pct2,False,OOS,-0.01052562619540622,1,23,-0.0012282973999193916,-0.011099644385517058,0.015140664238458702,0.68,100
BTC/USDT:USDT,1h,close_atr2,False,OOS,-0.0368506521540141,4,23,-0.0024901699384742584,-0.04269935005238604,0.0518913680151989,0.93,100
BTC/USDT:USDT,1h,sma20_stdev2_bollinger,False,OOS,-0.008547079639236654,18,23,0.016079585886028126,-0.04862110540993272,0.06617741006031756,0.77,100
BTC/USDT:USDT,1h,sma20_atr2,False,OOS,0.04460441651185538,19,23,0.02127597306392236,-0.03817531051486967,0.06599693732159267,0.27,100
BTC/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.031701952681845794,11,23,0.024559400900421254,-0.04194199523177158,0.11677232974844592,0.43,100
BTC/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.031701952681845794,11,23,0.024559400900421254,-0.04194199523177158,0.11677232974844592,0.43,100
BTC/USDT:USDT,1d,close_pct2,False,IS,-0.010294416097434988,1,1,-0.010175740365646191,-0.010175740365646198,-0.010175740365646198,1.0,100
BTC/USDT:USDT,1d,close_atr2,False,IS,0.0,0,1,,,,,0
BTC/USDT:USDT,1d,sma20_stdev2_bollinger,False,IS,-0.010175740365646198,1,1,-0.010175740365646191,-0.010175740365646198,-0.010175740365646198,1.0,100
BTC/USDT:USDT,1d,sma20_atr2,False,IS,-0.010175740365646198,1,1,-0.010175740365646191,-0.010175740365646198,-0.010175740365646198,1.0,100
BTC/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,-0.010175740365646198,1,1,-0.010175740365646191,-0.010175740365646198,-0.010175740365646198,1.0,100
BTC/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,IS,-0.010175740365646198,1,1,-0.010175740365646191,-0.010175740365646198,-0.010175740365646198,1.0,100
BTC/USDT:USDT,1d,close_pct2,False,OOS,-0.01014752544653711,1,1,-0.010147525446537098,-0.01014752544653711,-0.01014752544653711,1.0,100
BTC/USDT:USDT,1d,close_atr2,False,OOS,0.0,0,1,,,,,0
BTC/USDT:USDT,1d,sma20_stdev2_bollinger,False,OOS,-0.01014752544653711,1,1,-0.010147525446537098,-0.01014752544653711,-0.01014752544653711,1.0,100
BTC/USDT:USDT,1d,sma20_atr2,False,OOS,-0.01014752544653711,1,1,-0.010147525446537098,-0.01014752544653711,-0.01014752544653711,1.0,100
BTC/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.0,0,1,,,,,0
BTC/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.0,0,1,,,,,0
ETH/USDT:USDT,4h,close_pct2,False,IS,0.00313320606810812,6,15,-0.002056582578959324,-0.03944603321560535,0.0442018307626473,0.37,100
ETH/USDT:USDT,4h,close_atr2,False,IS,-0.010582229507750708,1,15,-0.007410036043915899,-0.010993066257935424,0.009659388679285803,0.48,100
ETH/USDT:USDT,4h,sma20_stdev2_bollinger,False,IS,-0.04130322071084411,13,15,-0.02107798679578874,-0.06083887614905507,0.009005218715855518,0.9,100
ETH/USDT:USDT,4h,sma20_atr2,False,IS,-0.0017479106426339058,14,15,-0.016370663839982893,-0.0326540072625432,-0.00152355461824136,0.38,100
ETH/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.0014165722319832638,6,15,-0.004104372566526722,-0.04278719941348863,0.04278132196568331,0.43,100
ETH/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.0014165722319832638,6,15,-0.004104372566526722,-0.04278719941348863,0.04278132196568331,0.43,100
ETH/USDT:USDT,4h,close_pct2,False,OOS,0.0,0,4,,,,,0
ETH/USDT:USDT,4h,close_atr2,False,OOS,0.0,0,4,,,,,0
ETH/USDT:USDT,4h,sma20_stdev2_bollinger,False,OOS,0.022535005669741804,4,4,0.017305067983871773,0.017305067983871776,0.017305067983871776,0.0,100
ETH/USDT:USDT,4h,sma20_atr2,False,OOS,0.021565210399038734,4,4,0.017305067983871773,0.017305067983871776,0.017305067983871776,0.0,100
