symbol,timeframe,segment,engine,cost_mode,funding_mode,num_trades,win_rate,total_return,max_drawdown,total_funding_cost,funding_coverage
BTC/USDT:USDT,15m,IS,long_only,gross,off,436,0.5504587155963303,0.9590461310491315,0.08171684354948994,0.0,
BTC/USDT:USDT,15m,OOS,long_only,gross,off,234,0.5213675213675214,0.6522773821946459,0.12360950808585384,0.0,
BTC/USDT:USDT,15m,IS,long_only,gross,on,436,0.5504587155963303,0.9275840618091002,0.0832355327070296,246.07511245405166,1.0
BTC/USDT:USDT,15m,OOS,long_only,gross,on,234,0.5213675213675214,0.6319847811102746,0.12291897321866922,82.5418729112858,1.0
BTC/USDT:USDT,15m,IS,long_only,net,off,489,0.5521472392638037,-0.11946039099459795,0.344224665754948,0.0,
BTC/USDT:USDT,15m,OOS,long_only,net,off,251,0.5298804780876494,-0.11012981270007913,0.15069428070193855,0.0,
BTC/USDT:USDT,15m,IS,long_only,net,on,489,0.5521472392638037,-0.1341087064313815,0.3493340320338714,186.61460869763326,1.0
BTC/USDT:USDT,15m,OOS,long_only,net,on,251,0.5298804780876494,-0.11126985992193768,0.14822810680849527,33.31658028690538,1.0
BTC/USDT:USDT,15m,IS,short_enabled,gross,off,751,0.5033288948069241,0.5878141336977677,0.22692893790292373,0.0,
BTC/USDT:USDT,15m,OOS,short_enabled,gross,off,384,0.5572916666666666,1.4776287965615895,0.10032582415152937,0.0,
BTC/USDT:USDT,15m,IS,short_enabled,gross,on,751,0.5033288948069241,0.5906674006511943,0.2278471303063398,-23.32241005545304,1.0
BTC/USDT:USDT,15m,OOS,short_enabled,gross,on,384,0.5572916666666666,1.4792262593645356,0.100602966893463,3.584865048021781,1.0
BTC/USDT:USDT,15m,IS,short_enabled,net,off,853,0.5158264947245017,-0.6024717991706451,0.6439873425636425,0.0,
BTC/USDT:USDT,15m,OOS,short_enabled,net,off,426,0.5657276995305164,-0.01463034271881479,0.06114264457160208,0.0,
BTC/USDT:USDT,15m,IS,short_enabled,net,on,853,0.5158264947245017,-0.6017377028140247,0.6438701995904622,-25.79090661760146,1.0
BTC/USDT:USDT,15m,OOS,short_enabled,net,on,426,0.5657276995305164,-0.01485874327917445,0.0612066012588907,2.029111078575708,1.0
BTC/USDT:USDT,1h,IS,long_only,gross,off,138,0.5289855072463768,0.08148192207074699,0.08429185092107234,0.0,
BTC/USDT:USDT,1h,OOS,long_only,gross,off,89,0.5842696629213483,0.27682110552401684,0.08261238747165119,0.0,
BTC/USDT:USDT,1h,IS,long_only,gross,on,138,0.5289855072463768,0.06998024234101194,0.0852810623383153,112.3829451625447,1.0
BTC/USDT:USDT,1h,OOS,long_only,gross,on,89,0.5842696629213483,0.2698119411150234,0.082045876172351,36.4266204403039,1.0
BTC/USDT:USDT,1h,IS,long_only,net,off,142,0.528169014084507,-0.12365222750788653,0.17636129452475852,0.0,
BTC/USDT:USDT,1h,OOS,long_only,net,off,91,0.5934065934065934,0.09498102351732995,0.09246861579807836,0.0,
BTC/USDT:USDT,1h,IS,long_only,net,on,142,0.528169014084507,-0.13285086248771205,0.18292642092383649,102.82587541433335,1.0
BTC/USDT:USDT,1h,OOS,long_only,net,on,91,0.5934065934065934,0.0911213717289349,0.09170090481369295,27.481425161322136,1.0
BTC/USDT:USDT,1h,IS,short_enabled,gross,off,262,0.549618320610687,0.26446923836636776,0.11535214185006704,0.0,
BTC/USDT:USDT,1h,OOS,short_enabled,gross,off,131,0.5954198473282443,0.5981756679991662,0.06299285806466348,0.0,
BTC/USDT:USDT,1h,IS,short_enabled,gross,on,262,0.549618320610687,0.26421590827122,0.11508817158217566,-2.178789676734429,1.0
BTC/USDT:USDT,1h,OOS,short_enabled,gross,on,131,0.5954198473282443,0.6014145035215314,0.06318903076906028,-25.186333562818973,1.0
BTC/USDT:USDT,1h,IS,short_enabled,net,off,268,0.5559701492537313,-0.13880490712169122,0.22201483316692086,0.0,
BTC/USDT:USDT,1h,OOS,short_enabled,net,off,137,0.6131386861313869,0.20775724129653372,0.08000570559802003,0.0,
BTC/USDT:USDT,1h,IS,short_enabled,net,on,268,0.5559701492537313,-0.13894296922101732,0.2225113821902663,5.485992420446223,1.0
BTC/USDT:USDT,1h,OOS,short_enabled,net,on,137,0.6131386861313869,0.20967614193930384,0.08012323295740754,-16.79873591555317,1.0
BTC/USDT:USDT,4h,IS,long_only,gross,off,36,0.6388888888888888,0.1668565673536561,0.04075498060450649,0.0,
BTC/USDT:USDT,4h,OOS,long_only,gross,off,25,0.4,-0.01471233374545118,0.07569728555109068,0.0,
BTC/USDT:USDT,4h,IS,long_only,gross,on,36,0.6388888888888888,0.1617277873324265,0.04120814861270438,49.61869154196811,1.0
BTC/USDT:USDT,4h,OOS,long_only,gross,on,25,0.4,-0.017583336768794835,0.07762075547560235,29.080993870729962,1.0
