arm,segment,zone_id,group,num_trades,num_classified,share_of_classified,stop_rate,mean_net_r,sum_net_r,share_of_net_total,same_minute_share,median_gap_minutes,invalidation_bar_share,duplicate_share,reentry_share
base,full,real,prev_stop_same_zone,1711,49384,3.464684918192127,98.42197545295149,-1.133563169181497,-1939.5265824695464,39.76088115461034,96.90239625949737,0.0,96.31794272355349,92.28521332554062,84.2781998831093
base,full,real,prev_stop_other_zone,27718,49384,56.127490685242186,59.89609639945162,-0.100180937080733,-2776.815214003762,56.92555116812947,15.744281694205933,738.0,29.832599754672053,0.0,2.9547586405945596
base,full,real,prev_tp_same_zone,9877,49384,20.000404989470276,54.01437683507138,0.0353579706743812,349.2306763508646,-7.159334418737694,10.782626303533462,116.0,30.7785764908373,10.782626303533462,36.11420471803179
base,full,real,prev_tp_other_zone,10078,49384,20.407419407095414,57.620559634848185,-0.0510038464532047,-514.0167645553986,10.537499032852484,5.77495534828339,1410.5,23.347886485413778,0.0,3.909505854336178
base,full,proxy,prev_stop_same_zone,1740,49384,3.523408391381824,98.04597701149426,-1.1237986981527317,-1955.4097347857592,40.08649057771059,95.6896551724138,0.0,95.40229885057472,90.7471264367816,82.98850574712644
base,full,proxy,prev_stop_other_zone,27689,49384,56.068767212052485,59.87937448084077,-0.0997122345222849,-2760.9320616875475,56.59994174502919,15.73549062804724,737.0,29.82050633825707,0.0,2.9506302141644696
base,full,proxy,prev_tp_same_zone,9885,49384,20.016604568281224,54.04147698533131,0.0346509932285397,342.5250680641169,-7.021867422116659,10.804248861911988,116.0,30.77389984825493,10.773899848254931,36.08497723823976
base,full,proxy,prev_tp_other_zone,10070,49384,20.391219828284463,57.59682224428997,-0.0503784663623287,-507.31115626865073,10.400032036231446,5.749751737835154,1411.0,23.346573982125125,0.0,3.9126117179741806
base,is,real,prev_stop_same_zone,1326,34541,3.838916070756492,98.6425339366516,-1.1330904406937246,-1502.4779243598816,48.68919302572906,97.20965309200604,0.0,96.83257918552036,92.45852187028656,83.9366515837104
base,is,real,prev_stop_other_zone,19199,34541,55.58321994151878,59.633314235116416,-0.0882950230925894,-1695.1761483546336,54.933758001812095,16.698786395124745,688.0,31.340173967394136,0.0,3.0782853273608
base,is,real,prev_tp_same_zone,7038,34541,20.375785298630618,53.39585109406081,0.0574993179137173,404.6801994767435,-13.114037834804288,11.83574879227053,104.0,32.62290423415743,11.83574879227053,37.51065643648763
base,is,real,prev_tp_other_zone,6978,34541,20.20207868909412,57.52364574376613,-0.0424236465571464,-296.0322056757695,9.593198655561377,6.262539409572944,1351.0,25.021496130696473,0.0,4.09859558612783
base,is,proxy,prev_stop_same_zone,1349,34541,3.905503604412148,98.22090437361008,-1.122362063221369,-1514.0664232856302,49.06472909978793,95.92290585618976,0.0,95.92290585618976,90.88213491475167,82.57968865826538
base,is,proxy,prev_stop_other_zone,19176,34541,55.51663240786312,59.61618690029203,-0.087796602494205,-1683.5876494288834,54.55822192775318,16.692740926157697,687.0,31.32561535252399,0.0,3.0767626199415936
base,is,proxy,prev_tp_same_zone,7043,34541,20.39026084942532,53.414738037768,0.0570106436454232,401.52596319471667,-13.011821877621562,11.841544796251595,105.0,32.61394292205026,11.827346301292064,37.48402669317053
base,is,proxy,prev_tp_other_zone,6973,34541,20.187603138299412,57.50752904058511,-0.0420017165343096,-292.8779693937427,9.490982698378652,6.252688943066112,1351.0,25.02509680195038,0.0,4.101534490176395
base,oos_warm,real,prev_stop_same_zone,385,14795,2.6022304832713754,97.66233766233766,-1.1351913197653558,-437.04865810966174,24.387218363389533,95.84415584415584,0.0,94.54545454545456,91.68831168831169,85.45454545454545
base,oos_warm,real,prev_stop_other_zone,8489,14795,57.37749239607975,60.52538579337967,-0.1280436292925917,-1086.9623690648075,60.652259548911445,13.64118270703263,836.0,26.48132877841913,0.0,2.685828719519378
base,oos_warm,real,prev_tp_same_zone,2838,14795,19.182156133828997,55.53206483439042,-0.0191576718553046,-54.36947272535457,3.0338045411018766,8.17477096546864,147.5,26.21564482029598,8.17477096546864,32.66384778012685
base,oos_warm,real,prev_tp_other_zone,3083,14795,20.83812098681987,57.83327927343497,-0.0703661276378768,-216.93877150757447,12.105135421587809,4.703211157963023,1520.0,19.591307168342524,0.0,3.470645475186507
base,oos_warm,proxy,prev_stop_same_zone,391,14795,2.642784724569111,97.44245524296676,-1.1287552723788392,-441.3433115001258,24.626859071775005,94.8849104859335,0.0,93.60613810741688,90.28132992327366,84.39897698209718
base,oos_warm,proxy,prev_stop_other_zone,8483,14795,57.336938154782025,60.50925380172109,-0.1276279282888539,-1082.6677156743433,60.412618840525965,13.627254509018035,836.0,26.47648237651774,0.0,2.675940115525168
base,oos_warm,proxy,prev_tp_same_zone,2841,14795,19.202433254477864,55.57902147131292,-0.0203874849454683,-57.920844730075345,3.2319703127195134,8.236536430834214,147.0,26.223160858852516,8.166138683562126,32.62935586061246
base,oos_warm,proxy,prev_tp_other_zone,3080,14795,20.817843866171003,57.79220779220779,-0.0692816232152121,-213.38739950285375,11.906969649970176,4.642857142857143,1520.0,19.57792207792208,0.0,3.4740259740259742
base,oos,real,prev_stop_same_zone,374,14486,2.5818031202540386,97.59358288770052,-1.1344816890443816,-424.29615170259814,23.42218390394587,95.72192513368984,0.0,94.38502673796792,91.44385026737967,85.02673796791444
base,oos,real,prev_stop_other_zone,8333,14486,57.52450641999172,60.61442457698307,-0.1305081876025202,-1087.524727291802,60.034021191338546,13.548541941677668,860.0,26.065042601704068,0.0,2.5441017640705628
base,oos,real,prev_tp_same_zone,2769,14486,19.11500759353859,56.085229324665946,-0.0339002715285649,-93.86985186259606,5.181845096966544,7.547851209823041,153.0,26.00216684723727,7.547851209823041,31.88876850848682
base,oos,real,prev_tp_other_zone,3010,14486,20.778682866215657,57.64119601328904,-0.0667482517430123,-200.9122377464672,11.090846245406178,4.385382059800665,1506.0,19.46843853820598,0.0,3.1893687707641196
base,oos,proxy,prev_stop_same_zone,380,14486,2.623222421648488,97.36842105263158,-1.1278705397185864,-428.5908050930623,23.65925926065489,94.73684210526316,0.0,93.42105263157896,90.0,83.94736842105263
base,oos,proxy,prev_stop_other_zone,8327,14486,57.48308711859727,60.59805452143629,-0.130086474588848,-1083.2300739013378,59.796945834629526,13.534286057403628,861.0,26.059805452143628,0.0,2.5339257835955324
