scenario,scope,segment,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events
alpha_0.00,1h,full,9,9,2217,0.5926928281461434,641.7856372420684,0.11228275127520859,6,0.05,5.0,0
alpha_0.00,1h,oos_warm,9,9,770,0.548051948051948,3.1540390076846228,0.07902928141698418,4,0.04,3.952510444038805,0
alpha_0.00,1h,oos,9,9,756,0.5436507936507936,2.756864874779375,0.07902928141698401,4,0.039999999999999994,3.952510444038806,0
alpha_0.25,1h,full,9,9,2217,0.5926928281461434,394.51068984679074,0.11933433826693743,6,0.049999999999999996,5.0,0
alpha_0.25,1h,oos_warm,9,9,770,0.548051948051948,2.625960738159276,0.09717836489908767,4,0.04,3.9525104440388055,0
alpha_0.25,1h,oos,9,9,756,0.5436507936507936,2.280702982574418,0.09717836489908671,4,0.039999999999999994,3.9525104440388064,0
alpha_0.50,1h,full,9,9,2217,0.5926928281461434,242.07792845810064,0.1263401492453928,6,0.049999999999999996,5.0,0
alpha_0.50,1h,oos_warm,9,9,770,0.548051948051948,2.16432521274763,0.1194415085409045,4,0.039999999999999994,3.952510444038806,0
alpha_0.50,1h,oos,9,9,756,0.5436507936507936,1.8642688043167466,0.11944150854090418,4,0.04,3.9525104440388055,0
alpha_1.00,1h,full,9,9,2217,0.5926928281461434,90.49204058942705,0.16246176317329655,6,0.05,5.0,0
alpha_1.00,1h,oos_warm,9,9,770,0.548051948051948,1.4083035190331383,0.16246176317329694,4,0.04,3.9525104440388055,0
alpha_1.00,1h,oos,9,9,756,0.5436507936507936,1.1818338343967327,0.16246176317329716,4,0.04,3.9525104440388055,0
limit_nonfill,1h,full,9,9,2217,0.5926928281461434,641.7856372420684,0.11228275127520859,6,0.05,5.0,0
limit_nonfill,1h,oos_warm,9,9,770,0.548051948051948,3.1540390076846228,0.07902928141698418,4,0.04,3.952510444038805,0
limit_nonfill,1h,oos,9,9,756,0.5436507936507936,2.756864874779375,0.07902928141698401,4,0.039999999999999994,3.952510444038806,0
alpha_0.00,4h,full,9,9,559,0.6100178890876565,10.087425797960655,0.09037676612439167,7,0.07,3.427839819273696,0
alpha_0.00,4h,oos_warm,9,9,215,0.5720930232558139,1.0543603932382652,0.06300854459880434,5,0.04535375294728064,3.4278398192736965,0
alpha_0.00,4h,oos,9,9,202,0.5594059405940595,0.85704165609101,0.05853109599862348,5,0.04535375294728063,3.427839819273697,0
alpha_0.25,4h,full,9,9,559,0.6100178890876565,9.012371097812135,0.09259574947723456,7,0.07,3.427839819273697,0
alpha_0.25,4h,oos_warm,9,9,215,0.5720930232558139,0.9654641561123077,0.06519191499148623,5,0.04535375294728063,3.427839819273697,0
alpha_0.25,4h,oos,9,9,202,0.5594059405940595,0.777598729873616,0.06499588065081603,5,0.04535375294728064,3.427839819273697,0
alpha_0.50,4h,full,9,9,559,0.6100178890876565,8.040008889309991,0.09481169121275185,7,0.06999999999999999,3.4278398192736965,0
alpha_0.50,4h,oos_warm,9,9,215,0.5720930232558139,0.8802485205684374,0.06958302252003427,5,0.04535375294728064,3.427839819273697,0
alpha_0.50,4h,oos,9,9,202,0.5594059405940595,0.7014052442588224,0.07664734002014771,5,0.04535375294728064,3.427839819273697,0
alpha_1.00,4h,full,9,9,559,0.6100178890876565,6.365603534724007,0.10452894997958419,7,0.07,3.4278398192736965,0
alpha_1.00,4h,oos_warm,9,9,215,0.5720930232558139,0.7202813515111611,0.09348866139999874,5,0.04535375294728063,3.427839819273696,0
alpha_1.00,4h,oos,9,9,202,0.5594059405940595,0.5582630198258068,0.0996214911755212,5,0.04535375294728063,3.427839819273696,0
limit_nonfill,4h,full,9,9,559,0.6100178890876565,10.087425797960655,0.09037676612439167,7,0.07,3.427839819273696,0
limit_nonfill,4h,oos_warm,9,9,215,0.5720930232558139,1.0543603932382652,0.06300854459880434,5,0.04535375294728064,3.4278398192736965,0
limit_nonfill,4h,oos,9,9,202,0.5594059405940595,0.85704165609101,0.05853109599862348,5,0.04535375294728063,3.427839819273697,0
alpha_0.00,both,full,18,9,2776,0.5961815561959655,6825.024987646043,0.10351298677296246,8,0.08043388010398919,5.0,0
alpha_0.00,both,oos_warm,18,9,985,0.5532994923857868,7.413323609337074,0.09064868249152229,7,0.06916034941237831,4.555801705445583,0
alpha_0.00,both,oos,18,9,958,0.5469728601252609,5.903322043629241,0.09064868249152232,6,0.06032588431677771,4.555801705445582,0
alpha_0.25,both,full,18,9,2776,0.5961815561959655,3791.532826536075,0.12051381013674634,8,0.0804370526776634,5.0,0
alpha_0.25,both,oos_warm,18,9,985,0.5532994923857868,6.025539805386515,0.09347961709837481,7,0.06916033369638974,4.555801705445582,0
alpha_0.25,both,oos,18,9,958,0.5469728601252609,4.770074539585882,0.0934796170983752,6,0.06034119292418274,4.555801705445583,0
alpha_0.50,both,full,18,9,2776,0.5961815561959655,2103.05242270567,0.13723515520186064,8,0.08044022666878445,5.0,0
alpha_0.50,both,oos_warm,18,9,985,0.5532994923857868,4.864653282002719,0.10265679147879059,7,0.06916031797565367,4.555801705445582,0
alpha_0.50,both,oos,18,9,958,0.5469728601252609,3.821205099155668,0.1026567914787897,6,0.0603565169950658,4.555801705445582,0
alpha_1.00,both,full,18,9,2776,0.5961815561959655,643.735187371664,0.18553095890136806,8,0.08044657890716855,5.0,0
alpha_1.00,both,oos_warm,18,9,985,0.5532994923857868,3.08239549300406,0.15214943875142936,7,0.06916028651993045,4.555801705445582,0
alpha_1.00,both,oos,18,9,958,0.5469728601252609,2.3624241322581425,0.1521494387514302,6,0.06038721162108024,4.555801705445583,0
limit_nonfill,both,full,18,9,2776,0.5961815561959655,6825.024987646043,0.10351298677296246,8,0.08043388010398919,5.0,0
limit_nonfill,both,oos_warm,18,9,985,0.5532994923857868,7.413323609337074,0.09064868249152229,7,0.06916034941237831,4.555801705445583,0
limit_nonfill,both,oos,18,9,958,0.5469728601252609,5.903322043629241,0.09064868249152232,6,0.06032588431677771,4.555801705445582,0
