combo,segment,rank_bucket,num_trades,trade_share,mean_net_r,net_r_sum,stop_rate,mean_alive_zones,mean_stop_width
ts4·하한4%·%K<15,full,1,278,0.3228803716608595,0.05300964611779772,14.736681620747772,0.31654676258992803,11.010791366906474,0.07220335125672375
ts4·하한4%·%K<15,full,2,234,0.27177700348432055,0.2536647715696993,59.35755654730967,0.3076923076923077,12.311965811965813,0.07237424685295721
ts4·하한4%·%K<15,full,3,110,0.12775842044134728,0.1002504217691818,11.02754639461,0.4636363636363636,11.7,0.07213667833238521
ts4·하한4%·%K<15,full,4-5,126,0.14634146341463414,0.08135433360590374,10.250646034343866,0.5317460317460317,13.031746031746032,0.07335969785904398
ts4·하한4%·%K<15,full,6-10,94,0.1091753774680604,0.29641134325238305,27.862666265724005,0.39361702127659576,15.75531914893617,0.07806322974456106
ts4·하한4%·%K<15,full,11+,19,0.022067363530778164,0.4884714484469376,9.280957520491812,0.21052631578947367,19.0,0.07910615885792757
ts4·하한4%·%K<15,oos_warm,1,82,0.3504273504273504,0.049494605003092974,4.058557610253624,0.2926829268292683,11.768292682926829,0.06882035951844778
ts4·하한4%·%K<15,oos_warm,2,66,0.28205128205128205,0.6683575065711054,44.111595433692955,0.2878787878787879,14.136363636363637,0.0594416086339058
ts4·하한4%·%K<15,oos_warm,3,25,0.10683760683760683,-0.20981561425015904,-5.245390356253975,0.6,14.08,0.06680861690468003
ts4·하한4%·%K<15,oos_warm,4-5,35,0.14957264957264957,-0.13490331648782833,-4.7216160770739934,0.5428571428571428,14.914285714285715,0.060478614346593955
ts4·하한4%·%K<15,oos_warm,6-10,24,0.10256410256410256,0.4167264034552249,10.001433682925397,0.4166666666666667,17.416666666666668,0.07791244227635283
ts4·하한4%·%K<15,oos_warm,11+,2,0.008547008547008548,-0.32971324504243854,-0.6594264900848771,0.5,18.0,0.04436368282634161
ts4·하한4%·%K<25,full,1,1203,0.4439114391143911,0.09150158120647442,110.07640219138887,0.2660016625103907,11.635910224438902,0.07135850528357185
ts4·하한4%·%K<25,full,2,663,0.24464944649446493,0.1444205599217337,95.7508312281095,0.32428355957767724,12.422322775263952,0.06956366115674704
ts4·하한4%·%K<25,full,3,315,0.11623616236162361,0.07491434839583716,23.59801974468872,0.4603174603174603,13.187301587301587,0.06865168055171599
ts4·하한4%·%K<25,full,4-5,278,0.1025830258302583,0.17894593015422336,49.7469685828741,0.49640287769784175,13.852517985611511,0.0695373851321365
ts4·하한4%·%K<25,full,6-10,204,0.07527675276752767,0.16480011396199568,33.61922324824712,0.4803921568627451,16.28921568627451,0.07683318025438554
ts4·하한4%·%K<25,full,11+,47,0.01734317343173432,0.2605167710671832,12.24428824015761,0.40425531914893614,19.595744680851062,0.07333167959345971
ts4·하한4%·%K<25,oos_warm,1,320,0.47128129602356406,0.1388439795692889,44.43007346217242,0.26875,12.078125,0.06405656249485851
ts4·하한4%·%K<25,oos_warm,2,164,0.24153166421207659,0.34924909644617397,57.276851817172535,0.2865853658536585,13.329268292682928,0.060030811096740355
ts4·하한4%·%K<25,oos_warm,3,70,0.10309278350515463,-0.009466083907060068,-0.6626258734942044,0.4857142857142857,15.357142857142858,0.05922384681385369
ts4·하한4%·%K<25,oos_warm,4-5,74,0.10898379970544919,-0.007782552007325591,-0.5759088485420917,0.5135135135135135,15.824324324324325,0.060835434347230946
ts4·하한4%·%K<25,oos_warm,6-10,43,0.06332842415316642,0.22174325004228923,9.53495975181844,0.5348837209302325,16.627906976744185,0.07310868739912783
ts4·하한4%·%K<25,oos_warm,11+,8,0.011782032400589101,0.21931036051326983,1.7544828841061584,0.5,20.5,0.0893279973180852
