symbol,day,snapshots,best_lag_min,err_bp_at_0,err_bp_at_best,err_bp_at_plus5
BTCUSDT,2022-06-01,288,0,0.6266916948882706,0.6266916948882706,9.424704128626061
BTCUSDT,2023-06-01,288,0,0.361249196936253,0.361249196936253,5.4364077134039235
BTCUSDT,2024-03-01,288,0,0.1283748375530136,0.1283748375530136,10.180472917087346
BTCUSDT,2024-03-06,288,0,0.7506409833335503,0.7506409833335503,18.513193804768903
BTCUSDT,2025-06-01,288,0,0.06955420433940596,0.06955420433940596,4.285525605992602
ETHUSDT,2022-06-01,288,0,0.8918293256532372,0.8918293256532372,13.385613870580126
ETHUSDT,2023-06-01,288,0,0.1375330052100221,0.1375330052100221,4.788091587188958
ETHUSDT,2024-03-01,288,0,0.3556580281077748,0.3556580281077748,10.476000324267654
ETHUSDT,2024-03-06,288,0,0.5711097438909629,0.5711097438909629,21.06282484717614
ETHUSDT,2025-06-01,288,0,0.27535949032431173,0.27535949032431173,8.63510804242129
SOLUSDT,2022-06-01,288,0,2.2299030269390396,2.2299030269390396,21.126120835431863
SOLUSDT,2023-06-01,288,0,0.6958147109770163,0.6958147109770163,7.451561910974958
SOLUSDT,2024-03-01,288,0,1.022862428103899,1.022862428103899,24.97216746873643
SOLUSDT,2024-03-06,288,0,1.142177155551427,1.142177155551427,26.349815036678102
SOLUSDT,2025-06-01,288,0,0.6456403198362715,0.6456403198362715,11.694014533474295
BNBUSDT,2022-06-01,288,0,0.9652198081966379,0.9652198081966379,13.110639726845452
BNBUSDT,2023-06-01,288,0,0.3378867722297896,0.3378867722297896,2.9841539898373126
BNBUSDT,2024-03-01,288,0,0.3357081086896585,0.3357081086896585,6.768094138143166
BNBUSDT,2024-03-06,288,0,0.6375323544205447,0.6375323544205447,16.32722309944601
BNBUSDT,2025-06-01,288,0,0.15388640120406194,0.15388640120406194,5.483398770796399
XRPUSDT,2022-06-01,288,0,2.2444933875298556,2.2444933875298556,11.970319796966166
XRPUSDT,2023-06-01,288,0,1.009912694849291,1.009912694849291,9.335573394607666
XRPUSDT,2024-03-01,288,0,1.6600331477534258,1.6600331477534258,12.011999694944153
XRPUSDT,2024-03-06,288,0,1.6202254964314822,1.6202254964314822,18.935276352127218
XRPUSDT,2025-06-01,288,0,0.46197911854339857,0.46197911854339857,9.241932065135462
TRXUSDT,2022-06-01,288,0,1.5761454334750624,1.5761454334750624,20.218576683252998
TRXUSDT,2023-06-01,288,0,1.3336000592734099,1.3336000592734099,5.185832535806734
TRXUSDT,2024-03-01,288,0,0.7085665698303156,0.7085665698303156,3.3307057364950765
TRXUSDT,2024-03-06,288,0,0.9950875360359435,0.9950875360359435,5.0681007714536985
TRXUSDT,2025-06-01,288,0,0.5675922710635106,0.5675922710635106,4.478280564877979
DOGEUSDT,2022-06-01,288,0,1.2928813844265141,1.2928813844265141,13.62388240726986
DOGEUSDT,2023-06-01,288,0,1.3903371634788053,1.3903371634788053,4.825795691673074
DOGEUSDT,2024-03-01,288,0,2.5279105960529513,2.5279105960529513,32.469110545051414
DOGEUSDT,2024-03-06,288,0,2.4701559181916632,2.4701559181916632,43.685204299461766
DOGEUSDT,2025-06-01,288,0,0.5344313391780764,0.5344313391780764,12.382454714999769
LINKUSDT,2022-06-01,288,0,2.310175665448111,2.310175665448111,23.429749267560585
LINKUSDT,2023-06-01,288,0,1.4396083352069544,1.4396083352069544,6.145763199406629
LINKUSDT,2024-03-01,288,0,0.9436690288266991,0.9436690288266991,12.163932299291691
LINKUSDT,2024-03-06,288,0,0.9168433983408608,0.9168433983408608,20.394516263563812
LINKUSDT,2025-06-01,288,0,1.2819830326737947,1.2819830326737947,12.936145763945973
LTCUSDT,2022-06-01,288,0,2.148866261079685,2.148866261079685,15.94781396452749
LTCUSDT,2023-06-01,288,0,1.0590416416178527,1.0590416416178527,11.927980751293422
LTCUSDT,2024-03-01,288,0,1.178134097642447,1.178134097642447,16.56532873385741
LTCUSDT,2024-03-06,288,0,1.1880114240003792,1.1880114240003792,18.39367468984554
LTCUSDT,2025-06-01,288,0,0.9466124972912215,0.9466124972912215,9.034950065456293
ADAUSDT,2022-06-01,288,0,1.7831674147139598,1.7831674147139598,24.473829307877224
ADAUSDT,2023-06-01,288,0,1.585227649529286,1.585227649529286,5.489980785066684
ADAUSDT,2024-03-01,288,0,1.4603904364224318,1.4603904364224318,19.30266537872205
ADAUSDT,2024-03-06,288,0,1.3970385242439987,1.3970385242439987,25.33056700527503
ADAUSDT,2025-06-01,288,0,1.4595428732600002,1.4595428732600002,12.287479048294081
DOTUSDT,2022-06-01,288,0,1.88617603996577,1.88617603996577,21.117484991657886
DOTUSDT,2023-06-01,288,0,1.3641226054539324,1.3641226054539324,5.559260984034919
DOTUSDT,2024-03-01,288,0,1.1888486043309943,1.1888486043309943,15.407413954183768
DOTUSDT,2024-03-06,288,0,1.905691789318431,1.905691789318431,25.644679700816408
DOTUSDT,2025-06-01,288,0,1.9853057582513989,1.9853057582513989,12.30769398561704
BCHUSDT,2022-06-01,288,0,1.733565702024542,1.733565702024542,17.435907457530874
BCHUSDT,2023-06-01,288,0,0.8867606632972924,0.8867606632972924,4.442865074908986
BCHUSDT,2024-03-01,288,0,0.9602340090864026,0.9602340090864026,13.265663162234652
BCHUSDT,2024-03-06,288,0,1.4068335399697318,1.4068335399697318,23.05394861577492
BCHUSDT,2025-06-01,288,0,0.7248485284105932,0.7248485284105932,9.941409813692959
