cap,cap_name,segment,num_trades,win_rate,mean_net_r,stderr_net_r,total_return,max_drawdown,return_over_mdd,wallet_defined,liquidation_events,peak_concurrency,stop_rate
,무제한(오늘),full,49432,0.4041106975238712,-0.09868054824901139,0.00572695168699329,-0.9999999999999997,0.9999999999999997,-1.0,True,0,24,0.5958893024761288
,무제한(오늘),oos_warm,14843,0.4003233847604932,-0.12073851686076328,0.010474882091329303,-0.9999985857315258,0.9999990779430545,-0.9999995077880174,True,0,17,0.5996766152395069
10.0,High(10),full,48588,0.40544990532641806,-0.09521308148196567,0.005779412778770853,-0.9999999999999997,0.9999999999999999,-0.9999999999999998,True,0,24,0.594550094673582
10.0,High(10),oos_warm,14446,0.40606396234251696,-0.1059142677134434,0.010643588541462086,-0.9999902920321925,0.999993995887018,-0.999996296122936,True,0,17,0.593936037657483
5.0,Medium(5),full,46810,0.406793420209357,-0.09200616277012091,0.0058915655198180025,-0.9999999999999986,0.9999999999999989,-0.9999999999999997,True,0,23,0.5932065797906431
5.0,Medium(5),oos_warm,13890,0.40806335493160545,-0.10119273750880231,0.010866265786218817,-0.999972021939992,0.9999822511039933,-0.9999897706544392,True,0,17,0.5919366450683945
3.0,Low(3) = 원본 기본,full,44741,0.4068304239958874,-0.09205521746743642,0.006026033378474187,-0.9999999999999962,0.9999999999999974,-0.9999999999999988,True,0,23,0.5931695760041126
3.0,Low(3) = 원본 기본,oos_warm,13275,0.40806026365348397,-0.10113633918328954,0.011115606733635885,-0.9999503984124465,0.9999664149959154,-0.9999839828785959,True,0,15,0.591939736346516
1.0,One(1),full,37516,0.4033479048939119,-0.10088750052647791,0.006569952951163755,-0.9999999999999245,0.9999999999999467,-0.9999999999999778,True,0,18,0.5966520951060881
1.0,One(1),oos_warm,11148,0.40392895586652316,-0.11078552922371204,0.01210325076863868,-0.9998968249682723,0.9999326891166649,-0.9999641334373973,True,0,16,0.5960710441334769
