lens,seed,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_concurrent_risk_ratio,liquidations
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,is,single,1.0,-0.0059988596928054905,0.4696969696969697,0.08387480986680465,66,0.22123893805309736,0.17424242424242425,-0.2759242371362228,1,,
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,is,lev_1,1.0,-0.027036699363404842,0.45588235294117646,0.10326442028743549,68,0.22123893805309736,0.13970588235294118,-2.9476166334168954,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,is,lev_2,2.0,0.0019499800888068421,0.45588235294117646,0.1011308029187308,68,0.22123893805309736,0.13970588235294118,0.7803645608476136,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,is,lev_3,3.0,0.006571519576066021,0.45588235294117646,0.10113080291873082,68,0.22123893805309736,0.13970588235294118,1.299082464658863,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,is,single,1.0,0.0011332499933172585,0.4714285714285714,0.10821146222301077,70,0.2359882005899705,0.17857142857142858,0.6360399507301053,1,,
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,is,lev_1,1.0,0.009175470977016993,0.4861111111111111,0.10821146222301056,72,0.2359882005899705,0.2152777777777778,1.6066860069284914,2,0.015391171402688055,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,is,lev_2,2.0,0.04548776834174205,0.4794520547945205,0.11531659055673303,73,0.2359882005899705,0.19863013698630136,5.27965063658057,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,is,lev_3,3.0,0.04155544025651998,0.4794520547945205,0.11328275824877203,73,0.2359882005899705,0.19863013698630136,4.779467196942005,2,0.02,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,is,single,1.0,-0.045465397315186416,0.4383561643835616,0.06556359194320237,73,0.24778761061946902,0.0958904109589041,-5.108891834434847,1,,
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,is,lev_1,1.0,-0.04761914806934674,0.44,0.07541688792866438,75,0.24778761061946902,0.1,-5.24194137280682,2,0.02,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,is,lev_2,2.0,-0.030802323292586697,0.44,0.08132751994369046,75,0.24778761061946902,0.1,-2.6752085932978376,2,0.02,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,is,lev_3,3.0,-0.030439842519531704,0.44,0.08295722777601612,75,0.24778761061946902,0.1,-2.5643878849462776,2,0.020000000000000004,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,is,single,1.0,0.004917920649792722,0.48333333333333334,0.061904788185073105,60,0.20353982300884957,0.20833333333333334,1.2139162782774309,1,,
