symbol,timeframe,rsi_overbought_before,rsi_overbought_after,total_return_before,total_return_after,max_drawdown_before,max_drawdown_after,sharpe_before,sharpe_after,num_trades_before,num_trades_after,entry_mode_after,rsi_mode_after,combine_obs_after,sizing_mode_before,sizing_mode_after,risk_per_trade_after
BTC/USDT:USDT,15m,80.0,80.0,-0.1970134246301911,-0.1812918815066256,0.1970134246301911,0.1812918815066256,-1.6802511528936452,-1.7493295721076192,68,68,close,closed_bar,True,full_position,risk_sizing,0.01
BTC/USDT:USDT,1d,70.0,70.0,-0.0071617311003841,-0.0056345811800354,0.1473061162586474,0.0206687443669928,0.0197238632186633,-0.119969850961353,7,7,close,closed_bar,True,full_position,risk_sizing,0.01
BTC/USDT:USDT,1h,80.0,80.0,0.1587241291834492,0.1085729505977049,0.0557363611215182,0.0172836269462435,0.891625407434456,1.3449577036516032,17,17,close,closed_bar,True,full_position,risk_sizing,0.01
BTC/USDT:USDT,2h,75.0,75.0,0.0421616905604652,0.0488995165143629,0.1299049074770598,0.0413547090478379,0.220941613592244,0.5193241791313132,26,26,close,closed_bar,True,full_position,risk_sizing,0.01
BTC/USDT:USDT,4h,80.0,80.0,-0.0600528527901602,-0.0445498274828867,0.1444211944979291,0.0511421191221121,-0.2638351561821122,-0.6644860696989805,9,9,close,closed_bar,True,full_position,risk_sizing,0.01
ETH/USDT:USDT,15m,80.0,80.0,-0.3578443927463708,-0.3107996907402712,0.3938745256717301,0.3393488767257877,-1.644005677366846,-2.031763248058636,88,88,close,closed_bar,True,full_position,risk_sizing,0.01
ETH/USDT:USDT,1d,70.0,70.0,-0.3549103226564162,-0.0811568882383418,0.4786815530221597,0.1003120579532925,-0.4289815035226407,-0.8453631159404852,12,12,close,closed_bar,True,full_position,risk_sizing,0.01
ETH/USDT:USDT,1h,80.0,80.0,-0.1113904845897361,-0.0304473008599476,0.178930986822789,0.0948456127824791,-0.5939435244887808,-0.2620033353082538,25,25,close,closed_bar,True,full_position,risk_sizing,0.01
ETH/USDT:USDT,2h,80.0,80.0,-0.2334946922388699,-0.0710264421700736,0.2759962917507274,0.0974067983609864,-0.7695383812638897,-0.703534906986874,19,19,close,closed_bar,True,full_position,risk_sizing,0.01
ETH/USDT:USDT,4h,80.0,80.0,-0.1063219181872617,-0.0766999897355657,0.2091968990781575,0.1071892633972461,-0.2164080118633204,-0.4339704116428803,15,15,close,closed_bar,True,full_position,risk_sizing,0.01
SOL/USDT:USDT,15m,80.0,80.0,0.007585995493598,-0.0978740178661857,0.1553747325772563,0.1142075491351448,0.0745532663091231,-0.7077767100064556,58,58,close,closed_bar,True,full_position,risk_sizing,0.01
SOL/USDT:USDT,1d,80.0,80.0,-0.2188691770355946,-0.0108623953062975,0.3397597585641989,0.0323218716764158,-0.4319250177731594,-0.2201719040641938,4,4,close,closed_bar,True,full_position,risk_sizing,0.01
SOL/USDT:USDT,1h,80.0,80.0,-0.00425794570701,-0.0667897364081762,0.1588673095500003,0.0750877985035005,0.0273028965001532,-0.7710330748198692,24,24,close,closed_bar,True,full_position,risk_sizing,0.01
SOL/USDT:USDT,2h,80.0,80.0,-0.1404791559026549,-0.0157911136769775,0.2183547630348535,0.0362426527935764,-0.5857468125325722,-0.2342211321816506,10,10,close,closed_bar,True,full_position,risk_sizing,0.01
SOL/USDT:USDT,4h,80.0,75.0,0.0019108157291189,-0.0637489542415236,0.2206514622300724,0.1165188941706,0.0443012238694085,-0.4403265385915728,9,24,close,closed_bar,True,full_position,risk_sizing,0.01
