segment,axis,bucket,color,num_trades,share,win_rate,mean_net_r,sum_net_r,sample_ok
full,overall,전체,진한 초록,12,0.00039662865642042637,0.75,0.762992305224063,9.155907662688756,False
full,overall,전체,연한 초록,1116,0.03688646504709965,0.43637992831541217,-0.036938386314587277,-41.2232391270794,True
full,overall,전체,연한 빨강,141,0.00466038671294001,0.6595744680851063,0.5345156545115479,75.36670728612826,True
full,overall,전체,진한 빨강,28985,0.9580234671955049,0.4050370881490426,-0.11239227363529598,-3257.690051319054,True
full,overall,전체,워밍업,1,3.305238803503553e-05,1.0,1.4044769444582943,1.4044769444582943,False
full,timeframe,15m,진한 초록,11,0.0005465566928351387,0.8181818181818182,0.938875969507641,10.32763566458405,False
full,timeframe,15m,연한 초록,685,0.03403557587200636,0.4481751824817518,-0.029054426501381854,-19.90228215344657,True
full,timeframe,15m,연한 빨강,123,0.006111497565338369,0.6422764227642277,0.48554053041047207,59.721485240488065,True
full,timeframe,15m,진한 빨강,19307,0.9593063698698201,0.40601854249753977,-0.13198814929156405,-2548.2951983722273,True
full,timeframe,1h,진한 초록,0,0.0,0.0,0.0,0.0,False
full,timeframe,1h,연한 초록,221,0.03829492289031364,0.42081447963800905,-0.061809624643822295,-13.659927046284727,True
full,timeframe,1h,연한 빨강,10,0.0017328019407381737,0.7,0.6673470935706693,6.6734709357066935,False
full,timeframe,1h,진한 빨강,5540,0.9599722751689482,0.40252707581227437,-0.08804890297173346,-487.7909224634033,True
full,timeframe,2h,진한 초록,1,0.00034626038781163435,0.0,-1.1717280018952938,-1.1717280018952938,False
full,timeframe,2h,연한 초록,142,0.04916897506925208,0.4507042253521127,0.0505148217272075,7.173104685263464,True
full,timeframe,2h,연한 빨강,8,0.002770083102493075,0.875,1.1214688887416875,8.9717511099335,False
full,timeframe,2h,진한 빨강,2737,0.9477146814404432,0.40555352575812936,-0.05622421000420114,-153.88566278149852,True
full,timeframe,4h,진한 초록,0,0.0,0.0,0.0,0.0,False
full,timeframe,4h,연한 초록,68,0.04625850340136054,0.3382352941176471,-0.21814903842075728,-14.834134612611495,True
full,timeframe,4h,연한 빨강,0,0.0,0.0,0.0,0.0,False
full,timeframe,4h,진한 빨강,1401,0.9530612244897959,0.4004282655246253,-0.048335665740134405,-67.7182677019283,True
full,timeframe,4h,워밍업,1,0.0006802721088435374,1.0,1.4044769444582943,1.4044769444582943,False
is,overall,전체,진한 초록,7,0.0003374957813027337,0.8571428571428571,1.0352545633227441,7.246781943259209,False
is,overall,전체,연한 초록,709,0.0341835012776626,0.4330042313117066,-0.04035690483833723,-28.613045530381097,True
is,overall,전체,연한 빨강,93,0.0044838725230220335,0.5913978494623656,0.3651235258298529,33.95648790217632,True
is,overall,전체,진한 빨강,19931,0.9609469167349693,0.4078571070192163,-0.09936212075956971,-1980.386428858984,True
is,overall,전체,워밍업,1,4.8213683043247675e-05,1.0,1.4044769444582943,1.4044769444582943,False
is,timeframe,15m,진한 초록,7,0.0005035608948996476,0.8571428571428571,1.0352545633227441,7.246781943259209,False
is,timeframe,15m,연한 초록,428,0.030789151859578447,0.4485981308411215,-0.021204049500509595,-9.075333186218106,True
is,timeframe,15m,연한 빨강,85,0.0061146680094957195,0.6,0.3835385948838009,32.600780565123074,True
is,timeframe,15m,진한 빨강,13381,0.9625926192360262,0.4065465959195875,-0.12438030703945246,-1664.3328884949135,True
is,timeframe,1h,진한 초록,0,0.0,0.0,0.0,0.0,False
is,timeframe,1h,연한 초록,144,0.03643724696356275,0.4166666666666667,-0.07512069484815614,-10.817380058134486,True
is,timeframe,1h,연한 빨강,5,0.0012651821862348178,0.4,-0.08485045033736868,-0.42425225168684344,False
is,timeframe,1h,진한 빨강,3803,0.9622975708502024,0.4086247699184854,-0.06569215951414488,-249.82728263229296,True
is,timeframe,2h,진한 초록,0,0.0,0.0,0.0,0.0,False
is,timeframe,2h,연한 초록,96,0.04961240310077519,0.4375,0.023877156233193485,2.2922069983865745,True
is,timeframe,2h,연한 빨강,3,0.0015503875968992248,0.6666666666666666,0.5933198629133639,1.7799595887400916,False
is,timeframe,2h,진한 빨강,1836,0.9488372093023256,0.41122004357298475,-0.035786986203045504,-65.70490666879155,True
is,timeframe,4h,진한 초록,0,0.0,0.0,0.0,0.0,False
is,timeframe,4h,연한 초록,41,0.04302203567681007,0.3170731707317073,-0.2685985191320744,-11.01253928441505,True
is,timeframe,4h,연한 빨강,0,0.0,0.0,0.0,0.0,False
is,timeframe,4h,진한 빨강,911,0.9559286463798531,0.41712403951701427,-0.0005722843721009432,-0.5213510629839593,True
is,timeframe,4h,워밍업,1,0.001049317943336831,1.0,1.4044769444582943,1.4044769444582943,False
oos_warm,overall,전체,진한 초록,5,0.0005254860746190226,0.6,0.3818251438859094,1.9091257194295468,False
oos_warm,overall,전체,연한 초록,407,0.04277456647398844,0.44226044226044225,-0.03098327665036425,-12.610193596698249,True
oos_warm,overall,전체,연한 빨강,48,0.005044666316342617,0.7916666666666666,0.8627129038323318,41.410219383951926,True
oos_warm,overall,전체,진한 빨강,9055,0.9516552811350499,0.3988956377691883,-0.14089939001393662,-1275.8439765761962,True
oos_warm,timeframe,15m,진한 초록,4,0.000642570281124498,0.75,0.77021343033121,3.08085372132484,False
oos_warm,timeframe,15m,연한 초록,257,0.041285140562248995,0.4474708171206226,-0.0421282060981652,-10.826948967228457,True
oos_warm,timeframe,15m,연한 빨강,38,0.006104417670682731,0.7368421052631579,0.7137027546148677,27.12070467536497,True
oos_warm,timeframe,15m,진한 빨강,5926,0.9519678714859438,0.40482618967262907,-0.14916677520710667,-883.9623098773142,True
oos_warm,timeframe,1h,진한 초록,0,0.0,0.0,0.0,0.0,False
oos_warm,timeframe,1h,연한 초록,77,0.04230769230769231,0.42857142857142855,-0.03691619465130183,-2.842546988150241,True
oos_warm,timeframe,1h,연한 빨강,5,0.0027472527472527475,1.0,1.419544637478707,7.097723187393536,False
oos_warm,timeframe,1h,진한 빨강,1738,0.954945054945055,0.3895281933256617,-0.13607824738044824,-236.50399394721904,True
oos_warm,timeframe,2h,진한 초록,1,0.001049317943336831,0.0,-1.1717280018952936,-1.1717280018952936,False
oos_warm,timeframe,2h,연한 초록,46,0.048268625393494226,0.4782608695652174,0.10610647145384541,4.880897686876889,True
oos_warm,timeframe,2h,연한 빨강,5,0.005246589716684155,1.0,1.4383583042386818,7.191791521193409,False
oos_warm,timeframe,2h,진한 빨강,901,0.9454354669464848,0.3940066592674806,-0.09786987359900844,-88.1807561127066,True
oos_warm,timeframe,4h,진한 초록,0,0.0,0.0,0.0,0.0,False
oos_warm,timeframe,4h,연한 초록,27,0.05222437137330754,0.37037037037037035,-0.1415405677109796,-3.821595328196449,True
oos_warm,timeframe,4h,연한 빨강,0,0.0,0.0,0.0,0.0,False
oos_warm,timeframe,4h,진한 빨강,490,0.9477756286266924,0.3693877551020408,-0.1371365645692742,-67.19691663894436,True
oos,overall,전체,진한 초록,5,0.0005419466724474311,0.6,0.3818251438859094,1.909125719429547,False
oos,overall,전체,연한 초록,393,0.04259700845436809,0.44274809160305345,-0.03173235147350052,-12.470814129085706,True
oos,overall,전체,연한 빨강,48,0.00520268805549534,0.7916666666666666,0.8627129038323315,41.41021938395191,True
oos,overall,전체,진한 빨강,8780,0.9516583568176892,0.3969248291571754,-0.1470476083770731,-1291.0780015507016,True
oos,timeframe,15m,진한 초록,4,0.0006576783952647156,0.75,0.7702134303312101,3.0808537213248406,False
oos,timeframe,15m,연한 초록,250,0.041104899704044726,0.444,-0.052464089761343646,-13.116022440335911,True
oos,timeframe,15m,연한 빨강,38,0.006247944755014798,0.7368421052631579,0.7137027546148677,27.12070467536497,True
oos,timeframe,15m,진한 빨강,5790,0.9519894771456757,0.40414507772020725,-0.1514337905515445,-876.8016472934427,True
oos,timeframe,1h,진한 초록,0,0.0,0.0,0.0,0.0,False
oos,timeframe,1h,연한 초록,72,0.041025641025641026,0.4305555555555556,-0.03438401019779818,-2.475648734241469,True
oos,timeframe,1h,연한 빨강,5,0.002849002849002849,1.0,1.419544637478707,7.097723187393536,False
oos,timeframe,1h,진한 빨강,1678,0.9561253561253561,0.38498212157330153,-0.14830247216790773,-248.8515482977492,True
oos,timeframe,2h,진한 초록,1,0.0010976948408342481,0.0,-1.1717280018952936,-1.1717280018952936,False
oos,timeframe,2h,연한 초록,46,0.050493962678375415,0.4782608695652174,0.10610647145384544,4.8808976868768905,True
oos,timeframe,2h,연한 빨강,5,0.005488474204171241,1.0,1.4383583042386818,7.191791521193409,False
oos,timeframe,2h,진한 빨강,859,0.9429198682766191,0.39231664726426074,-0.1036958165895481,-89.07470645042181,True
oos,timeframe,4h,진한 초록,0,0.0,0.0,0.0,0.0,False
oos,timeframe,4h,연한 초록,25,0.05230125523012552,0.4,-0.07040162565540933,-1.7600406413852334,True
oos,timeframe,4h,연한 빨강,0,0.0,0.0,0.0,0.0,False
oos,timeframe,4h,진한 빨강,453,0.9476987447698745,0.3576158940397351,-0.16854326602445407,-76.3500995090777,True
