check,arm,segment,metric,left,right,abs_diff
e 배수는 진입을 안 바꾼다,재진입켬·0.6R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입켬·0.8R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입켬·1R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입켬·1.5R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·0.6R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·0.8R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·1R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·1.5R,full,entry_set_hash,1.0,1.0,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,full,num_trades,43669.0,43669.0,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,full,win_rate,0.4082529941148183,0.4082529941148183,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,full,total_return,-22.492292109766275,-22.492292109766275,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,full,max_drawdown,13.92344792733708,13.92344792733708,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,oos_warm,num_trades,13393.0,13393.0,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,oos_warm,win_rate,0.4035690285970283,0.4035690285970283,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,oos_warm,total_return,-9.299702090682745,-9.299702090682745,0.0
f is_reentry 필터 ≡ 엔진 base-only,재진입끔·1.5R,oos_warm,max_drawdown,8.562893534244195,8.562893534244195,0.0
e 배수는 진입을 안 바꾼다,재진입켬·0.6R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입켬·0.8R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입켬·1R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입켬·1.5R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·0.6R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·0.8R,full,entry_set_hash,1.0,1.0,0.0
e 배수는 진입을 안 바꾼다,재진입끔·1R,full,entry_set_hash,1.0,1.0,0.0
