scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point
15m+1h+2h+4h,bollinger,off,,0.004,False,oos,48,12,11461,0.400837623244045,-0.9999590361350478,-0.0990452656249789,0.9999729989520588,16,0,0,465,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,True,full,48,12,60340,0.4051706993702353,-1.0000000000000002,-0.2429498842505013,1.0000000000000002,21,0,0,4606,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,True,is,48,12,41234,0.4073580055294175,-0.9999999999997478,-0.2206344619937996,0.9999999999998046,21,0,0,3200,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,True,oos_warm,48,12,19106,0.4004501203810321,-0.9999999088582644,-0.2911103637508065,0.9999999321300138,15,0,0,1380,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,True,oos,48,12,18790,0.399308142629058,-0.9999999133375675,-0.2963044112252043,0.9999999283547246,15,0,0,1383,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,False,full,48,12,52705,0.4099421307276349,-0.9999999999999998,-0.2276746706941573,1.0,20,0,0,4225,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,False,is,48,12,35635,0.4136944015714887,-0.9999999994740828,-0.2027451135412126,0.9999999995775538,20,0,0,2756,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,False,oos_warm,48,12,17070,0.4021089630931458,-0.999999071521596,-0.279717129343552,0.9999992790467536,15,0,0,1314,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0,False,oos,48,12,16830,0.4013666072489601,-0.9999990580415838,-0.2842975070601843,0.9999991755925388,15,0,0,1314,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,True,full,48,12,50598,0.4057077354836159,-1.0,-0.1076341713266759,1.0,21,0,0,3226,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,True,is,48,12,35214,0.4079911398875447,-0.9999999999846144,-0.0954333710071443,0.9999999999883236,21,0,0,2483,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,True,oos_warm,48,12,15384,0.4004810192407696,-0.999998834544448,-0.1355618222920907,0.9999992597965948,15,0,0,743,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,True,oos,48,12,15077,0.3991510247396697,-0.9999988745938084,-0.1398846297651213,0.9999991920117484,15,0,0,745,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,False,full,48,12,44166,0.4100892088937191,-0.9999999999998794,-0.0960260359202722,0.9999999999999288,20,0,0,2927,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,False,is,48,12,30413,0.4137375464439549,-0.9999999844400494,-0.0802510875902729,0.9999999893278986,20,0,0,2236,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,False,oos_warm,48,12,13753,0.4020213771540755,-0.9999922839219688,-0.1309103159726452,0.9999948208074012,14,0,0,691,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.0025,False,oos,48,12,13526,0.4013751293804524,-0.99999189667822,-0.1333799170058514,0.9999938531842656,14,0,0,693,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,True,full,48,12,48195,0.4046062869592281,-1.0000000000000002,-0.1013656469411628,1.0000000000000002,21,0,0,2920,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,True,is,48,12,33766,0.4063555055381153,-0.9999999999714754,-0.0917552869266026,0.9999999999782032,21,0,0,2289,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,True,oos_warm,48,12,14429,0.4005128560537805,-0.9999973104564566,-0.1238553147110432,0.9999984108167008,15,0,0,631,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,True,oos,48,12,14125,0.3990796460176991,-0.9999974444119706,-0.1282856796409065,0.9999983244838015,15,0,0,631,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,False,full,48,12,41995,0.4092391951422788,-0.9999999999995322,-0.0886749913602046,0.9999999999997448,20,0,0,2622,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,False,is,48,12,29126,0.4122776900363936,-0.9999999706434962,-0.0758015582438267,0.9999999799464008,20,0,0,2047,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,False,oos_warm,48,12,12868,0.4023158221945912,-0.9999840566859542,-0.1179352940378582,0.9999899061237852,14,0,0,575,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.003,False,oos,48,12,12640,0.4015822784810126,-0.9999836979910384,-0.1204808746231278,0.9999882676200336,14,0,0,575,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,True,full,48,12,42706,0.4041820821430244,-0.9999999999999932,-0.085512178188918,0.999999999999996,21,0,0,2360,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,True,is,48,12,30325,0.4057378400659522,-0.9999999996068843,-0.0779987606950506,0.9999999996948952,21,0,0,1901,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,True,oos_warm,48,12,12381,0.4003715370325498,-0.99998399890269,-0.1039149231611795,0.999990969432668,15,0,0,459,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,True,oos,48,12,12098,0.3985782774012233,-0.9999857863429432,-0.1091113957539703,0.999991056674709,15,0,0,459,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,False,full,48,12,37421,0.4087544426926057,-0.9999999999853952,-0.0738024040162329,0.9999999999937768,20,0,0,2129,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,False,is,48,12,26295,0.4118273436014451,-0.9999997921401308,-0.0623763221328091,0.9999998805829058,20,0,0,1715,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,False,oos_warm,48,12,11125,0.4015280898876404,-0.9999297414113152,-0.1007130607316585,0.9999573625087764,14,0,0,414,False
15m+1h+2h+4h,bollinger,2.60,2.6,0.004,False,oos,48,12,10914,0.4007696536558549,-0.9999280126481256,-0.1031473132409546,0.9999507953121688,14,0,0,415,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,True,full,48,12,54043,0.4067131728438465,-1.0,-0.2564224398683505,1.0,17,0,0,4114,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,True,is,48,12,36626,0.4094086168295746,-0.9999999999635062,-0.2332495656217874,0.9999999999713124,17,0,0,2889,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,True,oos_warm,48,12,17416,0.4010105649977032,-0.9999995639567928,-0.3052525059869808,0.9999996537746504,13,0,0,1225,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,True,oos,48,12,17084,0.3993210021072348,-0.9999996534666324,-0.3123557927783668,0.9999996934514545,13,0,0,1223,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,False,full,48,12,46162,0.4129803734673541,-0.9999999999995988,-0.2413464786068991,0.9999999999997587,17,0,0,3707,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,False,is,48,12,30845,0.4176365699465067,-0.999999936059744,-0.2139199559261889,0.9999999625644256,17,0,0,2401,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,False,oos_warm,48,12,15318,0.4036427732079906,-0.99999372008622,-0.2964627343915643,0.9999947208865292,13,0,0,1173,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0,False,oos,48,12,15072,0.4029989384288747,-0.9999934494629932,-0.3011301873574084,0.999994197653792,13,0,0,1170,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,True,full,48,12,44467,0.407560662963546,-0.9999999999999882,-0.1093638050286358,0.999999999999992,17,0,0,2789,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,True,is,48,12,30727,0.4106160705568392,-0.9999999979402576,-0.0947746180869664,0.9999999984431952,17,0,0,2180,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,True,oos_warm,48,12,13741,0.4006986391092351,-0.9999941449102832,-0.1420637564922686,0.9999957802018704,13,0,0,609,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,True,oos,48,12,13426,0.398778489497989,-0.9999950459812796,-0.1480631747764481,0.9999958730511188,13,0,0,609,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,False,full,48,12,37778,0.4137858012599926,-0.9999999998813136,-0.0941562000433739,0.999999999945581,17,0,0,2464,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,False,is,48,12,25741,0.4185152091993318,-0.999998056309078,-0.075215746424194,0.999999073605069,17,0,0,1908,False
15m+1h+2h+4h,bollinger,1.80,1.8,0.0025,False,oos_warm,48,12,12037,0.4036720112984963,-0.9999389371214096,-0.1346601642048212,0.9999513188617573,12,0,0,556,False
