scope,axis,threshold,real_total_return,real_num_trades,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations
BTC/USDT:USDT/4h,volume_percentile,0.7272727272727273,-0.04544477085464063,2,8,-0.02517011603449889,-0.04544477085464063,0.026109365706102734,1.0,100
BTC/USDT:USDT/1h,volume_percentile,0.7380952380952381,0.015195324381246359,6,23,0.01074343172750165,-0.07071901078524778,0.09231457763168996,0.52,100
ETH/USDT:USDT/4h,volume_percentile,0.7142857142857143,-0.010967953861610613,1,4,0.00832530966936922,-0.010967953861610613,0.03726520496583899,1.0,100
ETH/USDT:USDT/1h,volume_percentile,0.75,0.11263805460674482,8,31,0.06050770689863746,-0.027916122429922918,0.1489689158221366,0.18,100
SOL/USDT:USDT/4h,volume_percentile,0.7368421052631579,0.12351101146706978,2,7,0.05147985541224989,-0.06537640936256386,0.12351101146706978,0.34,100
SOL/USDT:USDT/1h,volume_percentile,0.7446808510638298,0.07222979464848087,6,22,0.06088751964863086,-0.04304740668708543,0.1608959796796735,0.43,100
pooled,volume_percentile,0.7351961059967779,0.2671614603872906,25,95,0.07516127676050306,-0.16793505798349326,0.40531271906796595,0.07,100
