scenario,k,variant,scope,segment,exclude,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,max_open_notional_ratio,liquidation_events
k1.00_pure,1.0,pure,4h,full,,9,9,665,0.6,13.835232800097176,0.08507020855343016,7,0.07,0.07,3.427839819273697,0
k1.00_pure,1.0,pure,4h,oos_warm,,9,9,258,0.562015503875969,1.1980336525417166,0.07276441927045543,5,0.04916787996269936,0.04916787996269936,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,oos,,9,9,236,0.538135593220339,0.8109315021038299,0.07466519534407867,5,0.04535375294728064,0.04535375294728064,3.427839819273697,0
k1.00_observed,1.0,observed,4h,full,,9,9,665,0.6,13.835232800097176,0.08507020855343016,7,0.07,0.07,3.427839819273697,0
k1.00_observed,1.0,observed,4h,oos_warm,,9,9,258,0.562015503875969,1.1980336525417166,0.07276441927045543,5,0.04916787996269936,0.04916787996269936,3.4278398192736965,0
k1.00_observed,1.0,observed,4h,oos,,9,9,236,0.538135593220339,0.8109315021038299,0.07466519534407867,5,0.04535375294728064,0.04535375294728064,3.427839819273697,0
k1.25_pure,1.25,pure,4h,full,,9,9,665,0.6,6.670331845568355,0.13943327266191397,7,0.07,0.08750000000000001,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,oos_warm,,9,9,258,0.562015503875969,0.6719556614101799,0.10027691878194939,5,0.04916787996269936,0.06145984995337421,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,oos,,9,9,236,0.538135593220339,0.3918885617315309,0.10965554652599264,5,0.04535375294728065,0.056692191184100814,3.427839819273697,0
k1.25_observed,1.25,observed,4h,full,,9,9,665,0.6,9.87104212995166,0.10712631803323418,7,0.06999999999999999,0.0875,3.4278398192736965,0
k1.25_observed,1.25,observed,4h,oos_warm,,9,9,258,0.562015503875969,0.9488095144669431,0.08074723499862224,5,0.049167879962699355,0.061459849953374196,3.4278398192736965,0
k1.25_observed,1.25,observed,4h,oos,,9,9,236,0.538135593220339,0.6129877045930722,0.08878952677130388,5,0.04535375294728063,0.05669219118410079,3.427839819273697,0
k1.50_pure,1.5,pure,4h,full,,9,9,665,0.6,2.9537394501023235,0.2146083246598891,7,0.06999999999999999,0.105,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,oos_warm,,9,9,258,0.562015503875969,0.2702074402078497,0.14752623083271932,5,0.04916787996269936,0.07375181994404903,3.427839819273697,0
k1.50_pure,1.5,pure,4h,oos,,9,9,236,0.538135593220339,0.06858417635579409,0.15407047972425686,5,0.04535375294728064,0.06803062942092096,3.427839819273697,0
k1.50_observed,1.5,observed,4h,full,,9,9,665,0.6,8.672275396871896,0.11569853452546802,7,0.06999999999999999,0.10499999999999998,3.4278398192736965,0
k1.50_observed,1.5,observed,4h,oos_warm,,9,9,258,0.562015503875969,0.8475063877942645,0.0922847946903851,5,0.04916787996269936,0.07375181994404906,3.427839819273697,0
k1.50_observed,1.5,observed,4h,oos,,9,9,236,0.538135593220339,0.5330204740726066,0.10269585361780957,5,0.04535375294728063,0.06803062942092095,3.4278398192736974,0
k2.00_pure,2.0,pure,4h,full,,9,9,665,0.6,0.04076121692639827,0.40715255713635584,7,0.07,0.14,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,oos_warm,,9,9,258,0.562015503875969,-0.2696597838466679,0.3613072031607433,5,0.04916787996269936,0.09833575992539872,3.427839819273697,0
k2.00_pure,2.0,pure,4h,oos,,9,9,236,0.538135593220339,-0.3723768508691015,0.4224440253107055,5,0.04535375294728064,0.09070750589456128,3.427839819273697,0
k2.00_observed,2.0,observed,4h,full,,9,9,665,0.6,8.136969336343515,0.12008972762087741,7,0.06999999999999999,0.13999999999999999,3.427839819273697,0
k2.00_observed,2.0,observed,4h,oos_warm,,9,9,258,0.562015503875969,0.7866098902388796,0.10192477614583949,5,0.04916787996269936,0.09833575992539872,3.4278398192736974,0
k2.00_observed,2.0,observed,4h,oos,,9,9,236,0.538135593220339,0.4844269846316887,0.1122252691001431,5,0.04535375294728064,0.09070750589456128,3.427839819273697,0
