barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
atr,BTC/USDT:USDT,1h,is,matched_random,19,96.0,74.0,0.0390242330591278,0.1023271261883479,0.4729729729729729
atr,BTC/USDT:USDT,1h,is,matched_random,-1,96.0,78.5,0.0453998194951987,0.081903891017743,0.4728158163477547
zone,BTC/USDT:USDT,1h,oos,default,-1,212.0,109.0,0.1855419399065662,0.0791562883340097,0.5321100917431193
zone,BTC/USDT:USDT,1h,oos,filter_bot3,-1,69.0,44.0,0.040030200350127,0.0390317486119191,0.5227272727272727
zone,BTC/USDT:USDT,1h,oos,matched_random,0,69.0,49.0,0.086137753326874,0.052515178035221,0.5306122448979592
zone,BTC/USDT:USDT,1h,oos,matched_random,1,69.0,47.0,0.0494516782813183,0.0782402694149254,0.5106382978723404
zone,BTC/USDT:USDT,1h,oos,matched_random,2,69.0,52.0,0.0298827800665349,0.0878696290987676,0.4807692307692308
zone,BTC/USDT:USDT,1h,oos,matched_random,3,69.0,53.0,0.118302393593831,0.0568680109292208,0.5471698113207547
zone,BTC/USDT:USDT,1h,oos,matched_random,4,69.0,46.0,0.0134172991498513,0.0949094410222033,0.4565217391304347
zone,BTC/USDT:USDT,1h,oos,matched_random,5,69.0,46.0,0.0427191519078538,0.0485798764761611,0.5
zone,BTC/USDT:USDT,1h,oos,matched_random,6,69.0,51.0,-0.0013941569660051,0.0697918328974119,0.4509803921568627
zone,BTC/USDT:USDT,1h,oos,matched_random,7,69.0,44.0,0.0409965695532609,0.0543936944578068,0.5227272727272727
zone,BTC/USDT:USDT,1h,oos,matched_random,8,69.0,54.0,0.0204127691762623,0.0991667403375194,0.4814814814814814
zone,BTC/USDT:USDT,1h,oos,matched_random,9,69.0,53.0,0.1634219057066358,0.0473646086108007,0.6226415094339622
zone,BTC/USDT:USDT,1h,oos,matched_random,10,69.0,50.0,0.0021631387079902,0.105093945066985,0.44
zone,BTC/USDT:USDT,1h,oos,matched_random,11,69.0,43.0,-0.0141984471266634,0.0852953680737371,0.4186046511627907
zone,BTC/USDT:USDT,1h,oos,matched_random,12,69.0,54.0,0.0293016043529522,0.0833653424198172,0.4814814814814814
zone,BTC/USDT:USDT,1h,oos,matched_random,13,69.0,53.0,0.0287535749568643,0.088945820347242,0.5094339622641509
zone,BTC/USDT:USDT,1h,oos,matched_random,14,69.0,47.0,0.0199554043450429,0.0724133244862495,0.4680851063829787
zone,BTC/USDT:USDT,1h,oos,matched_random,15,69.0,48.0,-0.0308750474661233,0.1103750723473591,0.4166666666666667
zone,BTC/USDT:USDT,1h,oos,matched_random,16,69.0,52.0,0.0023839223279199,0.071704363018602,0.4423076923076923
zone,BTC/USDT:USDT,1h,oos,matched_random,17,69.0,49.0,0.0087917477645605,0.0489284300587545,0.4489795918367347
zone,BTC/USDT:USDT,1h,oos,matched_random,18,69.0,54.0,0.039288833614944,0.0456721178767845,0.4814814814814814
zone,BTC/USDT:USDT,1h,oos,matched_random,19,69.0,44.0,-0.0130934661217521,0.1054079107525483,0.4318181818181818
zone,BTC/USDT:USDT,1h,oos,matched_random,-1,69.0,49.45,0.0317909704576076,0.0753450487864059,0.4821200397596229
atr,BTC/USDT:USDT,1h,oos,default,-1,212.0,141.0,0.1228755658037245,0.1057205386222932,0.4893617021276595
atr,BTC/USDT:USDT,1h,oos,filter_bot3,-1,69.0,51.0,0.0515464086438338,0.0472472817577899,0.5098039215686274
atr,BTC/USDT:USDT,1h,oos,matched_random,0,69.0,63.0,0.0071361061444433,0.1165367507257911,0.4444444444444444
atr,BTC/USDT:USDT,1h,oos,matched_random,1,69.0,63.0,0.1010310797070831,0.0620955097308775,0.5238095238095238
atr,BTC/USDT:USDT,1h,oos,matched_random,2,69.0,61.0,0.1255364937025762,0.055822502681722,0.5409836065573771
atr,BTC/USDT:USDT,1h,oos,matched_random,3,69.0,63.0,0.0285757959454973,0.1134963586041349,0.4761904761904761
atr,BTC/USDT:USDT,1h,oos,matched_random,4,69.0,57.0,0.0256373838800107,0.0714140534749006,0.4736842105263157
atr,BTC/USDT:USDT,1h,oos,matched_random,5,69.0,59.0,0.0403971394710095,0.0465653994141409,0.4915254237288136
atr,BTC/USDT:USDT,1h,oos,matched_random,6,69.0,59.0,0.0025643862471068,0.0439340655533477,0.4576271186440678
atr,BTC/USDT:USDT,1h,oos,matched_random,7,69.0,56.0,0.0769332083115718,0.0428790414828988,0.5178571428571429
atr,BTC/USDT:USDT,1h,oos,matched_random,8,69.0,65.0,0.0724992317980748,0.1100225785790235,0.5076923076923077
atr,BTC/USDT:USDT,1h,oos,matched_random,9,69.0,59.0,0.0464960178289884,0.0548163358479293,0.4915254237288136
atr,BTC/USDT:USDT,1h,oos,matched_random,10,69.0,59.0,0.0298768649559802,0.0990535835151731,0.4576271186440678
atr,BTC/USDT:USDT,1h,oos,matched_random,11,69.0,58.0,-0.019846518894551,0.0695616284993394,0.4482758620689655
atr,BTC/USDT:USDT,1h,oos,matched_random,12,69.0,65.0,0.021217789041495,0.0722163489494906,0.4615384615384615
atr,BTC/USDT:USDT,1h,oos,matched_random,13,69.0,59.0,-0.0008173534911915,0.1120865653289161,0.4576271186440678
atr,BTC/USDT:USDT,1h,oos,matched_random,14,69.0,58.0,0.0338775420880399,0.0367039838976286,0.4827586206896552
atr,BTC/USDT:USDT,1h,oos,matched_random,15,69.0,64.0,-0.0923913261277337,0.1543866786166024,0.359375
atr,BTC/USDT:USDT,1h,oos,matched_random,16,69.0,61.0,0.0111478054765755,0.0906730216817092,0.4426229508196721
atr,BTC/USDT:USDT,1h,oos,matched_random,17,69.0,58.0,-0.0202937707313507,0.0521845967854735,0.4310344827586206
atr,BTC/USDT:USDT,1h,oos,matched_random,18,69.0,60.0,-0.0096508921596905,0.0619677302958853,0.4333333333333333
atr,BTC/USDT:USDT,1h,oos,matched_random,19,69.0,59.0,0.0469291503809268,0.0956613060358984,0.4915254237288136
atr,BTC/USDT:USDT,1h,oos,matched_random,-1,69.0,60.3,0.0263428066787431,0.0781039019850441,0.469552902520247
zone,ETH/USDT:USDT,1h,is,default,-1,374.0,191.0,0.3113119433150819,0.0934574789260952,0.5287958115183246
zone,ETH/USDT:USDT,1h,is,filter_bot3,-1,125.0,89.0,0.2243158465462285,0.0666333179267815,0.5955056179775281
zone,ETH/USDT:USDT,1h,is,matched_random,0,125.0,89.0,0.0852845260216983,0.1246796609687697,0.5168539325842697
zone,ETH/USDT:USDT,1h,is,matched_random,1,125.0,90.0,0.0589015003457678,0.0670853080139622,0.4666666666666667
zone,ETH/USDT:USDT,1h,is,matched_random,2,125.0,90.0,0.0363425377671552,0.0837034380777357,0.4777777777777778
zone,ETH/USDT:USDT,1h,is,matched_random,3,125.0,85.0,0.0184666399051388,0.0872659620265841,0.4588235294117647
zone,ETH/USDT:USDT,1h,is,matched_random,4,125.0,92.0,-0.1136577435922221,0.1473819047080829,0.391304347826087
zone,ETH/USDT:USDT,1h,is,matched_random,5,125.0,85.0,-0.0735637889893429,0.1101845847422582,0.4235294117647059
zone,ETH/USDT:USDT,1h,is,matched_random,6,125.0,81.0,0.0034618141434213,0.1289888806704017,0.4444444444444444
zone,ETH/USDT:USDT,1h,is,matched_random,7,125.0,91.0,0.0980962548317113,0.091687172494888,0.5054945054945055
zone,ETH/USDT:USDT,1h,is,matched_random,8,125.0,88.0,0.0323776341326165,0.1116770461582716,0.4772727272727273
zone,ETH/USDT:USDT,1h,is,matched_random,9,125.0,84.0,0.0193755592106934,0.0754730595571945,0.4642857142857143
zone,ETH/USDT:USDT,1h,is,matched_random,10,125.0,87.0,0.2069005030564176,0.0545625929217847,0.5517241379310345
zone,ETH/USDT:USDT,1h,is,matched_random,11,125.0,94.0,-0.0774156081285889,0.1505963804915154,0.4042553191489361
zone,ETH/USDT:USDT,1h,is,matched_random,12,125.0,95.0,-0.0140291543461113,0.1148247893111504,0.4631578947368421
zone,ETH/USDT:USDT,1h,is,matched_random,13,125.0,92.0,0.0973516802104191,0.0703200567257114,0.5108695652173914
zone,ETH/USDT:USDT,1h,is,matched_random,14,125.0,90.0,0.0636316133315604,0.0521764880032049,0.5
zone,ETH/USDT:USDT,1h,is,matched_random,15,125.0,95.0,0.1895376059807624,0.045207461713313,0.5368421052631579
zone,ETH/USDT:USDT,1h,is,matched_random,16,125.0,88.0,0.1596319663413156,0.0367849831124453,0.5227272727272727
zone,ETH/USDT:USDT,1h,is,matched_random,17,125.0,90.0,0.0759814378550634,0.1135787707475892,0.4777777777777778
zone,ETH/USDT:USDT,1h,is,matched_random,18,125.0,92.0,0.1596932844339067,0.0515849534435377,0.532608695652174
zone,ETH/USDT:USDT,1h,is,matched_random,19,125.0,88.0,-0.0150831486703316,0.1111633632468625,0.4659090909090909
zone,ETH/USDT:USDT,1h,is,matched_random,-1,125.0,89.3,0.0505642556920525,0.0914463428567632,0.479616245844617
atr,ETH/USDT:USDT,1h,is,default,-1,374.0,215.0,0.0764535112072186,0.1857828482224731,0.4511627906976744
atr,ETH/USDT:USDT,1h,is,filter_bot3,-1,125.0,84.0,0.0887451135658206,0.1325895255436007,0.4880952380952381
atr,ETH/USDT:USDT,1h,is,matched_random,0,125.0,92.0,-0.0757784242644913,0.1707735771050078,0.4021739130434782
atr,ETH/USDT:USDT,1h,is,matched_random,1,125.0,101.0,0.051536542165026,0.0773806854259021,0.4554455445544554
atr,ETH/USDT:USDT,1h,is,matched_random,2,125.0,100.0,0.0914104009785198,0.1117181125883705,0.47
atr,ETH/USDT:USDT,1h,is,matched_random,3,125.0,97.0,-0.036610424340716,0.1400461870056795,0.4123711340206185
atr,ETH/USDT:USDT,1h,is,matched_random,4,125.0,98.0,-0.1662906677409099,0.2070455237786518,0.3571428571428571
atr,ETH/USDT:USDT,1h,is,matched_random,5,125.0,100.0,-0.1417219115987489,0.2146622284696425,0.37
atr,ETH/USDT:USDT,1h,is,matched_random,6,125.0,92.0,0.0048750530372466,0.1677162054192371,0.4239130434782608
atr,ETH/USDT:USDT,1h,is,matched_random,7,125.0,103.0,0.0792392225855221,0.104117826008538,0.4757281553398058
atr,ETH/USDT:USDT,1h,is,matched_random,8,125.0,92.0,-0.0372701733756308,0.1181489864848463,0.4130434782608695
atr,ETH/USDT:USDT,1h,is,matched_random,9,125.0,97.0,0.0345550687542707,0.0810524777768078,0.4536082474226804
