scope,arm,segment,lens,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,off,full,baseline,,27,9,3845,0.5932379713914174,174576.13514742738,0.13342445380092155,1308426.8301214632,11,0.10790157069274135,0
all,off,is,baseline,,27,9,2470,0.6153846153846154,9792.144810056649,0.13342445380092155,73390.9304561756,11,0.10790157069274135,0
all,off,oos_warm,baseline,,27,9,1375,0.5534545454545454,16.826463156978235,0.12169017081231474,138.27298494740415,10,0.09804077401800358,0
all,off,oos,baseline,,27,9,1332,0.5480480480480481,12.784059816578146,0.12169017081231472,105.05416938148002,8,0.07593255545135892,0
all,off,full,baseline,BNB,24,8,3458,0.5919606709080393,49916.85332719207,0.12787585838200483,390354.0039440045,11,0.10761808353674925,0
all,off,is,baseline,BNB,24,8,2217,0.6129905277401895,3653.4621084752193,0.1187232529055375,30772.92795693618,11,0.10761808353674925,0
all,off,oos_warm,baseline,BNB,24,8,1241,0.5543916196615633,12.659425613259277,0.12787585838200496,98.99777622951812,10,0.0962187106242445,0
all,off,oos,baseline,BNB,24,8,1198,0.5484140233722872,9.525870818501286,0.12787585838200508,74.49311339161875,8,0.07593255545135891,0
all,off,full,baseline,BTC,24,8,3422,0.5911747516072472,52644.93936042233,0.12898217951370697,408156.6892333971,9,0.09044943542952827,0
all,off,is,baseline,BTC,24,8,2185,0.6114416475972541,3355.981509608171,0.12898217951370697,26018.954884008068,9,0.09044943542952827,0
all,off,oos_warm,baseline,BTC,24,8,1237,0.555375909458367,14.682522888416896,0.1160451085101234,126.52427212936804,9,0.09000000000000001,0
all,off,oos,baseline,BTC,24,8,1194,0.5494137353433836,11.107426508940835,0.11604510851012342,95.71645588122188,8,0.0759325554513589,0
all,off,full,baseline,DOGE,24,8,3435,0.5924308588064047,42282.6745871797,0.148665885197849,284414.1043582975,11,0.10679506675874673,0
all,off,is,baseline,DOGE,24,8,2221,0.6114362899594777,2916.05232495385,0.148665885197849,19614.804842907168,11,0.10679506675874673,0
all,off,oos_warm,baseline,DOGE,24,8,1214,0.557660626029654,13.49534320158233,0.11357943780529592,118.81854200332269,10,0.09971929940843484,0
all,off,oos,baseline,DOGE,24,8,1179,0.553011026293469,10.643269566827886,0.11357943780529539,93.70771481606741,7,0.07032588431677772,0
all,off,full,baseline,ETH,24,8,3400,0.5914705882352941,42531.99427007737,0.13755508573981448,309199.721997387,10,0.10044024295180566,0
all,off,is,baseline,ETH,24,8,2191,0.6211775445002282,4898.9167386624795,0.1364158308917708,35911.64388060773,10,0.10044024295180566,0
all,off,oos_warm,baseline,ETH,24,8,1209,0.5376344086021505,7.680350409727071,0.13755508573981484,55.8347251824221,8,0.07621871062424448,0
all,off,oos,baseline,ETH,24,8,1176,0.5331632653061225,6.228893429718452,0.13755508573981576,45.282901727823784,8,0.07593255545135891,0
