symbol,timeframe,segment,lens,unit,buffer,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,would_be_stopped,rescued_tp,deeper_sl,unclosed_eod,rescue_net_r
BTC/USDT:USDT,4h,full,baseline,atr,0.0,86,60,52,0.6976744186046512,0.2580248461440513,0.0525647001677471,0.6346153846153846,17.960288868970725,0.5865384615384616,33,19,0,0,0,0,0,0.0
BTC/USDT:USDT,4h,full,baseline,atr,0.1,86,60,52,0.6976744186046512,0.2095654145854429,0.0522235133692525,0.6346153846153846,15.774343496879318,0.4746478631898714,33,19,0,19,0,19,0,-1.9125129658461408
BTC/USDT:USDT,4h,full,baseline,atr,0.25,86,60,52,0.6976744186046512,0.1775237249239873,0.0523572906991894,0.6538461538461539,14.75040974221365,0.3942155698678344,34,18,0,19,1,18,0,-1.9947619713885263
BTC/USDT:USDT,4h,full,baseline,atr,0.5,86,60,52,0.6976744186046512,0.1279596318902597,0.0541263657237565,0.6730769230769231,12.113408171378667,0.2915554426732333,35,17,0,19,2,17,0,-3.4608438905288113
BTC/USDT:USDT,4h,full,pen_5bp,atr,0.0,86,54,46,0.627906976744186,0.2119673542969745,0.0525647001677471,0.6086956521739131,16.429821684221135,0.5217391304347823,28,18,0,0,0,0,0,0.0
BTC/USDT:USDT,4h,full,pen_5bp,atr,0.1,86,54,48,0.627906976744186,0.1779821931312459,0.0522235133692528,0.625,14.521833809474648,0.4513575703293324,30,18,0,18,0,18,0,-1.795978239201081
BTC/USDT:USDT,4h,full,pen_5bp,atr,0.25,86,54,48,0.627906976744186,0.152158482177915,0.0523572906991894,0.6458333333333334,13.708023875429877,0.3766449843467891,31,17,0,18,1,17,0,-1.703425154775857
BTC/USDT:USDT,4h,full,pen_5bp,atr,0.5,86,54,48,0.627906976744186,0.1112525204261764,0.0541263657237565,0.6666666666666666,11.448481019816654,0.2797095085514605,32,16,0,18,2,16,0,-2.878170257303472
BTC/USDT:USDT,4h,is,baseline,atr,0.0,61,40,37,0.6557377049180327,0.2211799469355113,0.0525647001677471,0.6756756756756757,22.27062267546892,0.6891891891891893,25,12,0,0,0,0,0,0.0
BTC/USDT:USDT,4h,is,baseline,atr,0.1,61,40,37,0.6557377049180327,0.1843311813839511,0.0522235133692525,0.6756756756756757,20.061686890332936,0.567966473147396,25,12,0,12,0,12,0,-1.179485238908468
BTC/USDT:USDT,4h,is,baseline,atr,0.25,61,40,37,0.6557377049180327,0.14032957023081,0.0523572906991894,0.6756756756756757,16.82595566985408,0.43662573861075,25,12,0,12,0,12,0,-2.9487130972711655
BTC/USDT:USDT,4h,is,baseline,atr,0.5,61,40,37,0.6557377049180327,0.1118746196148018,0.0541263657237565,0.7027027027027027,15.348420077389818,0.3440724840941349,26,11,0,12,1,11,0,-2.868746142294036
BTC/USDT:USDT,4h,is,pen_5bp,atr,0.0,61,38,33,0.6229508196721312,0.1755827587547537,0.0525647001677471,0.6363636363636364,19.46382956930017,0.5909090909090902,21,12,0,0,0,0,0,0.0
