segment,threshold,scope,seed,is_actual,num_trades,mean_net_r,sum_net_r,win_rate,max_drawdown,blocked_candidates,trip_days
oos_warm,-1.0,both,-1,True,4088,-0.08032672510067126,-328.37565221154415,0.41854207436399216,2.1713211237383705,27935,524
oos_warm,-1.0,both,0,False,8120,-0.14093759080093005,-1144.413237303552,0.39064039408866996,7.313777212341295,19846,499
oos_warm,-1.0,both,1,False,7848,-0.11585950771562697,-909.2654165522405,0.40175840978593275,5.900269703929156,20119,501
oos_warm,-1.0,both,2,False,8438,-0.12505702700179416,-1055.2311938411392,0.3971320218061152,6.043798656004616,19288,502
oos_warm,-1.0,both,3,False,7970,-0.12321892974333346,-982.0548700543676,0.39761606022584695,5.369600106639742,19996,496
oos_warm,-1.0,both,4,False,7411,-0.08903389927578553,-659.8302275328466,0.4122250708406423,3.534474275935241,20075,498
oos_warm,-1.0,both,5,False,7459,-0.08024788287739171,-598.5689583824648,0.41614157393752516,2.5604576020454086,20375,501
oos_warm,-1.0,both,6,False,8394,-0.1347068141753717,-1130.7289981880701,0.39325708839647366,6.467278470555094,19326,494
oos_warm,-1.0,both,7,False,7657,-0.08652923236475966,-662.5543322169648,0.41347786339297377,3.7696223696112754,20032,491
oos_warm,-1.0,both,8,False,7257,-0.09038527112548045,-655.9259125576116,0.4120159845666253,3.3626380827138087,20759,494
oos_warm,-1.0,both,9,False,7400,-0.06323504721060265,-467.93934935845965,0.4213513513513514,3.0071806844027575,20802,498
oos_warm,-1.0,both,10,False,7313,-0.07431091428333415,-543.4357161540227,0.4178859565157938,3.155829959185447,20664,504
oos_warm,-1.0,both,11,False,7936,-0.14148635071021928,-1122.8356792363002,0.3918850806451613,7.592777526498435,19831,500
oos_warm,-1.0,both,12,False,8267,-0.1257756304621103,-1039.7871370302657,0.39675819523406314,5.8269828407665045,19290,504
oos_warm,-1.0,both,13,False,7351,-0.09754281619797756,-717.037241871333,0.409740171405251,4.059965771646449,20366,502
oos_warm,-1.0,both,14,False,8269,-0.1352582261831474,-1118.4502723084458,0.3946063611077518,6.5663527959401895,18886,503
oos_warm,-1.0,both,15,False,7478,-0.10068216525627459,-752.9012317864214,0.4083979673709548,4.591961556241528,20097,502
oos_warm,-1.0,both,16,False,7614,-0.06158935102458627,-468.94131870119986,0.4223798266351458,2.805425399297737,19594,500
oos_warm,-1.0,both,17,False,7973,-0.1398984039630557,-1115.409974797443,0.3918224006020319,7.867073740404397,20321,503
oos_warm,-1.0,both,18,False,8600,-0.16096656739868517,-1384.3124796286925,0.3833720930232558,9.075103699089654,18802,507
oos_warm,-1.0,both,19,False,7649,-0.0911267911807609,-697.0288257416402,0.4106419139756831,5.049349455054788,20393,497
oos_warm,-2.0,both,-1,True,5686,-0.086746811251209,-493.2423687743744,0.4161097432289835,3.027533171700526,23243,453
oos_warm,-2.0,both,0,False,8888,-0.07718635479753339,-686.0323214404767,0.4175292529252925,4.665180870274609,16379,419
oos_warm,-2.0,both,1,False,8909,-0.11027490021356712,-982.4390860026695,0.40386126389044785,5.383548515968572,16384,418
oos_warm,-2.0,both,2,False,9892,-0.1274348446331153,-1260.5854831107765,0.39648200566114034,6.988651912453505,15215,420
oos_warm,-2.0,both,3,False,8533,-0.06953642733936834,-593.35433448683,0.42025079104652524,3.438807554672807,16596,419
oos_warm,-2.0,both,4,False,10021,-0.1495596317400836,-1498.7370696673777,0.3880850214549446,8.969015079872307,14633,419
oos_warm,-2.0,both,5,False,8911,-0.06395410942305098,-569.8950690688073,0.42273594433845807,3.025125957857168,16131,422
oos_warm,-2.0,both,6,False,8564,-0.08241457540150368,-705.7984237384775,0.4155768332554881,3.9083563180484218,16939,422
oos_warm,-2.0,both,7,False,9799,-0.14140851848959293,-1385.662072679521,0.3918767221145015,7.987083789044892,14673,422
oos_warm,-2.0,both,8,False,9150,-0.0694476863715819,-635.4463302999744,0.42010928961748634,3.7001358323205684,16531,426
oos_warm,-2.0,both,9,False,9706,-0.12379851794505004,-1201.5884151746557,0.3991345559447764,7.069604489045387,14682,422
oos_warm,-2.0,both,10,False,9586,-0.10715923244051012,-1027.22840217473,0.4044439808053411,6.155637394388615,15823,422
oos_warm,-2.0,both,11,False,8762,-0.07832820136414605,-686.3117003526477,0.4171422049760329,4.076404785496695,16546,421
oos_warm,-2.0,both,12,False,9006,-0.10594260808408419,-954.1191284052622,0.4057295136575616,5.397232992911469,16231,417
oos_warm,-2.0,both,13,False,9846,-0.12837170928787373,-1263.9478496484046,0.39609993906154783,6.392508763573089,15064,422
oos_warm,-2.0,both,14,False,9459,-0.10631449177491892,-1005.6287776989581,0.4057511364837721,6.007725099153469,15757,420
oos_warm,-2.0,both,15,False,9241,-0.107903641191663,-997.1375482521578,0.4050427442917433,6.288774393741206,16413,420
oos_warm,-2.0,both,16,False,9910,-0.13238512114738302,-1311.9365505705657,0.3949545913218971,8.493022585628875,14668,421
oos_warm,-2.0,both,17,False,9498,-0.13390017678110375,-1271.7838790669234,0.3942935354811539,7.498976955641586,15845,423
oos_warm,-2.0,both,18,False,8973,-0.10389442481683014,-932.2446738814169,0.40688732865262456,5.159182140432579,15931,419
oos_warm,-2.0,both,19,False,10138,-0.14495697497072718,-1469.5738122532323,0.3900177549812586,9.036549081556277,14490,419
oos_warm,-3.0,both,-1,True,6535,-0.08126572028003011,-531.0714820299968,0.41836266258607496,3.2261540425535733,20850,394
oos_warm,-3.0,both,0,False,9679,-0.09112124483794311,-881.9625287864513,0.41161276991424733,4.924139600532362,13839,365
oos_warm,-3.0,both,1,False,10558,-0.12901026064730042,-1362.0903319141978,0.3960977457851866,8.044158822107969,13079,366
oos_warm,-3.0,both,2,False,10456,-0.12417900020905148,-1298.4156261858423,0.39824024483550113,7.563546832689161,13024,366
oos_warm,-3.0,both,3,False,10505,-0.11719223252879896,-1231.104402715033,0.4008567348881485,6.808167925871718,12791,368
oos_warm,-3.0,both,4,False,10744,-0.13773740782681823,-1479.8507096913352,0.39296351451973194,8.919080508552685,12657,368
oos_warm,-3.0,both,5,False,9795,-0.1011393406020054,-990.6598411966429,0.4077590607452782,5.021749186218009,13878,366
oos_warm,-3.0,both,6,False,10191,-0.11496139868116842,-1171.5716139597873,0.4019232656265332,6.536753794156164,13639,364
oos_warm,-3.0,both,7,False,10483,-0.1399867567996175,-1467.4811715303904,0.39187255556615475,9.508001257647534,12835,365
oos_warm,-3.0,both,8,False,9415,-0.09129240619758387,-859.5180043502521,0.4120021242697823,4.84177750196987,14396,368
oos_warm,-3.0,both,9,False,10213,-0.11096858056754326,-1133.3221133363193,0.40379907960442574,7.213984951656082,13415,371
oos_warm,-3.0,both,10,False,10726,-0.11865006969592254,-1272.6406475584652,0.40005593884020135,7.037024966459513,12708,363
oos_warm,-3.0,both,11,False,10383,-0.12616316248350365,-1309.9521160662184,0.398247134739478,7.065620804076574,13329,365
oos_warm,-3.0,both,12,False,10486,-0.1287329439178883,-1349.893649922977,0.3965287049399199,8.16898805714047,12781,362
oos_warm,-3.0,both,13,False,10933,-0.1275722261910476,-1394.7471489467234,0.39641452483307416,6.8328652998864685,12247,372
oos_warm,-3.0,both,14,False,10055,-0.10813901929340579,-1087.3378389951952,0.4047737444057683,6.477866403940684,14177,374
