combo,side,entry_time,entry_price,quantity,realized_pnl,capital_loss_pct
BTC_USDT_USDT_15m,short,1690934400000,29686.24945,0.3368562949268083,-80.39499669938918,0.8039499669938919
BTC_USDT_USDT_15m,short,1691498700000,29546.31945,0.335730648959074,-30.599867029322,0.30599867029322003
BTC_USDT_USDT_15m,short,1693324800000,27619.083550000003,0.2154859590731897,-107.3679843231505,1.073679843231505
BTC_USDT_USDT_15m,short,1694513700000,26226.38025,0.3748625304112897,-69.82044711284333,0.6982044711284332
BTC_USDT_USDT_15m,short,1695114900000,27238.274050000004,0.3583731773537549,-52.65987774751424,0.5265987774751424
BTC_USDT_USDT_15m,short,1697462100000,29451.96665,0.3296488500941351,-25.86521302764241,0.25865213027642414
BTC_USDT_USDT_15m,long,1703455200000,43080.3294,0.2252724216860649,-99.6553905857022,0.9965539058570219
BTC_USDT_USDT_15m,long,1705076100000,44178.77834999999,0.1749323159506425,-109.85540743948644,1.0985540743948645
BTC_USDT_USDT_15m,short,1712565900000,72021.27135000001,0.1328353914137398,-76.08833251459895,0.7608833251459894
BTC_USDT_USDT_15m,long,1713490200000,61047.60855,0.155466948874901,-56.419400484781576,0.5641940048478158
BTC_USDT_USDT_15m,long,1714466700000,61935.85245,0.1523264097238245,-44.16978829567919,0.4416978829567919
BTC_USDT_USDT_15m,long,1715352300000,61065.3174,0.1537746244253102,-91.37694409162089,0.9137694409162088
BTC_USDT_USDT_15m,short,1715779800000,64288.63960000001,0.0767642668895715,-113.5865445527288,1.1358654455272879
BTC_USDT_USDT_15m,short,1716246900000,71435.4644,0.1285822502464618,-45.378314224126406,0.45378314224126404
BTC_USDT_USDT_15m,short,1716823800000,70333.91545000001,0.1299508834002911,-60.58865434552206,0.6058865434552206
BTC_USDT_USDT_15m,short,1718197200000,69345.1101,0.1325964345991859,-81.62968111885121,0.816296811188512
BTC_USDT_USDT_15m,long,1722789900000,58676.52359999999,0.1552893042679584,-77.32034727711526,0.7732034727711526
BTC_USDT_USDT_15m,short,1726585200000,60986.59145,0.1497690480166071,-35.60696596404372,0.35606965964043713
BTC_USDT_USDT_15m,long,1727794800000,62187.978449999995,0.1463031441775417,-108.54806448181026,1.0854806448181025
BTC_USDT_USDT_15m,short,1728915300000,66005.5807,0.1361967975656094,-43.235411845767175,0.4323541184576718
BTC_USDT_USDT_15m,long,1736262900000,98492.92185,0.0938046954585033,-100.11747269218908,1.001174726921891
BTC_USDT_USDT_15m,long,1736763300000,92009.982,0.0957781750888757,-110.04428895187708,1.1004428895187708
BTC_USDT_USDT_15m,long,1740468600000,89092.22385,0.0725116794749318,-108.20652265850512,1.0820652265850512
BTC_USDT_USDT_15m,short,1744221600000,82240.6591,0.112506339704558,-73.38346059819672,0.7338346059819671
BTC_USDT_USDT_15m,short,1746676800000,99103.32355,0.092622646151741,-42.516345972617,0.42516345972617
BTC_USDT_USDT_15m,long,1748001600000,108154.05,0.0844785352343304,-52.58743332221261,0.5258743332221262
BTC_USDT_USDT_15m,short,1749463200000,107086.8298,0.0848293698422504,-78.59547717560226,0.7859547717560226
BTC_USDT_USDT_15m,short,1752089400000,111299.02265,0.0816717507668121,-50.35166938526996,0.5035166938526996
BTC_USDT_USDT_15m,short,1755871200000,115070.33605,0.0785574691043522,-72.85246181925756,0.7285246181925755
BTC_USDT_USDT_15m,short,1755875700000,116614.96335,0.0768922070518838,-36.57384387943187,0.36573843879431867
BTC_USDT_USDT_15m,short,1757637000000,115904.019,0.0770483037639671,-20.19278714102498,0.2019278714102498
BTC_USDT_USDT_15m,short,1759098600000,111793.97505,0.0797003172331118,-45.59362282758248,0.4559362282758248
BTC_USDT_USDT_15m,long,1763057700000,99109.9302,0.089131749376822,-100.04668159689297,1.0004668159689296
BTC_USDT_USDT_15m,long,1765810800000,87481.719,0.1004048121696164,-76.64327753292947,0.7664327753292948
BTC_USDT_USDT_15m,long,1768885200000,91422.78855,0.0953605078995519,-50.56484859007287,0.5056484859007288
BTC_USDT_USDT_15m,long,1769698800000,85343.75055,0.1015605553455638,-87.7789771193609,0.877789771193609
BTC_USDT_USDT_15m,short,1770396300000,69861.05200000001,0.0868796222969612,-96.68838180467984,0.9668838180467983
BTC_USDT_USDT_15m,long,1771808400000,65477.1222,0.1295580968921573,-71.91848697935269,0.7191848697935269
BTC_USDT_USDT_15m,short,1772038800000,68435.1653,0.1229071752564009,-35.21189081970932,0.3521189081970932
BTC_USDT_USDT_15m,long,1773837000000,72429.3966,0.1167053480898126,-33.58382554053538,0.3358382554053538
BTC_USDT_USDT_15m,long,1774136700000,68915.94075,0.1221678761832407,-82.09597713021266,0.8209597713021266
BTC_USDT_USDT_15m,short,1775430000000,68543.61104999999,0.1216337746399975,-38.657042811468386,0.38657042811468384
BTC_USDT_USDT_15m,long,1775957400000,71724.74444999998,0.1157001138211218,-50.39479990572747,0.5039479990572746
BTC_USDT_USDT_15m,long,1778851800000,79156.25834999999,0.1054857770167646,-56.00874164379212,0.5600874164379213
BTC_USDT_USDT_15m,short,1779568200000,76765.9978,0.1081843466735816,-62.87092829761847,0.6287092829761847
BTC_USDT_USDT_15m,long,1782315000000,60580.17495,0.1360512477430702,-54.927205507246065,0.5492720550724606
BTC_USDT_USDT_1d,short,1707868800000,51797.2884,0.1947170911254012,-75.48009884520704,0.7548009884520703
BTC_USDT_USDT_1d,short,1709078400000,62456.656050000005,0.0148476297408092,-92.89613263335416,0.9289613263335417
BTC_USDT_USDT_1d,short,1746662400000,103176.48595000002,0.0146260924152077,-98.33041874811452,0.9833041874811453
BTC_USDT_USDT_1h,short,1745355600000,92927.81285,0.05846622561167,-116.62323354744,1.1662323354744
BTC_USDT_USDT_1h,long,1770321600000,63782.77545,0.0638299995505916,-117.70852916021774,1.1770852916021775
BTC_USDT_USDT_1h,long,1780326000000,71134.9497,0.1575749158530663,-123.35420721255664,1.2335420721255663
BTC_USDT_USDT_2h,long,1705946400000,39832.40625,0.1745979384837681,-161.13341866759797,1.6113341866759796
BTC_USDT_USDT_2h,long,1705996800000,38983.98225,0.2543805979269115,-108.37058604281708,1.0837058604281709
BTC_USDT_USDT_2h,short,1707465600000,46474.45115,0.0386991922718694,-134.24788277895695,1.3424788277895694
BTC_USDT_USDT_2h,short,1721023200000,62784.592,0.0933483691554255,-184.61130429364272,1.8461130429364272
BTC_USDT_USDT_2h,short,1759147200000,113111.6159,0.0919736632297074,-85.71556783077368,0.8571556783077368
BTC_USDT_USDT_2h,long,1764547200000,87177.567,0.0935511440051761,-124.05099981734328,1.2405099981734329
BTC_USDT_USDT_2h,long,1768881600000,91635.89505,0.0670798481168738,-113.61062924651232,1.1361062924651233
