combo,cap,cap_name,segment,num_trades,mean_net_r,se_net_r,win_rate,compound_return,compound_mdd,compound_ruined,fixed_return,fixed_mdd
ts4·하한4%·%K<15,0,무제한(오늘),full,861,0.15390947082837061,0.05273056824914231,0.5145180023228804,2.414620105459034,0.36521601375433466,False,1.3251605438322716,0.2791357044913845
ts4·하한4%·%K<15,0,무제한(오늘),oos_warm,234,0.20318441796350056,0.08710839810461851,0.5341880341880342,0.5755106505250729,0.2963888501708054,False,0.47545153803459095,0.25864334620289453
ts4·하한4%·%K<15,10,High(10),full,842,0.14635997252106328,0.0535558898564562,0.5106888361045131,2.11661352695686,0.3572117533923933,False,1.2323509686273542,0.2714160221695311
ts4·하한4%·%K<15,10,High(10),oos_warm,232,0.2077783633342414,0.08769713535009896,0.5344827586206896,0.586028904518612,0.2963888501708055,False,0.48204580293543997,0.25934561375262977
ts4·하한4%·%K<15,5,Medium(5),full,748,0.12750324946124503,0.05675637385476363,0.5133689839572193,1.3863110867848603,0.307270689858234,False,0.9537243059701117,0.22062421141835475
ts4·하한4%·%K<15,5,Medium(5),oos_warm,208,0.18366897408951255,0.08767281349582877,0.5432692307692307,0.440994628726304,0.2738194702844736,False,0.38203146610618566,0.23605012511445
ts4·하한4%·%K<15,3,Low(3) = 원본 기본,full,622,0.13685174366988329,0.047270545703437576,0.5369774919614148,1.2435188539678372,0.263404735220638,False,0.8512178456266724,0.21728897681087078
ts4·하한4%·%K<15,3,Low(3) = 원본 기본,oos_warm,173,0.24812001553579538,0.09735600215932462,0.5722543352601156,0.5140723060171442,0.1954996546820723,False,0.4292476268769261,0.16149344036148117
ts4·하한4%·%K<15,1,One(1),full,278,0.05300964611779772,0.06408666689346942,0.5287769784172662,0.14077678828103202,0.12556882318698392,False,0.14736681620747727,0.11414664221364401
ts4·하한4%·%K<15,1,One(1),oos_warm,82,0.049494605003092974,0.10842160731128145,0.573170731707317,0.037387521029924375,0.09905563987046362,False,0.040585576102536436,0.10064689301908025
ts4·하한4%·%K<25,0,무제한(오늘),full,2710,0.11993938495773643,0.02723922139305003,0.5062730627306273,18.85704641083336,0.6212500927572563,False,3.2503573323546666,0.5920010218404552
ts4·하한4%·%K<25,0,무제한(오늘),oos_warm,679,0.16459180146278832,0.05007088909794505,0.5213549337260678,1.8871509036227332,0.44843929842417063,False,1.1175783319323336,0.3282745248277211
ts4·하한4%·%K<25,10,High(10),full,2663,0.11745829703165907,0.02741763382516163,0.5058205031918889,16.672409830367148,0.6212500927572563,False,3.1279144499530886,0.5920010218404552
ts4·하한4%·%K<25,10,High(10),oos_warm,671,0.16393941923863953,0.04999474684449812,0.5216095380029806,1.8411963474086916,0.4484392984241705,False,1.100033503091272,0.32894246264743876
ts4·하한4%·%K<25,5,Medium(5),full,2459,0.1135307937157629,0.027965264661394765,0.5115900772671818,12.004397394359621,0.5846591687424023,False,2.7917222174706193,0.5251005531532147
ts4·하한4%·%K<25,5,Medium(5),oos_warm,628,0.15998151362628768,0.04779136955644254,0.5334394904458599,1.6108163309072676,0.4307471640581103,False,1.0046839055730876,0.311180639850801
ts4·하한4%·%K<25,3,Low(3) = 원본 기본,full,2181,0.10519268829169505,0.026106857806208847,0.5236130215497479,7.461224688002634,0.505545711266776,False,2.294252531641872,0.4173511396764249
ts4·하한4%·%K<25,3,Low(3) = 원본 기본,oos_warm,554,0.18239043214052483,0.04780041294923616,0.5505415162454874,1.6509620726231957,0.3293360454995039,False,1.0104429940585078,0.22542833741131818
ts4·하한4%·%K<25,1,One(1),full,1203,0.09150158120647442,0.030301212099252378,0.5320033250207814,1.8147028600273902,0.3089186119316445,False,1.100764021913883,0.20469083152624812
ts4·하한4%·%K<25,1,One(1),oos_warm,320,0.1388439795692889,0.05783884706464567,0.55,0.5328173660319608,0.18378193761185257,False,0.4443007346217249,0.15470536110022537
