barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,lens,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
zone,BTC/USDT:USDT,1h,is,default,-1,286.0,175.0,0.0399210005115583,0.1291562101028803,0.5028571428571429,baseline,0.0,0.3333333333333333,0.0609778494959682,1.2759552134559298,-1.1679647715210042,0.1496984041785097,0.4598793616714038,0.042977781185739,1.0503990523601476,0.6171428571428571,0.0072836613317376,0.0
zone,BTC/USDT:USDT,1h,is,filter_bot3,-1,96.0,83.0,0.167295389016963,0.0416301745818835,0.6024096385542169,baseline,0.0,0.3333333333333333,0.2467580194672915,1.2454545645958317,-1.2664185640607994,0.2337590699368352,0.4935036279747341,0.1089060105794827,1.7006270320284704,0.9036144578313252,0.005550127973254,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,0,96.0,82.0,-0.0690907606386272,0.1015655812590914,0.4512195121951219,baseline,0.0,0.3333333333333333,-0.0818603171620791,1.2419253142652278,-1.170306280780087,0.1550189132250171,0.4620075652900068,-0.0107880530948848,0.8160880691462782,0.6097560975609756,0.0071822502427975,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,1,96.0,75.0,-0.0212048833376082,0.084023245756529,0.48,baseline,0.0,0.3333333333333333,-0.0033919520766335,1.262880941803618,-1.1722592387353272,0.1468688465761498,0.4587475386304599,0.02125246136954,0.9388977699710532,0.5866666666666667,0.0073262554541511,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,2,96.0,78.0,-0.0531883715381302,0.1323588800268663,0.4230769230769231,baseline,0.0,0.3333333333333333,-0.1251988892409512,1.2835092177818097,-1.1582515010576424,0.1332506809843195,0.4533002723937278,-0.0302233493168047,0.8652760141862239,0.5769230769230769,0.0077317517833239,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,3,96.0,74.0,0.0057778613142469,0.0867498372725679,0.4729729729729729,baseline,0.0,0.3333333333333333,-0.0154821727268058,1.3010850273561572,-1.1970168394679264,0.1528068318301677,0.4611227327320671,0.0118502402409058,1.0178810852777451,0.6756756756756757,0.0071658060980774,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,4,96.0,81.0,-0.0917728093533629,0.1145398242543358,0.4320987654320987,baseline,0.0,0.3333333333333333,-0.1086845490744305,1.268950425571297,-1.156885073261397,0.1351466528292148,0.4540586611316859,-0.0219598956995872,0.7705008374907676,0.5925925925925926,0.0074364635014845,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,5,96.0,78.0,0.0883982943016724,0.0430592529035147,0.5384615384615384,baseline,0.0,0.3333333333333333,0.1470522876671946,1.279932094488478,-1.1746408202909693,0.1575596822319188,0.4630238728927676,0.0754376655687708,1.2757247578936,0.6282051282051282,0.0072217599443028,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,6,96.0,79.0,-0.0218498653345954,0.1009928480534779,0.4556962025316455,baseline,0.0,0.3333333333333333,-0.050758001571743,1.2889967602053076,-1.1724131509664832,0.1455203446107805,0.4582081378443122,-0.0025119353126666,0.9398279787918292,0.6329113924050633,0.0074282692382968,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,7,96.0,79.0,-0.0445015393383979,0.1012345429209119,0.4556962025316455,baseline,0.0,0.3333333333333333,-0.069501475870275,1.2650005142489331,-1.1867589559700773,0.1726779616897646,0.4690711846759058,-0.0133749821442603,0.8733240818394212,0.7088607594936709,0.0068646859307173,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,8,96.0,73.0,0.0091416935685869,0.065158537366364,0.4657534246575342,baseline,0.0,0.3333333333333333,-0.0274065962411941,1.306928511749752,-1.1906731006435574,0.1437284182688074,0.457491367307523,0.0082620573500112,1.028708216237957,0.6438356164383562,0.0072639633126295,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,9,96.0,73.0,-0.0959519530181334,0.0962224765850807,0.410958904109589,baseline,0.0,0.3333333333333333,-0.1676432868799999,1.2688943480561463,-1.1698788461377765,0.157021911580117,0.4628087646320468,-0.0518498605224577,0.726691035398096,0.684931506849315,0.0071712270935415,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,10,96.0,73.0,-0.0730212894113028,0.1125318316297789,0.4246575342465753,baseline,0.0,0.3333333333333333,-0.1487206835782919,1.2370147266567315,-1.171525391132714,0.1376082522743318,0.4550433009097327,-0.0303857666631574,0.7894798753531124,0.5616438356164384,0.0073810460990534,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,11,96.0,76.0,0.0573937196166996,0.0548692787853418,0.5,baseline,0.0,0.3333333333333333,0.0385871388897737,1.283100458837115,-1.2059261810575677,0.1505720618112949,0.460228824724518,0.039771175275482,1.180104301460679,0.6973684210526315,0.0071934490572426,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,12,96.0,79.0,0.0585895890531632,0.0433052671180515,0.5189873417721519,baseline,0.0,0.3333333333333333,0.094677897733492,1.2694889641726137,-1.1728814107929284,0.1544140474382249,0.46176561897529,0.0572217227968618,1.1760885167873814,0.6455696202531646,0.0072634818487937,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,13,96.0,68.0,-0.1130933045327896,0.1474266950332358,0.4117647058823529,baseline,0.0,0.3333333333333333,-0.1341050391163514,1.3111704773380242,-1.1457979006344143,0.1331892019865419,0.4532756807946168,-0.0415109749122638,0.6795778986423596,0.5294117647058824,0.0078049685067645,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,14,96.0,77.0,0.027810801458491,0.1015232338607768,0.5064935064935064,baseline,0.0,0.3333333333333333,0.0736121075597277,1.2861865905492038,-1.1708722302452608,0.1496984041785097,0.4598793616714038,0.0466141448221025,1.0798330857702678,0.7142857142857143,0.007275949089399,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,15,96.0,79.0,0.0501121721134719,0.0640385949163461,0.5189873417721519,baseline,0.0,0.3333333333333333,0.1111968447831318,1.295669499048486,-1.1667868085031714,0.1465482149976191,0.4586192859990476,0.0603680557731042,1.1361583837381029,0.5822784810126582,0.0075422958334731,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,16,96.0,76.0,-0.0975564018234741,0.1383854422598789,0.4210526315789473,baseline,0.0,0.3333333333333333,-0.1388606081212571,1.282779485849459,-1.172780676463596,0.1431886546837861,0.4572754618735145,-0.0362228302945671,0.7389677948970775,0.631578947368421,0.0073069131532713,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,17,96.0,82.0,-0.1302767808683469,0.1740643820798061,0.3658536585365853,baseline,0.0,0.3333333333333333,-0.2632119059872297,1.3146380688377792,-1.1735099683862733,0.1430691972881419,0.4572276789152568,-0.0913740203786714,0.6917743219925279,0.6097560975609756,0.0074745510065675,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,18,96.0,78.0,0.0572452880242837,0.1199154560970323,0.5128205128205128,baseline,0.0,0.3333333333333333,0.0999780210746005,1.302361591392647,-1.165688895049659,0.1394034036492241,0.4557613614596897,0.057059151360823,1.158993889784123,0.6025641025641025,0.0075850948460762,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,19,96.0,71.0,0.027341514028345,0.0844474351543907,0.5070422535211268,baseline,0.0,0.3333333333333333,0.0861024724292031,1.2944650678614809,-1.156784768586854,0.1457710792100769,0.4583084316840307,0.048733821837096,1.0870485056020298,0.6056338028169014,0.0074782851441856,0.0
zone,BTC/USDT:USDT,1h,is,matched_random,-1,96.0,76.55,-0.0214848512857904,0.0983206321666689,0.463679696629649,baseline,0.0,0.3333333333333333,-0.0341809353755059,1.2822489043035137,-1.1725819019081842,0.1471531380672004,0.4588612552268801,0.0048184414027688,0.9485473210130316,0.6260224650023705,0.0073549233592075,0.0
atr,BTC/USDT:USDT,1h,is,default,-1,286.0,190.0,0.1523125984650669,0.1377390991292909,0.4842105263157895,baseline,0.0,0.3333333333333333,0.0674947104897325,1.35713326768796,-1.143186384022889,0.128664268006865,0.451465707202746,0.0327448191130434,1.1445265173703243,0.5894736842105263,0.0083135967069488,0.0
atr,BTC/USDT:USDT,1h,is,filter_bot3,-1,96.0,77.0,0.2350243142666437,0.0461620338505524,0.5454545454545454,baseline,0.0,0.3333333333333333,0.2366437079243512,1.3895433827039336,-1.1468359018111478,0.1176468477697096,0.4470587391078838,0.0983958063466615,1.638532805093216,0.5194805194805194,0.0087263279816693,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,0,96.0,83.0,-0.0160412907887021,0.0809478097590887,0.4337349397590361,baseline,0.0,0.3333333333333333,-0.058014844309754,1.3612289017623067,-1.145095160450056,0.1297320037630811,0.4518928015052325,-0.0181578617461963,0.9631576089318602,0.6265060240963856,0.0082749652134995,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,1,96.0,77.0,0.0367523763082708,0.0755883777622975,0.4805194805194805,baseline,0.0,0.3333333333333333,0.0492184699402293,1.3419222762455647,-1.1465325508922055,0.1350794660901095,0.4540317864360438,0.0264876940834367,1.097423493024622,0.6103896103896104,0.0081078769488001,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,2,96.0,80.0,0.0495375673556973,0.0847199883693273,0.4625,baseline,0.0,0.3333333333333333,0.0146648512278022,1.3661030266419978,-1.1482005555239474,0.1241687297159408,0.4496674918863763,0.0128325081136236,1.1164806580915554,0.575,0.0084196515151307,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,3,96.0,77.0,0.0143413427281124,0.0725420692584447,0.4545454545454545,baseline,0.0,0.3333333333333333,-0.0117764474259699,1.3521818169083974,-1.148408334371276,0.1327079261299988,0.4530831704519995,0.001462284093455,1.0362654916082863,0.5584415584415584,0.0082343518635703,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,4,96.0,84.0,0.0159311083196846,0.0756368534199226,0.4761904761904761,baseline,0.0,0.3333333333333333,0.0450600833929416,1.3503681330232218,-1.1415835980891311,0.1299734654011538,0.4519893861604614,0.0242010900300146,1.036184359265631,0.6309523809523809,0.0082202298148748,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,5,96.0,83.0,0.0810659928536677,0.0746033794661075,0.4939759036144578,baseline,0.0,0.3333333333333333,0.0796770242612155,1.342740652919359,-1.1533136608574484,0.1303010747106888,0.4521204298842755,0.0418554737301823,1.1917384131996107,0.6385542168674698,0.0081952752433272,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,6,96.0,81.0,0.0038641159098948,0.1006234277758304,0.4444444444444444,baseline,0.0,0.3333333333333333,-0.0311428149144537,1.3539173071510289,-1.13919091256684,0.1281091656111785,0.4512436662444714,-0.006799221800027,1.0087828057810373,0.6049382716049383,0.0084408747559602,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,7,96.0,77.0,0.0456080338233805,0.0581778304763648,0.4805194805194805,baseline,0.0,0.3333333333333333,0.0548913037612733,1.352484094174147,-1.1453820273706348,0.1324302178338922,0.4529720871335568,0.0275473933859236,1.1188810097731687,0.6753246753246753,0.0080979555114093,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,8,96.0,75.0,0.1400334635195456,0.0663992425358753,0.52,baseline,0.0,0.3333333333333333,0.1512896076023271,1.3597618177540955,-1.1578886200620886,0.1223989597958459,0.4489595839183383,0.0710404160816616,1.3974006948194326,0.5733333333333334,0.0081560895856329,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,9,96.0,77.0,-0.0044774617886772,0.0716869027551127,0.4285714285714285,baseline,0.0,0.3333333333333333,-0.0834890044498816,1.3551210017466793,-1.1624465090973024,0.1388849449399951,0.455553977975998,-0.0269825494045695,0.9885073413937984,0.6623376623376623,0.0079736829281426,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,10,96.0,78.0,-0.0622653307188853,0.0835110347843208,0.3974358974358974,baseline,0.0,0.3333333333333333,-0.1585059463973054,1.3574722074136447,-1.1584064308258044,0.132368164296376,0.4529472657185504,-0.055511368282653,0.8464364405594077,0.6153846153846154,0.0079308465549897,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,11,96.0,81.0,0.1175749581360205,0.0676704663125744,0.5185185185185185,baseline,0.0,0.3333333333333333,0.1424164016449522,1.346552252381073,-1.1543452837631778,0.1394217358783308,0.4557686943513324,0.0627498241671861,1.3034247764707731,0.691358024691358,0.0079512398879462,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,12,96.0,81.0,0.1915372002409691,0.0623583876369718,0.5555555555555556,baseline,0.0,0.3333333333333333,0.2414719889467695,1.3469283064761088,-1.1403484079649049,0.1382200658715549,0.455288026348622,0.1002675292069336,1.516587328591512,0.6419753086419753,0.0082876155694125,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,13,96.0,74.0,-0.0129950487838834,0.0932697828856149,0.4729729729729729,baseline,0.0,0.3333333333333333,0.0388686857873263,1.3406368987812682,-1.1293848386944163,0.1279200605467361,0.4511680242186944,0.0218049487542785,0.9668460139845512,0.5945945945945946,0.0083318991206083,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,14,96.0,77.0,0.118160414388683,0.0724728180145661,0.5194805194805194,baseline,0.0,0.3333333333333333,0.1459303846582798,1.3510290615014493,-1.1568789957127144,0.1342505058049767,0.4537002023219907,0.0657803171585287,1.3224840853862645,0.6623376623376623,0.008106433629022,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,15,96.0,80.0,0.1104251347141915,0.0628244821983073,0.5,baseline,0.0,0.3333333333333333,0.0930570329791478,1.351513409096666,-1.1653993431383702,0.1358315770023353,0.4543326308009341,0.0456673691990658,1.282499869445498,0.6125,0.0081066747878453,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,16,96.0,83.0,-0.0222339415962545,0.0652735691932855,0.4337349397590361,baseline,0.0,0.3333333333333333,-0.0675921187484799,1.3499086929778388,-1.1533374213473624,0.1294774154466073,0.4517909661786429,-0.0180560264196067,0.9487355780928228,0.5783132530120482,0.0082045854459534,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,17,96.0,81.0,-0.0736112182652079,0.1848579459112677,0.4074074074074074,baseline,0.0,0.3333333333333333,-0.1259487435561181,1.3513025552032774,-1.1415590114532026,0.1252477729905451,0.4500991091962181,-0.0426917017888107,0.8393703046935517,0.5432098765432098,0.00831134874964,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,18,96.0,83.0,0.11203104330599,0.0825863256512322,0.4939759036144578,baseline,0.0,0.3333333333333333,0.0983459469029586,1.3684932443859157,-1.1415597482589754,0.1246589902057563,0.4498635960823026,0.0441123075321552,1.2597393688735263,0.5180722891566265,0.0085224316071981,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,19,96.0,75.0,0.0348191292672279,0.1023271261883479,0.4666666666666667,baseline,0.0,0.3333333333333333,0.0246311711461943,1.3625160870224555,-1.146018130245534,0.125775397848522,0.4503101591394088,0.0163565075272578,1.0911467027714394,0.6266666666666667,0.0083488603888172,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,-1,96.0,79.35,0.0440028794464862,0.081903891017743,0.4720374994787645,baseline,0.0,0.3333333333333333,0.0321526516224727,1.353109087178325,-1.1487639770342697,0.1308478819941813,0.4523391527976725,0.019698346681092,1.1166046172379174,0.6120095012188386,0.008211144456089,0.0
zone_height,BTC/USDT:USDT,1h,is,default,-1,286.0,170.0,0.0077812580108169,0.1266642198944812,0.4764705882352941,baseline,0.0,0.3333333333333333,0.028877293723483,1.3262499768598603,-1.1518776201422083,0.1348565123011522,0.4539426049204609,0.0225279833148331,1.0094911082340858,0.5882352941176471,0.0077617851163267,0.0
zone_height,BTC/USDT:USDT,1h,is,filter_bot3,-1,96.0,83.0,0.1272426354400964,0.0407540659230489,0.5542168674698795,baseline,0.0,0.3333333333333333,0.1603898731155414,1.285720990709314,-1.238670435244284,0.1998806934967112,0.4799522773986845,0.074264590071195,1.4645825810894035,0.9036144578313252,0.0059263081037344,0.0
zone_height,BTC/USDT:USDT,1h,is,matched_random,0,96.0,79.0,-0.1442734860655626,0.1442734860655626,0.3670886075949367,baseline,0.0,0.3333333333333333,-0.2393461479274857,1.3297470230643222,-1.1494201871027343,0.1248155261072811,0.4499262104429125,-0.0828376028479757,0.6592520383713599,0.569620253164557,0.0078881989881152,0.0
zone_height,BTC/USDT:USDT,1h,is,matched_random,1,96.0,75.0,-0.0375295571102864,0.0800737870020239,0.4533333333333333,baseline,0.0,0.3333333333333333,-0.0334593831954593,1.319969184703089,-1.1558147809649872,0.1457294675894207,0.4582917870357683,-0.0049584537024349,0.8974505013225323,0.6,0.007612864795749,0.0
zone_height,BTC/USDT:USDT,1h,is,matched_random,2,96.0,75.0,-0.0924151786416652,0.1575869770408598,0.3866666666666666,baseline,0.0,0.3333333333333333,-0.1800409255403561,1.3494902492469787,-1.1443105792106325,0.1237286423538715,0.4494914569415486,-0.0628247902748819,0.78165650647659,0.5066666666666667,0.0082765828736611,0.0
zone_height,BTC/USDT:USDT,1h,is,matched_random,3,96.0,74.0,-0.0355024957358724,0.1012330293770122,0.4324324324324324,baseline,0.0,0.3333333333333333,-0.0878575263723791,1.3284034697839575,-1.1669135234438737,0.1377147786193225,0.4550859114477291,-0.0226534790152966,0.9009196336299626,0.5945945945945946,0.007675020641345,0.0
zone_height,BTC/USDT:USDT,1h,is,matched_random,4,96.0,80.0,-0.094332604678368,0.1184973724377087,0.425,baseline,0.0,0.3333333333333333,-0.0934300548716255,1.3242417804350306,-1.141274454880893,0.1247602710546565,0.4499041084218625,-0.0249041084218625,0.7723472983183143,0.5375,0.0079847973833231,0.0
zone_height,BTC/USDT:USDT,1h,is,matched_random,5,96.0,75.0,0.0805178843535466,0.0431200524896916,0.5066666666666667,baseline,0.0,0.3333333333333333,0.1104087199156851,1.3367332896843545,-1.1490597571440293,0.1248155261072811,0.4499262104429125,0.0567404562237542,1.2316963150305564,0.5333333333333333,0.007979258708854,0.0
