timeframe,segment,barrier,arm,bucket,n_trades,survival_rate,win_rate,mean_net_r,cost_r_median,breakeven_win_rate,win_rate_margin,cap_hit_rate,effective_risk_mean
15m,is,atr,matched_random,0.3~0.5%,1737,0.4905008635578584,0.4905008635578584,-0.05456828891317797,0.2750979899965449,0.5100391959986179,-0.01953833244075953,1.0,0.004017528150439471
15m,is,atr,matched_random,0.5~1%,2456,0.49267100977198697,0.49267100977198697,0.06751621940017664,0.16280827033789563,0.4651233081351583,0.02754770163682868,1.0,0.0070493317469526705
15m,is,atr,matched_random,1~2%,881,0.5312145289443814,0.5312145289443814,0.24075586400405607,0.08867888132043229,0.4354715525281729,0.09574297641620849,0.0,0.01
15m,is,atr,matched_random,>2%,104,0.6730769230769231,0.6730769230769231,0.6356819766925432,0.047155144762187975,0.41886205790487524,0.2542148651720479,0.0,0.01
15m,is,zone,default,0~0.2%,655,0.6625954198473283,0.5603053435114503,-0.36726498766181453,0.7906046467186935,0.7162418586874774,-0.15593651517602702,1.0,0.0013155712615169452
15m,is,zone,default,0.2~0.3%,675,0.5555555555555556,0.5555555555555556,-0.05778846628093838,0.4406848047261151,0.576273921890446,-0.020718366334890437,1.0,0.0025082262554704583
15m,is,zone,default,0.3~0.5%,1186,0.48650927487352447,0.48650927487352447,-0.06897114343496372,0.2818226091595952,0.5127290436638381,-0.026219768790313625,1.0,0.003961781521608103
15m,is,zone,default,0.5~1%,1596,0.4887218045112782,0.48872180451127817,0.056610507193629936,0.16382849642196767,0.46553139856878706,0.02319040594249111,1.0,0.007028771043640537
15m,is,zone,default,1~2%,626,0.4616613418530351,0.46166134185303515,0.0647621891350446,0.09101529823139214,0.43640611929255685,0.025255222560478297,0.0,0.01
15m,is,zone,default,>2%,112,0.4553571428571429,0.45535714285714285,0.09320219496023532,0.04642638696424283,0.4185705547856971,0.03678658807144575,0.0,0.01
15m,is,zone,filter_bot3,0~0.2%,512,0.66796875,0.56640625,-0.346418817942605,0.7819825237721909,0.7127930095088764,-0.14638675950887636,1.0,0.0013282831963544195
15m,is,zone,filter_bot3,0.2~0.3%,471,0.6114649681528662,0.6114649681528662,0.0798837560469256,0.4425105394796023,0.5770042157918409,0.034460752361025304,1.0,0.0024933371408603472
15m,is,zone,filter_bot3,0.3~0.5%,626,0.5287539936102237,0.5287539936102237,0.03339878692040325,0.28681233948998003,0.514724935795992,0.014029057814231694,1.0,0.003909769763242472
15m,is,zone,filter_bot3,0.5~1%,537,0.5661080074487896,0.5661080074487895,0.24353767075975835,0.16973027392892515,0.4678921095715701,0.0982158978772194,1.0,0.006711664497696293
15m,is,zone,filter_bot3,1~2%,82,0.5853658536585367,0.5853658536585366,0.3723317483525217,0.09414257041795424,0.43765702816718166,0.1477088254913549,0.0,0.01
15m,is,zone,filter_bot3,>2%,1,1.0,1.0,1.4587368610413327,0.0412631389586675,0.416505255583467,0.583494744416533,0.0,0.01
15m,is,zone,matched_random,0~0.2%,1551,0.8304319793681496,0.6350741457124436,-0.18898759875955612,0.934094863803988,0.7736379455215951,-0.13856379980915157,1.0,0.0011686621644462418
15m,is,zone,matched_random,0.2~0.3%,1042,0.6785028790786949,0.6785028790786948,0.24560427781913488,0.44381095852123953,0.5775243834084958,0.10097849567019901,1.0,0.002481317848652611
15m,is,zone,matched_random,0.3~0.5%,1589,0.6098174952800504,0.6098174952800504,0.23609848861260382,0.2876251258486376,0.5150500503394551,0.0947674449405953,1.0,0.003917213589048455
15m,is,zone,matched_random,0.5~1%,1880,0.5643617021276596,0.5643617021276596,0.24448516475429294,0.16562859728257062,0.4662514389130282,0.09811026321463134,1.0,0.006967915181982995
15m,is,zone,matched_random,1~2%,760,0.5565789473684211,0.5565789473684211,0.302523238135653,0.09013189430462613,0.4360527577218504,0.12052618964657064,0.0,0.01
15m,is,zone,matched_random,>2%,120,0.4916666666666667,0.49166666666666664,0.18414867961114928,0.04537521704815621,0.4181500868192625,0.07351657984740412,0.0,0.01
15m,is,zone_height,default,0~0.2%,471,0.5711252653927813,0.5605095541401274,-0.35684352921202606,0.7168703755199974,0.686748150207999,-0.12623859606787158,1.0,0.0015140896158587272
15m,is,zone_height,default,0.2~0.3%,584,0.5154109589041096,0.5154109589041096,-0.15169551490328267,0.43119388109632584,0.5724775524385304,-0.057066593534420784,1.0,0.002543446354866057
15m,is,zone_height,default,0.3~0.5%,1209,0.4706368899917287,0.4706368899917287,-0.10881410334939046,0.28016796598872595,0.5120671863954904,-0.041430296403761724,1.0,0.003959712223728407
15m,is,zone_height,default,0.5~1%,1680,0.4916666666666667,0.49166666666666664,0.06478419332152423,0.16327357461568526,0.4653094298462741,0.026357236820392538,1.0,0.007043400996202508
15m,is,zone_height,default,1~2%,691,0.4573082489146165,0.4573082489146165,0.05338484206321756,0.09121787944816422,0.43648715177926567,0.020821097135350852,0.0,0.01
15m,is,zone_height,default,>2%,128,0.46875,0.46875,0.12648413226651012,0.04625280622638661,0.4185011224905546,0.0502488775094454,0.0,0.01
15m,is,zone_height,filter_bot3,0~0.2%,448,0.5870535714285714,0.5736607142857143,-0.32996641824030376,0.7216237366217333,0.6886494946486933,-0.11498878036297899,1.0,0.001495412287467947
15m,is,zone_height,filter_bot3,0.2~0.3%,435,0.5655172413793104,0.5655172413793104,-0.026816479234881223,0.4312241667927021,0.5724896667170809,-0.006972425337770538,1.0,0.002538019067453327
15m,is,zone_height,filter_bot3,0.3~0.5%,683,0.5256222547584187,0.5256222547584187,0.025654366564097083,0.2843721339524716,0.5137488535809887,0.011873401177430076,1.0,0.003916404257193078
15m,is,zone_height,filter_bot3,0.5~1%,566,0.5759717314487632,0.5759717314487632,0.2704342389753401,0.16829489162668837,0.4673179566506754,0.10865377479808785,1.0,0.006789024375818891
15m,is,zone_height,filter_bot3,1~2%,92,0.5869565217391304,0.5869565217391305,0.3758232656521337,0.09549267004515098,0.4381970680180604,0.14875945372107008,0.0,0.01
15m,is,zone_height,filter_bot3,>2%,3,1.0,1.0,1.451854746539804,0.04793319280259433,0.41917327712103775,0.5808267228789623,0.0,0.01
15m,is,zone_height,matched_random,0~0.2%,953,0.6935991605456453,0.6883525708289612,-0.06633629498911948,0.7213127638200773,0.6885251055280308,-0.00017253469906963748,1.0,0.00150298158061678
15m,is,zone_height,matched_random,0.2~0.3%,860,0.6116279069767442,0.6116279069767442,0.0852595700783016,0.44087721733754226,0.5763508869350169,0.03527702004172728,1.0,0.002518503883979276
15m,is,zone_height,matched_random,0.3~0.5%,1635,0.58348623853211,0.5834862385321101,0.17119820814493816,0.28435169477298305,0.5137406779091933,0.06974556062291681,1.0,0.003934069433560663
15m,is,zone_height,matched_random,0.5~1%,1917,0.550339071465832,0.550339071465832,0.21045525637164,0.16440015857099974,0.46576006342839993,0.08457900803743212,1.0,0.00699356931162149
15m,is,zone_height,matched_random,1~2%,831,0.5415162454873645,0.5415162454873647,0.26420465245232544,0.09093257549248923,0.4363730301969957,0.10514321529036896,0.0,0.01
