arm,lens,symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,depth,is_n,is_wins,is_stops,is_gross_r_sum,is_net_pp_sum,oos_n,oos_wins,oos_stops,oos_gross_r_sum,oos_net_pp_sum,funding_coverage
band,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,4,2,2,0,3.0000000000000315,1.8213083550064195,2,0,2,-2.0,-3.1761554716138205,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,5,1,1,0,1.5000000000000138,1.0451997100668666,0,0,0,0.0,0.0,0.8647003745318352
freeze,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,1,10,6,4,4.999999999999992,32.23821373856605,15,6,9,-1.3322676295501878e-14,0.6365163275662651,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,2,3,1,2,-0.5000000000000029,-14.379357422628274,5,4,1,4.9999999999999964,14.051390775855038,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,3,1,1,0,1.4999999999999971,4.649521528647716,3,2,1,2.000000000000003,3.4476373431496876,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,4,1,1,0,1.4999999999999971,4.649521528647716,2,0,2,-2.0,-4.868373842606681,0.8764044943820225
zone,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,1,14,8,6,5.99999999999999,37.830503449447725,15,5,10,-2.500000000000006,-4.756364280755071,0.8764044943820225
zone,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,2,3,1,2,-0.5000000000000029,-14.379357422628274,6,5,1,6.499999999999995,20.90668013602085,0.8764044943820225
zone,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,3,1,1,0,1.4999999999999971,4.649521528647716,2,1,1,0.4999999999999978,1.48340396038021,0.8764044943820225
zone,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,4,1,1,0,1.4999999999999971,4.649521528647716,1,0,1,-1.0,-3.3755849207603807,0.8764044943820225
band,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,1,8,5,3,4.5,35.06841020232639,14,5,9,-1.500000000000008,-1.6771486663192439,0.8764044943820225
band,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,2,2,1,1,0.4999999999999971,-10.427796789286935,3,2,1,1.9999999999999978,5.569023971518901,0.8764044943820225
band,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,3,1,1,0,1.4999999999999971,4.649521528647716,1,0,1,-1.0,-3.3755849207603807,0.8764044943820225
band,baseline,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,4,1,1,0,1.4999999999999971,4.649521528647716,0,0,0,0.0,0.0,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,1,9,6,3,5.999999999999993,33.6408117743605,14,6,8,0.9999999999999867,3.3536874192005035,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,2,3,1,2,-0.5000000000000029,-14.379357422628274,5,4,1,4.9999999999999964,14.051390775855038,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,3,1,1,0,1.4999999999999971,4.649521528647716,3,2,1,2.000000000000003,3.4476373431496876,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,4,1,1,0,1.4999999999999971,4.649521528647716,2,0,2,-2.0,-4.868373842606681,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,1,13,8,5,6.99999999999999,41.18957257700152,14,5,9,-1.500000000000006,-2.039193189120833,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,2,3,1,2,-0.5000000000000029,-14.379357422628274,6,5,1,6.499999999999995,20.90668013602085,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,3,1,1,0,1.4999999999999971,4.649521528647716,2,1,1,0.4999999999999978,1.48340396038021,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,4,1,1,0,1.4999999999999971,4.649521528647716,1,0,1,-1.0,-3.3755849207603807,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,1,7,5,2,5.5,36.002323933487276,13,5,8,-0.5000000000000082,1.0400224253149943,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,2,2,1,1,0.4999999999999971,-10.427796789286935,3,2,1,1.9999999999999978,5.569023971518901,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,3,1,1,0,1.4999999999999971,4.649521528647716,1,0,1,-1.0,-3.3755849207603807,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,75,42,4,1,1,0,1.4999999999999971,4.649521528647716,0,0,0,0.0,0.0,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,1,34,15,19,3.500000000000014,0.7557334915472893,19,11,8,8.50000000000001,9.698815235172024,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,2,10,9,1,12.500000000000004,36.251531099958676,8,5,3,4.500000000000005,11.2341227018348,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,3,8,6,2,7.0000000000000036,11.017955751465754,5,3,2,2.5,3.154106935444828,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,4,5,3,2,2.5000000000000036,4.7395465031319794,2,1,1,0.5,-1.2749189947383552,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,5,3,2,1,2.0,3.3834822380028724,0,0,0,0.0,0.0,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,6,2,1,1,0.4999999999999971,0.8985160659846727,0,0,0,0.0,0.0,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,7,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,1,38,17,21,4.4999999999999885,14.39187818047232,22,12,10,8.000000000000005,13.22653042912816,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,2,11,9,2,11.5,12.272714233523688,11,7,4,6.500000000000005,13.11840626428463,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,3,8,6,2,6.999999999999998,16.95247299274327,6,4,2,4.0,6.617742252446999,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,4,5,3,2,2.4999999999999973,4.85159882849835,4,3,1,3.5,4.123871181947534,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,5,3,2,1,1.9999999999999942,3.4955345633692416,1,1,0,1.5,2.4520583859108624,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,6,2,1,1,0.4999999999999971,0.8238145157404237,0,0,0,0.0,0.0,0.8764044943820225
zone,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,7,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,1,28,15,13,9.500000000000004,-6.16558776378656,18,12,6,11.999999999999996,9.325828810374025,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,2,9,7,2,8.499999999999991,18.775124648317245,10,7,3,7.500000000000013,12.244087838610433,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,3,5,5,0,7.499999999999987,16.185087128944257,5,4,1,5.000000000000008,7.10662224043339,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,4,3,2,1,1.9999999999999942,3.8514170629616813,2,1,1,0.5000000000000038,-0.036433188672982286,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,5,2,2,0,2.9999999999999942,6.045798094442514,0,0,0,0.0,0.0,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,6,2,1,1,0.4999999999999971,0.8238145157404237,0,0,0,0.0,0.0,0.8764044943820225
band,baseline,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,136,84,7,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,1,33,16,17,7.000000000000014,8.15862077765592,17,11,6,10.500000000000007,11.570451953482566,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,2,10,9,1,12.500000000000004,36.251531099958676,9,5,4,3.5,8.417781001035298,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,3,8,6,2,7.0000000000000036,11.017955751465754,4,3,1,3.4999999999999956,5.155001262632813,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,4,5,3,2,2.5000000000000036,4.7395465031319794,2,1,1,0.5,-1.2749189947383552,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,5,3,2,1,2.0,3.3834822380028724,0,0,0,0.0,0.0,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,6,2,1,1,0.4999999999999971,0.8985160659846727,0,0,0,0.0,0.0,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,7,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,1,36,17,19,6.4999999999999885,19.67545475172453,20,12,8,10.000000000000005,15.506449804296876,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,2,11,9,2,11.5,12.272714233523688,11,6,5,4.0,8.226373781339282,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,3,8,6,2,6.999999999999998,16.95247299274327,6,5,1,6.5,11.108442031535994,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,4,5,3,2,2.4999999999999973,4.85159882849835,4,3,1,3.5,4.114692181947534,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,5,3,2,1,1.9999999999999942,3.4955345633692416,1,1,0,1.5,2.4520583859108624,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,6,2,1,1,0.4999999999999971,0.8238145157404237,0,0,0,0.0,0.0,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,7,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,1,26,15,11,11.5,-1.6051086813717244,17,11,6,10.499999999999986,7.641011804240433,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,2,9,7,2,8.499999999999986,18.641737608103764,8,6,2,7.0000000000000036,13.099230877698293,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,3,5,5,0,7.499999999999987,16.185087128944257,5,4,1,5.000000000000008,8.458470051992775,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,4,3,2,1,1.9999999999999942,3.8514170629616813,3,2,1,2.000000000000004,1.8768478223905993,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,5,2,2,0,2.9999999999999942,6.045798094442514,1,1,0,1.5,1.975800539483329,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,6,2,1,1,0.4999999999999971,0.8238145157404237,0,0,0,0.0,0.0,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,2h,1600128000000,1784678400000,2136.0,132,82,7,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,1,68,39,29,29.499999999999932,65.12820609836399,45,24,21,14.999999999999964,8.77889821379121,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,2,26,18,8,18.99999999999994,25.529229595566218,16,8,8,3.9999999999999822,1.1335763429173036,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,3,9,6,3,5.999999999999982,12.73249651281368,5,2,3,-7.327471962526033e-15,-0.2686727557629669,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,4,4,2,2,0.9999999999999944,3.6008557330801554,2,0,2,-2.0,-2.2991028325486043,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,5,1,1,0,1.4999999999999971,3.015047547221257,0,0,0,0.0,0.0,0.8764044943820225
freeze,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,6,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
zone,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,1,79,42,37,25.999999999999932,70.59298410070595,47,27,20,20.49999999999997,16.577944863411734,0.8764044943820225
zone,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,2,27,17,10,15.499999999999957,13.969835276073315,20,9,11,2.4999999999999902,-0.42693772623539006,0.8764044943820225
zone,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,3,9,6,3,5.999999999999978,12.99846647081517,6,3,3,1.4999999999999964,1.446755046406295,0.8764044943820225
zone,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,4,4,2,2,0.9999999999999944,3.6008557330801554,2,0,2,-2.0,-2.2991028325486043,0.8764044943820225
zone,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,5,1,1,0,1.4999999999999971,3.015047547221257,0,0,0,0.0,0.0,0.8764044943820225
zone,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,6,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
band,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,1,55,34,21,29.99999999999997,39.64710874944136,36,20,16,13.999999999999964,9.447599986451454,0.8764044943820225
band,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,2,20,12,8,10.000000000000028,13.818849725469764,13,6,7,1.999999999999993,-0.3831374590686881,0.8764044943820225
band,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,3,4,4,0,5.999999999999997,12.889905510438233,2,1,1,0.5,-0.20694841375626183,0.8764044943820225
band,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,4,2,2,0,3.0,6.466176851471976,1,0,1,-1.0,-1.2321362841155175,0.8764044943820225
band,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,5,1,1,0,1.4999999999999971,3.015047547221257,0,0,0,0.0,0.0,0.8764044943820225
band,baseline,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,6,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,1,67,38,29,27.999999999999925,63.76472755132193,43,23,20,14.499999999999966,7.498383440517389,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,2,24,16,8,15.99999999999995,22.36600831135468,16,8,8,3.9999999999999822,0.9891991278382543,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,3,9,6,3,5.999999999999982,12.73249651281368,5,1,4,-2.500000000000007,-3.005046989332385,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,4,3,2,1,1.9999999999999944,5.2278434627748664,1,0,1,-1.0,-1.0669665484330868,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,5,1,1,0,1.4999999999999971,3.015047547221257,0,0,0,0.0,0.0,0.8764044943820225
freeze,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,6,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,1,72,39,33,25.499999999999947,72.16418700307756,46,27,19,21.49999999999997,17.449306628031813,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,2,25,15,10,12.499999999999964,10.647785906614935,20,9,11,2.4999999999999902,-0.3970907262353899,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,3,9,6,3,5.999999999999978,12.99846647081517,5,1,4,-2.500000000000007,-3.717800018186563,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,4,3,2,1,1.9999999999999944,5.2278434627748664,1,0,1,-1.0,-1.0669665484330868,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,5,1,1,0,1.4999999999999971,3.015047547221257,0,0,0,0.0,0.0,0.8764044943820225
zone,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,6,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,1,52,31,21,25.499999999999975,34.63533816843348,33,17,16,9.499999999999964,5.447919677762198,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,2,17,11,6,10.500000000000028,16.722062822660682,11,5,6,1.499999999999993,-0.2738259262384798,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,3,4,4,0,5.999999999999997,12.889905510438233,2,0,2,-2.0,-2.5008320177091674,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,4,2,2,0,3.0,6.466176851471976,0,0,0,0.0,0.0,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,5,1,1,0,1.4999999999999971,3.015047547221257,0,0,0,0.0,0.0,0.8764044943820225
band,pen_5bp,SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,265,146,6,1,0,1,-1.0,-2.191233031480833,0,0,0,0.0,0.0,0.8764044943820225
freeze,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,1,19,11,8,8.500000000000005,24.42931365825389,9,5,4,3.5000000000000004,5.34503662827812,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,2,11,6,5,4.000000000000007,2.3657982897846495,4,1,3,-1.5,-4.415785569539148,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,3,5,2,3,9.992007221626409e-15,-4.852532622903357,1,1,0,1.5,2.6822469795701203,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,4,0,0,0,0.0,0.0,1,0,1,-1.0,-1.9755626530467263,0.8647003745318352
zone,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,1,19,11,8,8.500000000000005,24.485506793067067,9,5,4,3.5000000000000004,5.34503662827812,0.8647003745318352
zone,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,2,11,6,5,4.000000000000007,2.328336199909188,4,1,3,-1.5,-4.415785569539148,0.8647003745318352
zone,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,3,5,2,3,9.992007221626409e-15,-4.852532622903357,1,1,0,1.5,2.6822469795701203,0.8647003745318352
zone,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,4,0,0,0,0.0,0.0,1,0,1,-1.0,-1.9755626530467263,0.8647003745318352
band,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,1,15,7,8,2.5000000000000036,5.116428971145953,8,3,5,-0.5000000000000027,-3.116181007381499,0.8647003745318352
band,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,2,6,2,4,-0.9999999999999964,-5.098194792840962,1,1,0,1.4999999999999953,1.6622620559203858,0.8647003745318352
band,baseline,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,3,1,1,0,1.5,2.8654400314789044,0,0,0,0.0,0.0,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,1,18,10,8,7.000000000000005,17.20487390930474,9,5,4,3.5000000000000004,5.34503662827812,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,2,10,6,4,5.000000000000007,7.3457231224174135,4,1,3,-1.5,-4.415785569539148,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,3,5,2,3,9.992007221626409e-15,-4.852532622903357,1,0,1,-1.0,-1.9755626530467263,0.8647003745318352
zone,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,1,18,10,8,7.0000000000000036,17.510343380636286,9,5,4,3.5000000000000004,5.34503662827812,0.8647003745318352
zone,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,2,10,6,4,5.000000000000007,7.142076808196376,4,1,3,-1.5,-4.415785569539148,0.8647003745318352
zone,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,3,5,2,3,9.992007221626409e-15,-4.852532622903357,1,0,1,-1.0,-1.9755626530467263,0.8647003745318352
band,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,1,14,6,8,1.0000000000000036,-1.6852751831100632,8,3,5,-0.5000000000000027,-3.116181007381499,0.8647003745318352
band,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,2,5,2,3,3.552713678800501e-15,-0.6094214263780164,1,1,0,1.4999999999999953,1.6622620559203858,0.8647003745318352
band,pen_5bp,BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,60,37,3,1,1,0,1.5,2.8654400314789044,0,0,0,0.0,0.0,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,1,30,16,14,9.999999999999998,25.111388129048365,13,9,4,9.500000000000043,9.804979704194173,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,2,15,8,7,5.0000000000000036,3.8120156167352386,6,4,2,4.000000000000028,1.965337367143622,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,3,5,2,3,0.0,-2.7847501099265726,2,0,2,-2.0,-2.297235771278183,0.8647003745318352
freeze,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,4,1,0,1,-1.0,-1.476519419091362,0,0,0,0.0,0.0,0.8647003745318352
zone,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,1,32,16,16,8.000000000000014,22.068616162732365,14,8,6,6.00000000000005,5.661545392372821,0.8647003745318352
zone,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,2,14,9,5,8.500000000000004,12.549091989019423,5,3,2,2.5000000000000355,0.235784217363664,0.8647003745318352
zone,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,3,6,2,4,-1.0,-6.023321437995663,2,0,2,-2.0,-2.800748894580357,0.8647003745318352
zone,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,4,1,0,1,-1.0,-1.476519419091362,0,0,0,0.0,0.0,0.8647003745318352
band,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,1,27,15,12,10.500000000000025,16.648476345953153,10,6,4,5.000000000000015,5.258101904314201,0.8647003745318352
band,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,2,12,6,6,3.0000000000000178,1.619329611187168,3,1,2,-0.5,-1.9543009297589649,0.8647003745318352
band,baseline,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,110,66,3,4,1,3,-1.4999999999999947,-3.851591638914803,1,0,1,-1.0,-1.4844346653535743,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,1,28,16,12,12.000000000000007,26.28954521635629,13,10,3,12.000000000000043,13.162298716628845,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,2,15,8,7,5.0000000000000036,3.8267128973480595,6,4,2,4.000000000000028,1.965337367143622,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,3,5,2,3,0.0,-2.7847501099265726,2,0,2,-2.0,-2.297235771278183,0.8647003745318352
freeze,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,4,1,0,1,-1.0,-1.476519419091362,0,0,0,0.0,0.0,0.8647003745318352
zone,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,1,29,15,14,8.500000000000007,22.023972218054986,13,8,5,7.000000000000049,7.377243143416983,0.8647003745318352
zone,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,2,14,9,5,8.500000000000004,12.549091989019423,5,3,2,2.5000000000000355,0.235784217363664,0.8647003745318352
zone,pen_5bp,BNB/USDT:USDT,2h,1600128000000,1784678400000,2136.0,105,61,3,6,2,4,-1.0,-6.023321437995663,2,0,2,-2.0,-2.800748894580357,0.8647003745318352
