arm,lens,symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,depth,is_n,is_wins,is_stops,is_gross_r_sum,is_net_pp_sum,oos_n,oos_wins,oos_stops,oos_gross_r_sum,oos_net_pp_sum,funding_coverage
band,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,2,14,8,6,6.0000000000000036,1.633567771612521,6,3,3,1.499999999999964,-1.9231448878023287,0.8647003745318352
band,baseline,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,120,73,3,3,1,2,-0.5,-3.5122284136378266,1,0,1,-1.0,-0.8721804604162924,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,1,27,17,10,15.499999999999963,23.38330310899878,16,10,6,9.0,6.440090389978776,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,2,8,3,5,-0.5000000000000044,-5.394513003395998,7,1,6,-4.5,-5.361793682404212,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,3,1,1,0,1.5,1.9221816008744805,1,0,1,-1.0,-0.6301822248805662,0.8647003745318352
freeze,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,4,1,0,1,-1.0,-1.5247544005829883,0,0,0,0.0,0.0,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,1,30,18,12,14.999999999999995,22.942743355294333,18,12,6,12.000000000000009,8.53870114648615,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,2,11,5,6,1.4999999999999878,-2.8293950427803862,8,1,7,-5.5,-6.562641592688019,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,3,3,3,0,4.499999999999992,5.045346097707192,1,0,1,-1.0,-0.6301822248805662,0.8647003745318352
zone,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,4,1,0,1,-1.0,-1.5247544005829883,0,0,0,0.0,0.0,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,1,28,18,10,16.999999999999993,25.301238768848897,16,9,7,6.499999999999988,1.3783263210499723,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,2,10,7,3,7.500000000000003,2.970880947988741,5,3,2,2.499999999999983,-1.0666663060143269,0.8647003745318352
band,pen_5bp,BTC/USDT:USDT,2h,1600128000000,1784678400000,2136.0,117,71,3,2,1,1,0.5,-2.1079967059428455,1,0,1,-1.0,-0.8721804604162924,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,1,66,42,24,39.00000000000008,42.53168396303647,31,20,11,18.999999999999982,7.060999812001685,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,2,31,20,11,19.000000000000018,23.113878968267805,14,9,5,8.499999999999963,4.490500706088681,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,3,11,5,6,1.5000000000000067,4.64707468826192,7,4,3,2.999999999999969,0.5866828080024792,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,4,3,2,1,2.0,2.7398452107916667,3,2,1,1.9999999999999845,0.6309386204286701,0.8647003745318352
freeze,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,5,1,0,1,-1.0,-3.478153639542351,1,0,1,-1.0,-0.7312915028424674,0.8647003745318352
zone,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,1,73,44,29,37.00000000000012,49.53408370815377,32,20,12,17.999999999999936,7.088236599781764,0.8647003745318352
zone,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,2,28,14,14,7.000000000000021,9.394964974888394,15,8,7,4.999999999999945,1.8538576716854311,0.8647003745318352
zone,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,3,10,6,4,5.000000000000007,6.561475961952808,7,4,3,2.999999999999969,0.10581269065889276,0.8647003745318352
zone,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,4,4,2,2,1.0,2.047638075257374,3,2,1,1.9999999999999845,0.6309386204286701,0.8647003745318352
zone,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,5,1,0,1,-1.0,-3.478153639542351,1,0,1,-1.0,-0.7312915028424674,0.8647003745318352
band,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,1,60,38,22,35.00000000000014,25.992561063559126,25,17,8,17.499999999999932,8.009884324919861,0.8647003745318352
band,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,2,18,13,5,14.500000000000027,3.327898174368187,13,6,7,1.9999999999999538,-1.2643525057389733,0.8647003745318352
band,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,3,5,4,1,5.000000000000018,1.0965937469358087,5,3,2,2.499999999999969,0.5993245720055522,0.8647003745318352
band,baseline,BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,4,0,0,0,0.0,0.0,2,1,1,0.49999999999998446,0.09069575142125474,0.8647003745318352
