timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
15m,is,rvol_sma20,Q1,1,0.2187603626446796,0.8612140221941725,1760,0.09147727272727273,0.3159090909090909,0.5926136363636364,0.4815340909090909
15m,is,rvol_sma20,Q2,2,0.8614571814109268,1.2977369838094135,1760,0.09659090909090909,0.34602272727272726,0.5573863636363636,0.3934659090909091
15m,is,rvol_sma20,Q3,3,1.2981735201193896,5.255695948620983,1760,0.10113636363636364,0.30227272727272725,0.5965909090909091,0.4914772727272727
15m,is,rvol_sma50,Q1,1,0.12757405690998544,0.7780798610030245,1762,0.08796821793416572,0.33427922814982974,0.5777525539160046,0.4443813847900113
15m,is,rvol_sma50,Q2,2,0.7785465102956931,1.2012185818457908,1758,0.09670079635949944,0.32593856655290104,0.5773606370875995,0.44340159271899887
15m,is,rvol_sma50,Q3,3,1.2015156447577966,6.670553362653908,1760,0.10454545454545454,0.3039772727272727,0.5914772727272727,0.4786931818181818
15m,is,reg_4h_trend,Q1,1,-0.49879908385208416,-0.04248687063382628,1760,0.09375,0.33636363636363636,0.5698863636363637,0.4247159090909091
15m,is,reg_4h_trend,Q2,2,-0.04236961116531612,0.05949262070319006,1760,0.10681818181818181,0.31363636363636366,0.5795454545454546,0.44886363636363635
15m,is,reg_4h_trend,Q3,3,0.05957141850572523,1.971707764153655,1760,0.08863636363636364,0.31420454545454546,0.5971590909090909,0.4928977272727273
15m,is,reg_4h_ema_slope,Q1,1,-0.10464186362129446,-0.0042152030057554385,1760,0.09602272727272727,0.34204545454545454,0.5619318181818181,0.40482954545454547
15m,is,reg_4h_ema_slope,Q2,2,-0.0042104529810023175,0.005938609217879301,1760,0.10852272727272727,0.3130681818181818,0.5784090909090909,0.4460227272727273
15m,is,reg_4h_ema_slope,Q3,3,0.005943158677498939,0.08138265366277753,1760,0.0846590909090909,0.3090909090909091,0.60625,0.515625
15m,is,reg_4h_vol_pctl,Q1,1,0.0,0.42242503259452413,1760,0.09147727272727273,0.3306818181818182,0.5778409090909091,0.4446022727272727
15m,is,reg_4h_vol_pctl,Q2,2,0.4227467811158798,0.7362525458248472,1759,0.10233086981239341,0.3331438317225696,0.564525298465037,0.4113132461625924
15m,is,reg_4h_vol_pctl,Q3,3,0.7366362451108214,1.0,1760,0.09545454545454546,0.3,0.6045454545454545,0.5113636363636364
15m,is,reg_4h_dev_pctl,Q1,1,0.0,0.3551502145922747,1760,0.10511363636363637,0.3176136363636364,0.5772727272727273,0.4431818181818182
15m,is,reg_4h_dev_pctl,Q2,2,0.3552519214346712,0.7103004291845494,1760,0.09659090909090909,0.3306818181818182,0.5727272727272728,0.4318181818181818
15m,is,reg_4h_dev_pctl,Q3,3,0.7105038428693424,1.0,1760,0.0875,0.3159090909090909,0.5965909090909091,0.4914772727272727
15m,is,reg_1d_trend,Q1,1,-0.7190267812326148,-0.08408152172485017,1762,0.0981838819523269,0.33427922814982974,0.5675368898978433,0.4188422247446084
15m,is,reg_1d_trend,Q2,2,-0.0837291652078942,0.1914136413602716,1758,0.09385665529010238,0.31399317406143346,0.5921501706484642,0.4803754266211604
15m,is,reg_1d_trend,Q3,3,0.1914826699825154,7.7101278484825375,1760,0.0971590909090909,0.3159090909090909,0.5869318181818182,0.46732954545454547
15m,is,reg_1d_ema_slope,Q1,1,-0.2555120771134904,-0.009831367198649962,1749,0.10463121783876501,0.3344768439108062,0.5608919382504288,0.40222984562607206
15m,is,reg_1d_ema_slope,Q2,2,-0.00982778647390817,0.015947237286479524,1751,0.08338092518560822,0.31353512278697887,0.6030839520274129,0.5077098800685322
15m,is,reg_1d_ema_slope,Q3,3,0.015994899256050243,0.10137253238036505,1745,0.10028653295128939,0.3174785100286533,0.5822349570200573,0.45558739255014324
15m,is,reg_1d_vol_pctl,Q1,1,0.0,0.42588726513569936,1746,0.0859106529209622,0.31099656357388317,0.6030927835051546,0.5077319587628866
15m,is,reg_1d_vol_pctl,Q2,2,0.4259541984732824,0.736949846468782,1745,0.10945558739255014,0.32664756446991405,0.5638968481375358,0.40974212034383956
15m,is,reg_1d_vol_pctl,Q3,3,0.7374031007751938,1.0,1745,0.09226361031518625,0.32779369627507166,0.5799426934097421,0.4498567335243553
15m,is,reg_1d_dev_pctl,Q1,1,0.0,0.3561643835616438,1760,0.09147727272727273,0.3153409090909091,0.5931818181818181,0.48295454545454547
15m,is,reg_1d_dev_pctl,Q2,2,0.3561776061776062,0.721584984358707,1760,0.10170454545454545,0.32954545454545453,0.56875,0.421875
15m,is,reg_1d_dev_pctl,Q3,3,0.7215909090909091,1.0,1760,0.09602272727272727,0.31931818181818183,0.584659090909091,0.4616477272727273
15m,is,band_lower_slope_3_atr,Q1,1,-1.567246598501834,-0.20129106777340564,1760,0.07840909090909091,0.2857954545454545,0.6357954545454545,0.5894886363636364
15m,is,band_lower_slope_3_atr,Q2,2,-0.20111439048184557,-0.024527285977485828,1760,0.10568181818181818,0.32954545454545453,0.5647727272727273,0.4119318181818182
15m,is,band_lower_slope_3_atr,Q3,3,-0.0243803608578355,0.9060945034470632,1760,0.10511363636363637,0.3488636363636364,0.5460227272727273,0.3650568181818182
15m,is,band_lower_slope_3_pct,Q1,1,-0.06986147703281441,-0.001482148549431146,1760,0.07784090909090909,0.2875,0.6346590909090909,0.5866477272727273
15m,is,band_lower_slope_3_pct,Q2,2,-0.0014821008706558216,-0.00015169106094421885,1760,0.10454545454545454,0.3301136363636364,0.5653409090909091,0.4133522727272727
15m,is,band_lower_slope_3_pct,Q3,3,-0.00015051894023601858,0.016028779000926,1760,0.10681818181818181,0.3465909090909091,0.5465909090909091,0.3664772727272727
15m,is,band_lower_slope_5_atr,Q1,1,-1.3395996868509497,-0.15799686430206636,1760,0.07784090909090909,0.28863636363636364,0.6335227272727273,0.5838068181818182
15m,is,band_lower_slope_5_atr,Q2,2,-0.15769690113186222,-0.006597469616794089,1760,0.10738636363636364,0.32386363636363635,0.56875,0.421875
15m,is,band_lower_slope_5_atr,Q3,3,-0.006578334213645289,0.8485593642545249,1760,0.10397727272727272,0.35170454545454544,0.5443181818181818,0.36079545454545453
15m,is,band_lower_slope_5_pct,Q1,1,-0.04883530759730985,-0.0011542906710417793,1760,0.07727272727272727,0.29204545454545455,0.6306818181818182,0.5767045454545454
15m,is,band_lower_slope_5_pct,Q2,2,-0.0011514049810508508,-3.814396546147558e-05,1760,0.10852272727272727,0.31875,0.5727272727272728,0.4318181818181818
15m,is,band_lower_slope_5_pct,Q3,3,-3.73031054100183e-05,0.014075711619119543,1760,0.10340909090909091,0.3534090909090909,0.5431818181818182,0.35795454545454547
15m,oos,rvol_sma20,Q1,1,0.20183132855880118,0.9023519057014927,856,0.12149532710280374,0.3212616822429907,0.5572429906542056,0.39310747663551404
15m,oos,rvol_sma20,Q2,2,0.9025067662612358,1.4558257642180321,856,0.16705607476635514,0.30257009345794394,0.530373831775701,0.32593457943925236
