symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,limit_valid_bars,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784671200000,25632,120,0.6083333333333333,0.48688265642973527,0.04580640454963048,20.733175458060508,1.833997525316535,0.5208333333333334,0.7219730941704036,223,161,0.8647003745318352
BTC/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,pen_5bp,0,1600128000000,1784671200000,25632,117,0.6068376068376068,0.45877401835552684,0.04663477640273171,20.1739203061067,1.8045521554772679,0.5170940170940171,0.6860986547085202,223,153,0.8647003745318352
BTC/USDT:USDT,2h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723154400000,17088,80,0.6125,0.3625890535014647,0.04580640454963048,23.623965766128286,1.9897561569535513,0.53125,0.7,150,105,0.7970505617977528
BTC/USDT:USDT,2h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,pen_5bp,0,1600128000000,1723154400000,17088,78,0.6153846153846154,0.3457872157263937,0.04663477640273171,23.232858359993223,1.968034881654118,0.5384615384615384,0.6733333333333333,150,101,0.7970505617977528
BTC/USDT:USDT,2h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,40,0.6,0.09121870061180362,0.03408726764964041,14.463802716385622,1.571590762267798,0.5,0.7671232876712328,73,56,1.0
BTC/USDT:USDT,2h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,pen_5bp,0,1723161600000,1784671200000,8544,39,0.5897435897435898,0.08395591911470747,0.029815130954587113,13.59187785260154,1.5304108495402253,0.47435897435897434,0.7123287671232876,73,52,1.0
BTC/USDT:USDT,2h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,40,0.6,0.09121870061180362,0.03408726764964041,14.463802716385622,1.571590762267798,0.5,0.7671232876712328,73,56,1.0
BTC/USDT:USDT,2h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,pen_5bp,0,1723161600000,1784671200000,8544,39,0.5897435897435898,0.08395591911470747,0.029815130954587113,13.59187785260154,1.5304108495402253,0.47435897435897434,0.7123287671232876,73,52,1.0
ETH/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784671200000,25632,130,0.5692307692307692,0.4633047185509753,0.04791979977714152,16.94988326983277,1.647383373552456,0.4230769230769231,0.6610878661087866,239,158,0.8647003745318352
ETH/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,pen_5bp,0,1600128000000,1784671200000,25632,124,0.5483870967741935,0.3678108006954426,0.0485260599003262,14.542216282237877,1.5267470365217812,0.3709677419354839,0.6276150627615062,239,150,0.8647003745318352
