symbol,timeframe,segment,arm,fill,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
BTC/USDT:USDT,1h,is,long_only,baseline,False,1.1662258869099438,393,393,0,957,0.2309134261170939,-0.0148114313157309,0.5719562062172583,0.0,200,0,987,4.777387162090623
BTC/USDT:USDT,1h,oos,long_only,baseline,False,0.1472134695343673,183,183,0,493,0.0669284769324432,-0.0791765949119353,0.2962961735884062,0.155,200,0,521,0.0830109614608309
ETH/USDT:USDT,1h,is,long_only,baseline,False,0.1883004014863458,370,370,0,852,-0.1289477106061516,-0.3074523833205765,0.0905386427538973,0.0,200,0,962,6.113725594227505
ETH/USDT:USDT,1h,oos,long_only,baseline,False,0.9241095344406876,212,212,0,574,0.2959667793417725,0.0760966188811096,0.5763006382992572,0.0,200,0,508,-0.2796819118314838
SOL/USDT:USDT,1h,is,long_only,baseline,False,0.6038743374069494,394,394,0,909,0.1769551525366934,-0.1023295682949301,0.4874587315850778,0.0,200,0,962,48.92621394893147
SOL/USDT:USDT,1h,oos,long_only,baseline,False,0.1586598746245052,170,170,0,489,0.1138914332105946,-0.0681261965041598,0.3202246661168423,0.285,200,0,498,-0.5162541822628602
BNB/USDT:USDT,1h,is,long_only,baseline,False,0.7698799048406155,346,346,0,878,0.1869962346588966,-0.0612284316380959,0.4880391152521319,0.0,200,0,950,16.06886306615608
BNB/USDT:USDT,1h,oos,long_only,baseline,False,-0.0181385833774793,173,173,0,445,-0.0769178331925066,-0.2391252726761198,0.0990621729833153,0.22,200,0,465,0.1152491584457027
XRP/USDT:USDT,1h,is,long_only,baseline,False,1.94168106789686,374,374,0,821,0.776478014528361,0.3584405889111139,1.293461474915549,0.0,200,0,943,1.5036555645816407
XRP/USDT:USDT,1h,oos,long_only,baseline,False,0.0452889204621831,168,168,0,471,-0.0017103624747009,-0.1429883479698735,0.148238412477806,0.275,200,0,501,0.8647279856232641
TRX/USDT:USDT,1h,is,long_only,baseline,False,0.9419252496655514,358,358,0,850,0.4742663539558268,0.1513679310105222,0.8205989567959998,0.01,200,0,930,3.2179401993355476
TRX/USDT:USDT,1h,oos,long_only,baseline,False,-0.0704312047946159,133,133,0,339,-0.0400835401383097,-0.1346759084865612,0.0648493765120021,0.725,200,0,456,1.595144253507804
DOGE/USDT:USDT,1h,is,long_only,baseline,False,1.0208203108989906,350,350,0,850,0.2381773695353924,-0.0311287550642942,0.5566402848619815,0.0,200,0,931,37.553481694185216
DOGE/USDT:USDT,1h,oos,long_only,baseline,False,0.0672654673624776,184,184,0,457,0.0198122141396622,-0.1332186268076084,0.1765796205597547,0.305,200,0,490,-0.313523631258774
LINK/USDT:USDT,1h,is,long_only,baseline,False,0.9082683437607258,375,375,0,858,0.439405771705895,0.0945136764092729,0.8316839972527378,0.015,200,0,971,-0.1124235916074674
LINK/USDT:USDT,1h,oos,long_only,baseline,False,0.0123366044793254,167,167,0,401,-0.1157064506834133,-0.2478773068716612,0.0226798885183292,0.05,200,0,482,-0.1861011848786911
LTC/USDT:USDT,1h,is,long_only,baseline,False,1.0746873045700835,385,385,0,951,0.2095535842607788,-0.0370173029591829,0.4994977978526598,0.0,200,0,974,0.2463295269168026
LTC/USDT:USDT,1h,oos,long_only,baseline,False,0.1960585526263978,187,187,0,490,0.0548510892680075,-0.1370605233776248,0.2381723487500567,0.085,200,0,464,-0.2298963986186483
BTC/USDT:USDT,4h,is,long_only,baseline,False,0.394256058407859,105,105,0,248,0.0732731944194931,-0.0438993173278089,0.2138077177105371,0.0,200,0,244,4.737081522462245
BTC/USDT:USDT,4h,oos,long_only,baseline,False,0.0379644829435083,47,47,0,112,0.0454999713818977,-0.0609801852196829,0.1587837739920425,0.575,200,0,119,0.0802191530647187
ETH/USDT:USDT,4h,is,long_only,baseline,False,0.22719171616207,91,91,0,210,0.066784749312675,-0.0734685464016614,0.2093400272598148,0.015,200,0,248,6.128286238337011
ETH/USDT:USDT,4h,oos,long_only,baseline,False,0.149144360434536,46,46,0,112,0.070905415871335,-0.0191789536687078,0.1524024858769364,0.035,200,0,117,-0.2867911916521223
