symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,baseline,0,1689292800000,1784072700000,105312,811,0.5018495684340321,0.41443686399350954,0.1423022971810841,10.488570874910165,1.1044141708609545,0.25462392108508014,0.828099173553719,2420,2004,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,once,baseline,0,1689292800000,1784072700000,105312,587,0.5008517887563884,0.2859223347619776,0.11760714042738145,10.49511916861068,1.1098316008160471,0.252129471890971,0.8356643356643356,1144,956,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,baseline,0,1689292800000,1752479100000,70208,533,0.5084427767354597,0.32123133736330345,0.12153758317555309,12.79626994410604,1.1297633466713264,0.27110694183864914,0.8206896551724138,1595,1309,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,once,baseline,0,1689292800000,1752479100000,70208,390,0.5051282051282051,0.1888049001617137,0.11760714042738145,10.951442518645827,1.1123224482445786,0.26282051282051283,0.8284574468085106,752,623,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,baseline,0,1752480000000,1784072700000,35104,253,0.4782608695652174,0.025310032813136787,0.1351074898003508,2.97635189047771,1.0247665449218004,0.1956521739130435,0.8397435897435898,780,655,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,once,baseline,0,1752480000000,1784072700000,35104,182,0.47802197802197804,0.0373743825646643,0.0778042055151324,5.279917725383962,1.053092233614064,0.19505494505494506,0.8430851063829787,376,317,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,baseline,0,1689292800000,1784070000000,26328,269,0.5092936802973977,0.2908642935985299,0.10927202625242007,9.027865741935331,1.2230544494750688,0.2732342007434944,0.7809364548494984,598,467,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,once,baseline,0,1689292800000,1784070000000,26328,182,0.489010989010989,0.1377526206105349,0.11976703387716861,6.782085446366478,1.1537345800902332,0.22252747252747251,0.7985074626865671,268,214,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,baseline,0,1689292800000,1752476400000,17552,161,0.4782608695652174,0.030370377890139206,0.10927202625242007,2.1815969796375576,1.0382789760944684,0.1956521739130435,0.7899408284023669,338,267,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,baseline,0,1689292800000,1752476400000,17552,111,0.46846846846846846,0.007847428409021086,0.11976703387716861,1.1148209265281954,1.0137709131950046,0.17117117117117117,0.8148148148148148,162,132,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,baseline,0,1752480000000,1784070000000,8776,91,0.5164835164835165,0.11562966756703062,0.05503429354496777,11.080086803800693,1.265817358948751,0.29120879120879123,0.7391304347826086,230,170,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,baseline,0,1752480000000,1784070000000,8776,61,0.47540983606557374,0.047191593114009445,0.05631991801392812,7.071852201546557,1.1595273329166953,0.1885245901639344,0.7473684210526316,95,71,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,baseline,0,1689292800000,1784072700000,105312,983,0.5045778229908443,0.6874578817826332,0.33733814246502614,11.587851893018875,1.1589162082755446,0.2614445574771109,0.8086319218241043,2456,1986,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,once,baseline,0,1689292800000,1784072700000,105312,718,0.5306406685236769,1.0886812830353378,0.1459769503951137,21.332243633008652,1.3072374245872886,0.3266016713091922,0.8359375,1152,963,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,baseline,0,1689292800000,1752479100000,70208,627,0.48165869218500795,0.036259406162898085,0.33733814246502614,2.0171726159811567,1.0154273971338765,0.20414673046251994,0.8095545513234345,1549,1254,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,once,baseline,0,1689292800000,1752479100000,70208,463,0.509719222462203,0.27437075505397424,0.1459769503951137,11.435725629768656,1.1404141933191108,0.27429805615550756,0.8457374830852503,739,625,1.0
