symbol,timeframe,eligible,filled,fill_rate,mean_r_per_filled_trade,opportunity_adjusted_expectancy
BTC/USDT:USDT,1h,2405,929,0.3862785862785863,0.10764262648008611,0.04158004158004158
BTC/USDT:USDT,4h,522,180,0.3448275862068966,0.2833333333333333,0.09770114942528736
BTC/USDT:USDT,1d,55,19,0.34545454545454546,-1.0,-0.34545454545454546
ETH/USDT:USDT,1h,2407,857,0.3560448691316992,0.18319719953325556,0.06522642293311176
ETH/USDT:USDT,4h,489,154,0.3149284253578732,0.2857142857142857,0.08997955010224948
ETH/USDT:USDT,1d,82,17,0.2073170731707317,0.7422948916408668,0.15389040436456994
SOL/USDT:USDT,1h,2334,856,0.3667523564695801,-0.032710280373831745,-0.01199657240788345
SOL/USDT:USDT,4h,478,148,0.30962343096234307,0.4594594594594595,0.14225941422594143
SOL/USDT:USDT,1d,73,21,0.2876712328767123,-0.42857142857142855,-0.1232876712328767
