arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,reentry,multiple,adopted_point,net_r_stderr,mean_gross_r_after_slippage,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61951,0.6716760020015818,-0.007340333321883529,0.14074411403296924,0.08675953349629813,0.026438035746326576,0.018173982093602298,0.01654803944752239,1.6616901410227486e-06,0.0001631948809636045,0.1480844473548541,2.842170943040401e-14,0.008628763042310488,0.026642134046386,-0.0079947643979063,24397,0.39381123791383515,9307,0,-1.4077190647004345,1.4401746757795604,-0.9774641148570692,21,17.576249133400005,17.576249133400005,7611,0,4040,True,0.6,False,0.0031870972989358408,0.05398458053662616,18141,0.29282820293457734,,-ADA
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18515,0.6780448285174183,-0.0060469841225661404,0.15923064202981707,0.09688833067294211,0.029757832425412425,0.020762435749104812,0.018010170278998375,5.559998159681356e-06,-0.00014670297223489767,0.16527762615238348,2.842170943040401e-14,0.007266609505324202,0.021016736569402453,-0.00916389891696843,7340,0.39643532271131515,2505,0,-1.098991484556194,2.30682867941896,-0.47640793369753237,16,3.7779928169623505,3.7779928169623505,7555,0,844,True,0.6,False,0.005827557035522111,0.06234231135688055,4872,0.2631379962192817,,-ADA
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61719,0.6723051248400006,-0.0062768304864227525,0.1417548660871283,0.08666633960742444,0.026439698101799882,0.018214784848984363,0.016470193979835165,1.6679363879275474e-06,0.0002390120991198986,0.1480316965735518,2.842170943040401e-14,0.008622128378580639,0.02648525413272616,-0.007823361823360547,24386,0.39511333624977724,9079,0,-1.1430171194662613,1.3343126115184651,-0.8566336775948575,19,5.957806995184261,5.957806995184261,7353,0,4043,True,0.6,False,0.0031907403377899987,0.05508852647965671,17905,0.2901051540044395,,-BCH
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18311,0.6758232756266724,-0.009711590416711435,0.15566445338010435,0.09692403772666057,0.029753141724353893,0.020738062976127705,0.018048031721480624,5.621941233493545e-06,-9.285229304220091e-05,0.16537604379681464,2.842170943040401e-14,0.007274426344111237,0.021148042599746675,-0.008893847727218327,7257,0.3963191524220414,2417,0,-1.508635511260421,2.436786602374502,-0.6191085874283561,15,4.664277948456016,4.664277948456016,7419,0,844,True,0.6,False,0.005867629379435044,0.058740415653451346,4757,0.2597891977499863,,-BCH
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,62798,0.6728558234338673,-0.0044044699858554895,0.1418161356888302,0.08559379911950761,0.026111597995940383,0.017987941022489937,0.016268163603750153,1.6392777783767048e-06,0.0002574646552199372,0.1462206056746867,2.842170943040401e-14,0.008781210177883119,0.027008243517392096,-0.007647499999999245,24798,0.39488518742635115,9441,0,-0.30599857981636985,1.3175798432902404,-0.2322429121655617,20,55.9871835426432,55.9871835426432,6910,0,4044,True,0.6,False,0.003160405908414545,0.05622233656927621,18387,0.29279594891557054,,-BNB
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18922,0.6815347214882148,0.0013680826177335352,0.16374378689698119,0.09510711624249085,0.029329357767109602,0.020619303094181505,0.017442123607928267,5.440406189964079e-06,-0.00012763683865377632,0.16237570427924808,2.842170943040401e-14,0.007402098039687572,0.021619729479305592,-0.008498214285715788,7517,0.3972624458302505,2575,0,-0.3491958858812216,1.9312552460934296,-0.18081291252804618,16,241.1370531787105,241.1370531787105,7035,0,848,True,0.6,False,0.005739444760421401,0.06863667065449139,5047,0.26672656167424164,103.0071739708995,-BNB
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,62860,0.6698377346484251,-0.008814495096990315,0.13655418490605492,0.0851978677001448,0.025938308079969784,0.017798854571451923,0.01629781188299013,1.6376609278794193e-06,0.00013420010756246242,0.1453686800030468,2.842170943040401e-14,0.008835566491010277,0.027184982560805288,-0.00761666666666547,24747,0.39368437798281897,9363,0,-2.2972459839087045,1.635749056242382,-1.404400005698859,20,442.04896825560206,442.04896825560206,12345,0,4061,True,0.6,False,0.0031648699727865773,0.05135631720586648,18363,0.29212535793827554,,-BTC
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18952,0.6769206416209371,-0.0059477607324663695,0.15599429284904942,0.09496861025152123,0.029182498808248948,0.020379584459604326,0.017624807176009706,5.431794318620742e-06,-0.0002188789081880325,0.16194205358151523,2.842170943040401e-14,0.007450534998886271,0.02190378708181736,-0.008467647058823757,7526,0.39710848459265513,2552,0,-1.2583802611899417,2.535794437838042,-0.49624695220280035,16,9.629697536987432,9.629697536987432,7733,0,852,True,0.6,False,0.0057555278625668225,0.06102568259753365,5062,0.26709582102152807,,-BTC
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,44,11,61635,0.6718260728482194,-0.007385030935068256,0.14125025470565256,0.08708715376978754,0.026544680967033597,0.018256219061830253,0.016598589050781192,0.0,0.00014864279128917938,0.14863528564072306,2.842170943040401e-14,0.008595527707350894,0.02627441325103739,-0.007850000000000596,24257,0.3935588545469295,9053,0,-1.4001984491534174,1.4959159505883135,-0.9360141180410221,21,1044.6141207360236,1044.6141207360236,10437,0,4038,True,0.6,False,0.003195418613695867,0.05416310093582438,17779,0.28845623428246936,,-DOGE
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,44,11,18355,0.6792699536910923,-0.004274168894463866,0.16140008338561418,0.09713180088475654,0.02984217662344533,0.020834085646669203,0.018041889266552768,0.0,-0.00017570014134670397,0.16567425228007823,2.842170943040401e-14,0.00726289855744037,0.02079528335538366,-0.008916500994036942,7307,0.3980931626259875,2413,0,-0.511593131005877,1.9888557370315507,-0.2572298842395934,15,71.78544037469482,71.78544037469482,7054,0,854,True,0.6,False,0.005850019007692957,0.06426828250086243,4759,0.2592754017978752,,-DOGE
