symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
XRP/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,56,38,33,0.6785714285714286,0.2640066330197049,0.0253620705995866,0.6363636363636364,23.620143044652316,0.8050383420514449,21,12,0
XRP/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,46,31,25,0.6739130434782609,0.0005995117963564,0.0419799363467986,0.44,0.3687227197542623,0.0999999999999999,11,14,0
XRP/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,46,31,25,0.6739130434782609,-0.0051802042433222,0.0419799363467984,0.4,-0.4616645321066387,0.0342902252617705,10,15,0
XRP/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,46,31,25,0.6739130434782609,0.0006997777355762,0.0419799363467983,0.44,0.3837717609730402,0.0999999999999999,11,14,0
XRP/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,46,31,25,0.6739130434782609,-0.0050805174655451,0.0419799363467983,0.4,-0.4474382257149935,0.0342902252617705,10,15,0
XRP/USDT:USDT,4h,oos,baseline,entry_r,1.5,46,31,25,0.6739130434782609,0.0005995117963564,0.0419799363467986,0.44,0.3687227197542623,0.0999999999999999,11,14,0
XRP/USDT:USDT,4h,oos,baseline,zone_height,1.5,46,31,25,0.6739130434782609,-0.0051802042433222,0.0419799363467984,0.4,-0.4616645321066387,0.0342902252617705,10,15,0
XRP/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,46,31,25,0.6739130434782609,0.0006997777355762,0.0419799363467983,0.44,0.3837717609730402,0.0999999999999999,11,14,0
XRP/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,46,31,25,0.6739130434782609,-0.0050805174655451,0.0419799363467983,0.4,-0.4474382257149935,0.0342902252617705,10,15,0
TRX/USDT:USDT,4h,full,baseline,entry_r,1.5,131,86,69,0.6564885496183206,0.4472588997146611,0.0317474922235551,0.6666666666666666,23.54934196802594,0.6666666666666669,46,23,0
TRX/USDT:USDT,4h,full,baseline,zone_height,1.5,131,86,68,0.6564885496183206,0.4350066233454077,0.0411405137548937,0.6176470588235294,20.999875218575426,0.6185203933942658,42,26,0
TRX/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,131,84,69,0.6412213740458015,0.4300277813750861,0.0317474922235551,0.6521739130434783,22.610211783593595,0.6304347826086957,45,24,0
TRX/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,131,84,69,0.6412213740458015,0.4566493830685329,0.0410192788538868,0.6231884057971014,21.53389002117865,0.6357902342061988,43,26,0
TRX/USDT:USDT,4h,is,baseline,entry_r,1.5,84,50,44,0.5952380952380952,0.3838351448718414,0.0317474922235551,0.75,32.52350230328996,0.8749999999999999,33,11,0
TRX/USDT:USDT,4h,is,baseline,zone_height,1.5,84,50,43,0.5952380952380952,0.3975246126297408,0.0317474922235551,0.6976744186046512,30.180347224132316,0.8487955976132951,30,13,0
TRX/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,84,49,43,0.5833333333333334,0.3767845453149029,0.0317474922235551,0.7441860465116279,32.41165471286108,0.8604651162790693,32,11,0
TRX/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,84,49,43,0.5833333333333334,0.4280523107851752,0.0317474922235551,0.7209302325581395,32.37027017939582,0.91359389680843,31,12,0
TRX/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,47,36,25,0.7659574468085106,0.0458318717210302,0.0226441336220705,0.52,8.54044410810919,0.300000000000001,13,12,0
TRX/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,47,36,25,0.7659574468085106,0.0268202866532246,0.0231314310893805,0.48,4.925541295967487,0.2224470421375355,12,13,0
TRX/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,47,35,26,0.7446808510638298,0.0386721627878278,0.0226441336220704,0.5,7.049235341178339,0.2500000000000008,13,13,0
TRX/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,47,35,26,0.7446808510638298,0.0200252274145574,0.0231314310893803,0.4615384615384615,3.6485040193900766,0.1763457152871241,12,14,0
TRX/USDT:USDT,4h,oos,baseline,entry_r,1.5,47,36,25,0.7659574468085106,0.0458318717210302,0.0226441336220705,0.52,8.54044410810919,0.300000000000001,13,12,0
TRX/USDT:USDT,4h,oos,baseline,zone_height,1.5,47,36,25,0.7659574468085106,0.0268202866532246,0.0231314310893805,0.48,4.925541295967487,0.2224470421375355,12,13,0
TRX/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,47,35,26,0.7446808510638298,0.0386721627878278,0.0226441336220704,0.5,7.049235341178339,0.2500000000000008,13,13,0
TRX/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,47,35,26,0.7446808510638298,0.0200252274145574,0.0231314310893803,0.4615384615384615,3.6485040193900766,0.1763457152871241,12,14,0
DOGE/USDT:USDT,4h,full,baseline,entry_r,1.5,109,82,63,0.7522935779816514,0.2548636693371625,0.0430105079658106,0.5873015873015873,14.18341493027892,0.4682539682539676,37,26,0
