segment,timeframe,n,bullish_share,doji_share,net_bullish,net_bearish
is,15m,15125,0.1134545455,0.003438016529,0.4458572396,-0.1089303193
is,1h,4320,0.1173611111,0.002083333333,0.4082712785,-0.07784538273
is,2h,2185,0.0942791762,0.001372997712,0.4330521902,-0.0662946381
is,4h,1095,0.09223744292,0,0.5806029402,0.001620008031
oos_warm,15m,6732,0.126114082,0.004010695187,0.5279144367,-0.1573439879
oos_warm,1h,1946,0.09917780062,0.003083247688,0.5654162144,-0.1242922087
oos_warm,2h,1049,0.111534795,0.001906577693,0.2859665123,-0.06998547435
oos_warm,4h,545,0.09724770642,0.001834862385,0.4578158051,-0.03183805956
