segment,timeframe,assumption,offset_bps,mean_return,worst_symbol_return,positive_symbols,num_symbols,mean_win_rate,mean_mdd,mean_fill_rate,mean_trades,mean_r
full,1h,pen_5bp,0.0,0.05516866113379711,0.009857222219188952,3,3,0.46726843722563655,0.11374808709092703,0.3025226962896163,132.66666666666666,0.16468520067563985
full,1h,pen_5bp,2.0,0.07597408605938988,0.03203575041180866,3,3,0.47262930592944974,0.10695019373547154,0.306842158859511,134.66666666666666,0.17819687022585573
full,1h,pen_5bp,5.0,0.05948150903450387,0.026772992342260476,3,3,0.47030860160356563,0.1103994291477615,0.3111125368537548,135.33333333333334,0.17244626690505102
full,1h,pen_5bp,10.0,0.02298253087578402,-0.007935156782051126,2,3,0.45581632880338807,0.11611830590215233,0.3143171722218658,136.0,0.13612318701188783
full,1h,pen_5bp,20.0,-0.04422630968389773,-0.07355237635702287,1,3,0.42745235900708217,0.15507283771724117,0.31644865747413126,133.33333333333334,0.06496090338969596
full,1h,pen_5bp_drop_50,0.0,-0.03457130050851182,-0.07544539434452685,0,3,0.42913190006621554,0.1052359925489957,0.15669455931695406,77.66666666666667,0.0708214633399006
full,1h,pen_5bp_drop_50,2.0,0.003520119867185994,-0.04490334646884112,2,3,0.44681406586496397,0.0968509417918052,0.15848962771562988,78.0,0.11107898871715254
full,1h,pen_5bp_drop_50,5.0,0.03546125156303034,0.002505840716194932,3,3,0.4654179761767491,0.08549550416028838,0.1604541391227193,79.33333333333333,0.15977391530170929
full,1h,pen_5bp_drop_50,10.0,-0.06429532764222144,-0.12095025767813321,0,3,0.4115601292440343,0.14085649895609825,0.16206340298776453,81.0,0.02695416984814293
full,1h,pen_5bp_drop_50,20.0,-0.07868580820019204,-0.13716907115482918,0,3,0.3960164333113385,0.15047559798621182,0.16294457566188544,81.33333333333333,-0.011947668710405713
is,15m,baseline,0.0,0.10391400315138538,-0.02359042846090615,2,3,0.4895014257694661,0.1387743510997711,0.2759319670740426,293.0,0.2237535644236653
is,15m,baseline,2.0,0.07577216948513142,-0.056533212909460055,2,3,0.47982191607136837,0.15524607439344387,0.27804872890903626,298.0,0.19955479017842095
is,15m,baseline,5.0,-0.023534139303380285,-0.15972077277088612,1,3,0.4584352972604946,0.19956406102959523,0.28014543543895437,305.6666666666667,0.1460882431512365
is,15m,baseline,10.0,-0.1385959053122643,-0.21500339484870865,1,3,0.43556635689259354,0.2497591753819615,0.2835300763205535,315.3333333333333,0.08891589223148393
is,15m,baseline,20.0,-0.2880055327914361,-0.4225096133364317,0,3,0.4005843212134402,0.3491434498037316,0.2867022471727663,322.0,0.0014608030336005495
is,15m,pen_5bp_drop_50,0.0,-0.020550180045931583,-0.08267463697574469,1,3,0.4576768435460034,0.1404423389158955,0.1323226932970907,162.44444444444446,0.14419210886500847
is,15m,pen_5bp_drop_50,2.0,-0.025484937077865952,-0.11015069876068069,2,3,0.4571247684516702,0.15981634800735334,0.13498589676554465,166.33333333333334,0.14281192112917554
is,15m,pen_5bp_drop_50,5.0,-0.11524745357198408,-0.14292991199469665,0,3,0.42932180983384466,0.19277443222833712,0.13946325469253826,173.55555555555554,0.07330452458461163
is,15m,pen_5bp_drop_50,10.0,-0.11836521168992055,-0.18735881799504714,0,3,0.4257859978541201,0.21195476873766003,0.1421313282173585,180.44444444444446,0.06446499463530025
is,15m,pen_5bp_drop_50,20.0,-0.21928610359592351,-0.3483259241886847,0,3,0.38535712634375274,0.276424119341478,0.1449477335301281,188.0,-0.036607184140618095
is,1h,baseline,0.0,-0.008122034223750232,-0.04165380727483607,1,3,0.4465302440949321,0.10081968971554733,0.28807682393467154,81.33333333333333,0.11632561023733017
is,1h,baseline,2.0,-0.0007145523346592519,-0.037984873543307006,1,3,0.4485652461299341,0.09973493407557665,0.28971034041379373,81.66666666666667,0.12141311532483527
is,1h,baseline,5.0,-0.018765566336983647,-0.04511223921976543,1,3,0.44286421252713387,0.110440514382721,0.29050210605116505,81.33333333333333,0.10716053131783469
is,1h,baseline,10.0,-0.047951490927509076,-0.09505081607921693,0,3,0.4239662415224213,0.11611830590215233,0.29050210605116505,81.0,0.05991560380605324
is,1h,baseline,20.0,-0.09019603398691887,-0.15824658133557204,0,3,0.3888655293149675,0.1513192443151335,0.29292738816765856,80.33333333333333,-0.027836176712581207
is,1h,pen_5bp_drop_50,0.0,-0.030010018720672087,-0.032237906794149604,0,3,0.4212257057951805,0.09773552295134141,0.157806015257748,49.333333333333336,0.05306426448795118
is,1h,pen_5bp_drop_50,2.0,-0.018787887933145998,-0.03006751921116714,0,3,0.4260262643744038,0.0943487970078642,0.16193976208288896,50.22222222222222,0.06506566093600961
is,1h,pen_5bp_drop_50,5.0,0.009443293079015569,-0.036939273228382384,1,3,0.45056565234924356,0.08147424160027335,0.16455947185589673,49.888888888888886,0.1264141308731089
is,1h,pen_5bp_drop_50,10.0,-0.07112757844758823,-0.15547428795155951,0,3,0.3835590377739883,0.12906281534330244,0.16617632660022572,51.44444444444445,-0.04110240556502933
is,1h,pen_5bp_drop_50,20.0,-0.08791758191242684,-0.19018549828360024,0,3,0.35935809005141905,0.1433452860336903,0.1667041703584733,51.111111111111114,-0.10160477487145231
oos,15m,baseline,0.0,0.02456808592182976,-0.048240928910798724,1,3,0.4842514734989802,0.10488095550869529,0.2915055766408738,154.0,0.21062868374745036
oos,15m,baseline,2.0,0.0014703217056662304,-0.06484992283695247,1,3,0.47364864864864864,0.11138702618062224,0.2935812543150966,156.0,0.18412162162162163
oos,15m,baseline,5.0,-0.021842803739851358,-0.09404317413114459,1,3,0.4610403397027601,0.13264814121361693,0.2967337326684223,160.33333333333334,0.1526008492569002
oos,15m,baseline,10.0,-0.06865271000356886,-0.1732989730704845,1,3,0.4389492204155732,0.14914557773112094,0.2987046157496615,162.0,0.09737305103893307
oos,15m,baseline,20.0,-0.17728449051342707,-0.2505991093568163,0,3,0.3987839842936012,0.21622818150000575,0.3032265856459469,168.66666666666666,-0.0030400392659970014
oos,15m,pen_5bp_drop_50,0.0,-0.024683929123240356,-0.11311776712158772,1,3,0.4555566949425141,0.09265326777548148,0.14003982288885763,86.44444444444444,0.1388917373562852
oos,15m,pen_5bp_drop_50,2.0,-0.0443503362448316,-0.1250740116256012,1,3,0.44695999762185773,0.11106110026305743,0.14359656949688526,87.66666666666667,0.11739999405464437
oos,15m,pen_5bp_drop_50,5.0,-0.03560194585772179,-0.0983484205869537,1,3,0.45011876903228015,0.10824362491120842,0.14857909535354677,92.77777777777779,0.12529692258070027
oos,15m,pen_5bp_drop_50,10.0,-0.07358382869169115,-0.15091723050579878,1,3,0.4210502799003739,0.12667641635614255,0.1509802212508156,96.0,0.05262569975093479
oos,15m,pen_5bp_drop_50,20.0,-0.11522177158720555,-0.18888119079899005,0,3,0.39173124366184126,0.17059561944254067,0.15289453682275136,98.55555555555556,-0.02067189084539703
oos,1h,baseline,0.0,0.03572715422599407,-0.06165382715981887,2,3,0.4705105044828047,0.058749481163698124,0.323287624562311,46.666666666666664,0.16702556740497676
oos,1h,baseline,2.0,0.03555967854360855,-0.06049311368496219,2,3,0.4705105044828047,0.0583973052720898,0.3277293851634919,46.666666666666664,0.16702556740497676
oos,1h,baseline,5.0,0.022626347444966638,-0.05913198576587001,1,3,0.460042735042735,0.06270708059941187,0.3277293851634919,45.666666666666664,0.1400058275058275
oos,1h,baseline,10.0,0.01021731207902273,-0.05177410536551888,1,3,0.4469226704845665,0.06062719520243685,0.33118361659699797,46.333333333333336,0.10636391526865524
oos,1h,baseline,20.0,-0.009093901427293287,-0.06215623976367733,1,3,0.4287017132434369,0.06834483365157308,0.33889570279147513,45.333333333333336,0.05975723622782447
oos,1h,pen_5bp_drop_50,0.0,0.018006936360525225,-0.050499855241240704,2,3,0.45686215815248077,0.05364144564264587,0.17686207270573118,28.11111111111111,0.13254137523078324
oos,1h,pen_5bp_drop_50,2.0,0.02056544952077345,-0.050130619953916905,2,3,0.46003676132708393,0.05079389373561017,0.17686207270573118,28.222222222222218,0.14047788316729118
oos,1h,pen_5bp_drop_50,5.0,0.0008158406504086534,-0.04972900298330211,1,3,0.4371375351598839,0.05884155143566741,0.17737647599791226,27.666666666666668,0.0928438378997097
oos,1h,pen_5bp_drop_50,10.0,-0.007024398271847695,-0.04920932873422529,1,3,0.41454935357913975,0.06069075005692869,0.17982324643985179,28.666666666666668,0.03039047796494342
oos,1h,pen_5bp_drop_50,20.0,-0.023107194410775727,-0.053410092729775954,1,3,0.39988052566512106,0.0653351128942483,0.1836692772720657,29.0,-0.0073437744040249124
