segment,timeframe,assumption,offset_bps,mean_return,worst_symbol_return,positive_symbols,num_symbols,mean_win_rate,mean_mdd,mean_fill_rate,mean_trades,mean_r
full,15m,baseline,0.0,0.15795542234220228,0.07230950827450469,3,3,0.4917683668678394,0.14538438019639718,0.2849854244561925,461.0,0.2294209171695986
full,15m,baseline,2.0,0.10472100221809877,0.01600293467059055,3,3,0.4821111027389519,0.16233204138298482,0.2870379543256973,468.0,0.20527775684737973
full,15m,baseline,5.0,-0.0205789077427944,-0.11929523220657356,1,3,0.4639765207045993,0.21596208995361274,0.28949853467071857,480.3333333333333,0.1599413017614982
full,15m,baseline,10.0,-0.1751750910536066,-0.3260185424310584,0,3,0.44206278037274904,0.28561489091540876,0.2925041361160831,492.0,0.10515695093187256
full,15m,baseline,20.0,-0.4073722693235702,-0.46007918218443217,0,3,0.40505056240024734,0.4402468859850737,0.29619927250422534,506.0,0.01262640600061823
full,15m,pen_5bp,0.0,0.013405538312706569,-0.054296435779750206,2,3,0.4719100266869996,0.17427832637001475,0.2692208535380045,439.3333333333333,0.17977506671749902
full,15m,pen_5bp,2.0,0.018556992659748358,-0.0623082509435535,2,3,0.47047271207728114,0.17540394263680473,0.2753909806983951,453.3333333333333,0.17618178019320288
full,15m,pen_5bp,5.0,-0.04145620479404897,-0.1461277693954662,1,3,0.4607431851434766,0.21380146283321153,0.2845724838182821,474.3333333333333,0.1518579628586914
full,15m,pen_5bp,10.0,-0.17963922997711668,-0.3293505321534486,0,3,0.440542136907754,0.2875014517920187,0.28949853467071857,490.6666666666667,0.10135534226938503
full,15m,pen_5bp,20.0,-0.4025245817069969,-0.46008598477002927,0,3,0.40498705760242054,0.43602286683163355,0.29524406799306047,506.0,0.012467644006051411
full,15m,pen_5bp_drop_50,0.0,-0.05394719459527838,-0.07083595960424148,0,3,0.4537510619696454,0.1710553089889875,0.13556903878038604,252.11111111111111,0.13437765492411344
full,15m,pen_5bp_drop_50,2.0,-0.07087139840649498,-0.11030491625281925,0,3,0.451132013490422,0.20038853458631,0.13826560285229422,259.6666666666667,0.12783003372605506
full,15m,pen_5bp_drop_50,5.0,-0.12439110275676106,-0.1939191957773129,0,3,0.4407286395062333,0.2240690457608844,0.14256007036755214,271.0,0.10182159876558326
full,15m,pen_5bp_drop_50,10.0,-0.17893343931023745,-0.291608947966015,0,3,0.4275200944060867,0.2583326736442244,0.14511397598715334,282.5555555555556,0.06880023601521666
full,15m,pen_5bp_drop_50,20.0,-0.32905206354873556,-0.360987941038936,0,3,0.38781206800089035,0.36309081639853363,0.1483546940464018,294.3333333333333,-0.03046982999777392
full,1h,baseline,0.0,0.09063336163926833,0.05389621161239938,3,3,0.47920979046373974,0.10088215668358137,0.3111125368537548,137.0,0.19479812670362037
full,1h,baseline,2.0,0.09930597141198165,0.056129978148504595,3,3,0.48053212199870216,0.09973493407557665,0.3138051394517685,137.33333333333334,0.19810395554102647
full,1h,baseline,5.0,0.06763366529568193,0.036071284699927125,3,3,0.4729803507923427,0.110440514382721,0.3143171722218658,136.0,0.17917564344246528
full,1h,baseline,10.0,0.025011551262076197,-0.007935156782051126,2,3,0.45717599675816123,0.11611830590215233,0.3154245919339367,136.33333333333334,0.13952235689882067
full,1h,baseline,20.0,-0.03911449636629022,-0.06977965762173625,1,3,0.42925582665557777,0.1513192443151335,0.3196949699281804,134.33333333333334,0.06946957251093504
