arm,segment,quantile,days,btc_ret_mean,direction,traded_days,trades,win_rate,mean_net_r,net_r_sum
long_only,oos_warm,1,143,-0.02998273861118218,all,143,6656,0.30483774038461536,-0.3578053342950839,-2381.552305068078
long_only,oos_warm,1,143,-0.02998273861118218,long,143,6656,0.30483774038461536,-0.3578053342950839,-2381.552305068078
long_only,oos_warm,1,143,-0.02998273861118218,short,0,0,,,0.0
long_only,oos_warm,2,142,-0.009599260515990174,all,142,2883,0.4099895941727367,-0.10383302230868467,-299.3506033159379
long_only,oos_warm,2,142,-0.009599260515990174,long,142,2883,0.4099895941727367,-0.10383302230868467,-299.3506033159379
long_only,oos_warm,2,142,-0.009599260515990174,short,0,0,,,0.0
long_only,oos_warm,3,143,0.0005663604696289795,all,143,2306,0.4592367736339983,0.021982560047256572,50.691783468973654
long_only,oos_warm,3,143,0.0005663604696289795,long,143,2306,0.4592367736339983,0.021982560047256572,50.691783468973654
long_only,oos_warm,3,143,0.0005663604696289795,short,0,0,,,0.0
long_only,oos_warm,4,142,0.01021432323956041,all,140,1567,0.5296745373324825,0.20595434153126171,322.7304531794871
long_only,oos_warm,4,142,0.01021432323956041,long,140,1567,0.5296745373324825,0.20595434153126171,322.7304531794871
long_only,oos_warm,4,142,0.01021432323956041,short,0,0,,,0.0
long_only,oos_warm,5,143,0.030783305386739204,all,141,1354,0.5997045790251108,0.3913187894165059,529.845640869949
long_only,oos_warm,5,143,0.030783305386739204,long,141,1354,0.5997045790251108,0.3913187894165059,529.845640869949
long_only,oos_warm,5,143,0.030783305386739204,short,0,0,,,0.0
short_only,oos_warm,1,143,-0.02998273861118218,all,133,1161,0.5452196382428941,0.24772147804580505,287.60463601117965
short_only,oos_warm,1,143,-0.02998273861118218,long,0,0,,,0.0
short_only,oos_warm,1,143,-0.02998273861118218,short,133,1161,0.5452196382428941,0.24772147804580505,287.60463601117965
short_only,oos_warm,2,142,-0.009599260515990174,all,140,2046,0.478494623655914,0.07753019602466318,158.62678106646086
short_only,oos_warm,2,142,-0.009599260515990174,long,0,0,,,0.0
short_only,oos_warm,2,142,-0.009599260515990174,short,140,2046,0.478494623655914,0.07753019602466318,158.62678106646086
short_only,oos_warm,3,143,0.0005663604696289795,all,141,2179,0.42771913721890775,-0.05219244055711933,-113.72732797396301
short_only,oos_warm,3,143,0.0005663604696289795,long,0,0,,,0.0
short_only,oos_warm,3,143,0.0005663604696289795,short,141,2179,0.42771913721890775,-0.05219244055711933,-113.72732797396301
short_only,oos_warm,4,142,0.01021432323956041,all,142,3017,0.3841564468014584,-0.16515910624769858,-498.28502354930663
short_only,oos_warm,4,142,0.01021432323956041,long,0,0,,,0.0
short_only,oos_warm,4,142,0.01021432323956041,short,142,3017,0.3841564468014584,-0.16515910624769858,-498.28502354930663
short_only,oos_warm,5,143,0.030783305386739204,all,143,4702,0.33581454700127605,-0.2891806093340087,-1359.727225088509
short_only,oos_warm,5,143,0.030783305386739204,long,0,0,,,0.0
short_only,oos_warm,5,143,0.030783305386739204,short,143,4702,0.33581454700127605,-0.2891806093340087,-1359.727225088509
both,oos_warm,1,143,-0.02998273861118218,all,143,7417,0.34070378859377104,-0.2664422859617975,-1976.202434978652
both,oos_warm,1,143,-0.02998273861118218,long,143,6396,0.308317698561601,-0.3483539459803349,-2228.071838490222
both,oos_warm,1,143,-0.02998273861118218,short,130,1021,0.5435847208619001,0.2466889358585403,251.86940351156963
both,oos_warm,2,142,-0.009599260515990174,all,142,4345,0.4425776754890679,-0.016191823683519655,-70.3534739048929
both,oos_warm,2,142,-0.009599260515990174,long,141,2542,0.4150275373721479,-0.08947536411847913,-227.44637558917395
both,oos_warm,2,142,-0.009599260515990174,short,137,1803,0.48141985579589575,0.0871286199025408,157.09290168428106
both,oos_warm,3,143,0.0005663604696289795,all,143,3891,0.4451297866872269,-0.008547430898562771,-33.25805362630774
both,oos_warm,3,143,0.0005663604696289795,long,142,1965,0.46463104325699744,0.0376596766850369,74.0012646860975
both,oos_warm,3,143,0.0005663604696289795,short,141,1926,0.4252336448598131,-0.05569019642388643,-107.25931831240527
both,oos_warm,4,142,0.01021432323956041,all,142,4105,0.43751522533495735,-0.02757522835584675,-113.19631240075091
both,oos_warm,4,142,0.01021432323956041,long,138,1387,0.528478731074261,0.2045115562666548,283.6575285418502
both,oos_warm,4,142,0.01021432323956041,short,142,2718,0.3910963944076527,-0.14600950733723367,-396.8538409426011
both,oos_warm,5,143,0.030783305386739204,all,143,5595,0.39785522788203753,-0.12818341457270693,-717.1862045342953
both,oos_warm,5,143,0.030783305386739204,long,139,1207,0.6006628003314002,0.39486037949747604,476.5964780534536
both,oos_warm,5,143,0.030783305386739204,short,143,4388,0.3420692798541477,-0.27205621754506587,-1193.782682587749
