symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,99,0.6060606060606061,0.381826830114038,0.0394830489663018,28.131145163585987,1.776783387812472,0.5151515151515151,0.7633587786259542,262,200,1.0,L2u
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1689292800000,1752476400000,17552,176,0.5,0.3259687261733754,0.0902763546911757,12.985030818215648,1.3308213174750538,0.25,1.0,183,183,1.0,L0
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,248,0.4717741935483871,0.2750071457766789,0.0793757874932411,8.132872349091038,1.188055222075604,0.1794354838709677,1.0,454,454,1.0,L0r
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,207,0.4879227053140096,0.3308179709753116,0.0856234569527783,11.19468431491035,1.2751637952421502,0.2198067632850241,0.566079295154185,454,257,1.0,L1
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,164,0.4939024390243902,0.2402272849001554,0.0838899433344755,10.980071035378396,1.2778639370462148,0.2347560975609756,0.4741573033707865,445,211,1.0,L2
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,188,0.4840425531914893,0.2380711959746975,0.0862008205352722,9.59177738522881,1.2366038057673752,0.2101063829787234,0.802247191011236,445,357,1.0,L2u
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1752480000000,1784070000000,8776,91,0.5384615384615384,0.2104618584855689,0.0408194308904751,17.649332283431104,1.4384062428860207,0.3461538461538461,1.0,93,93,1.0,L0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,130,0.4615384615384615,0.0497254111328033,0.0823200376923676,3.5724473789296116,1.066006620354449,0.1538461538461538,1.0,232,232,1.0,L0r
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,111,0.4954954954954955,0.1442999768104746,0.0475125649035213,10.270416349708125,1.227671758519353,0.2387387387387387,0.625,232,145,1.0,L1
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,68,0.4117647058823529,-0.0457406277326741,0.0947880759554471,-5.1017660085699506,0.8869651710934652,0.0294117647058823,0.4298642533936652,221,95,1.0,L2
