symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
ETH/USDT:USDT,4h,oos_warm,long,65,0.9692307692307692,0.38372164292310956,0.9696969696969697,0.96875,-0.0009469696969697239,16.0,10.0,25.0,15.0,2,0.0,1.9999107223135097,0.2888384380740652,0.5,0.892755681818182,0.8658904925186347
ETH/USDT:USDT,4h,oos_warm,short,53,0.8301886792452831,0.533299681810665,0.8888888888888888,0.7692307692307693,-0.11965811965811957,28.5,12.5,51.0,38.5,9,0.0,4.711377469411498,0.28472180086159804,1.0,1.5,1.4759967365667874
SOL/USDT:USDT,4h,full,long,176,0.9204545454545454,0.4081959708239178,0.9772727272727273,0.8636363636363636,-0.11363636363636365,30.0,27.0,50.0,23.0,14,0.0,157.9043220572901,0.3379458708337572,0.8571428571428571,1.315283751201473,1.29755844277777
SOL/USDT:USDT,4h,full,short,173,0.9421965317919075,0.4015721183705305,0.9540229885057471,0.9302325581395349,-0.0237904303662122,41.0,35.0,50.0,15.0,10,0.0,6.093549822562781,0.34269021487569273,1.0,1.5,1.4767927388298259
SOL/USDT:USDT,4h,is,long,124,0.9112903225806451,0.4762412115834506,0.9838709677419355,0.8387096774193549,-0.14516129032258063,28.0,27.0,55.0,28.0,11,0.0,197.7467712489012,0.2673894375268354,1.0,1.5,1.4834786235124335
SOL/USDT:USDT,4h,is,short,119,1.0,0.4015721183705305,1.0,1.0,0.0,45.0,38.0,49.0,11.0,0,,,,,,
SOL/USDT:USDT,4h,oos_warm,long,52,0.9423076923076923,0.32465546944091384,0.9615384615384616,0.9230769230769231,-0.038461538461538436,42.0,24.0,53.0,29.0,3,0.0,1.265822784810128,0.6503164556962031,0.3333333333333333,0.6379908389402064,0.6158511134173362
SOL/USDT:USDT,4h,oos_warm,short,54,0.8148148148148148,0.4044670613292156,0.8518518518518519,0.7777777777777778,-0.07407407407407407,33.0,33.0,41.5,8.5,10,0.0,6.093549822562781,0.34269021487569273,1.0,1.5,1.4767927388298259
BNB/USDT:USDT,4h,full,long,194,0.9381443298969072,0.3698607002693244,0.9484536082474226,0.9278350515463918,-0.020618556701030855,26.5,21.0,46.0,25.0,12,0.0,99.9742640740019,0.11447110932733087,0.9166666666666666,1.3826520235916206,1.3583979227832144
BNB/USDT:USDT,4h,full,short,171,0.9473684210526315,0.42286423525816236,0.9534883720930233,0.9411764705882353,-0.012311901504788003,30.0,19.0,38.0,19.0,9,0.0,4.804828660436134,0.26152647975077986,0.7777777777777778,1.1803884971678007,1.155024546875408
