symbol,timeframe,side,entry_time,exit_time,window_start,window_end
BTC/USDT:USDT,15m,long,1719221580000,1719221580000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1719221580000,1719221580000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1719245160000,1719246360000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1719259140000,1719259200000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1719420540000,1719421500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720058400000,1720058400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720153140000,1720153140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720532460000,1720533600000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720537140000,1720540380000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720618980000,1720643280000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720668060000,1720668420000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720713120000,1720720140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720746840000,1720746900000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1720747500000,1720750140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1721847000000,1721850840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722265560000,1722266220000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722266220000,1722267600000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722270300000,1722270600000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722450300000,1722451260000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722612120000,1722612240000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722628020000,1722628860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722698520000,1722699240000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722756720000,1722757620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722819420000,1722819960000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1722950580000,1722950760000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723038720000,1723040220000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723041180000,1723051140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723124940000,1723125300000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723219440000,1723223580000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723374120000,1723378380000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723644660000,1723647840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723661100000,1723687080000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723744980000,1723745880000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1723750080000,1723750560000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1724796840000,1724796840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1724796840000,1724796840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1724857800000,1724858400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1724861940000,1724863620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1724955600000,1724956620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1724957460000,1724959020000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1725025860000,1725025980000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1725029040000,1725029760000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1725262680000,1725265140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1725370980000,1725371400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1725983940000,1725986460000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1726148820000,1726149780000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1726153260000,1726153500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1726156260000,1726157520000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1726838100000,1726841580000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1727795160000,1727796060000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1727873700000,1727876280000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1727895180000,1727896680000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1727943060000,1727943480000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1728326820000,1728328500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1728341760000,1728342000000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1729878960000,1729879200000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1729898580000,1729899060000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1730407680000,1730409540000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1731595320000,1731595620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1731957780000,1731958800000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1732127880000,1732133100000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1732571040000,1732571880000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1732573380000,1732574340000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1732620480000,1732622220000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1733128740000,1733145360000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1733278440000,1733288340000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1733328540000,1733329200000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1733428920000,1733429340000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1733527440000,1733528700000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734031560000,1734032160000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734496080000,1734501300000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734551820000,1734552120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734552480000,1734552480000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734637620000,1734643020000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734658980000,1734663420000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1734965160000,1734966600000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1735313640000,1735317120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1735563960000,1735564620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1736357040000,1736357400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1736429820000,1736430780000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1736430780000,1736431800000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1736453520000,1736454000000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1737276420000,1737278040000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1737324660000,1737324780000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1737326880000,1737327120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1737394860000,1737395520000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1737750120000,1737751260000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1737998460000,1738009440000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1738521840000,1738521840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1738547700000,1738547820000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1738771620000,1738779120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1738859580000,1738866600000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1738957560000,1738958640000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1739891520000,1739896500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1740152580000,1740152760000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1740159540000,1740161040000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1740495600000,1740495780000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1740675060000,1740683640000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1741051500000,1741051800000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1741365420000,1741366260000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1741614840000,1741615260000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1741790400000,1741791720000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1743412200000,1743418020000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1743517260000,1743517500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1743627960000,1743628680000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1743633360000,1743634860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1743766080000,1743766500000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1743959520000,1743960420000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1744007100000,1744007520000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1744008240000,1744008840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1744124340000,1744129020000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1744518780000,1744523400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1744732260000,1744734360000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1746021420000,1746022920000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1747075380000,1747075740000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1747727280000,1747746840000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1748356320000,1748356620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1748383080000,1748399100000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1748493900000,1748494560000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1748528400000,1748529180000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1749664980000,1749665820000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1749773460000,1749774300000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1750118100000,1750118700000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1750172340000,1750173540000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1750602360000,1750602660000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1750685520000,1750685700000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1752544680000,1752545640000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1752591360000,1752595680000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1752849660000,1752850080000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1754007180000,1754009400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1754076060000,1754088120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1754948160000,1754957880000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1755178800000,1755179460000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1756169100000,1756170360000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1756475760000,1756476420000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1756500300000,1756503300000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1758651720000,1758677820000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1758823020000,1758824640000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1760029140000,1760030340000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1760130780000,1760130780000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1760424420000,1760424780000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1760449020000,1760449140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1761085860000,1761085860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1761090060000,1761130980000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1761130980000,1761130980000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1761853200000,1761853920000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1761929400000,1761936240000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1762444080000,1762445160000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1762508160000,1762513440000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763056740000,1763057760000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763058540000,1763059860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763161560000,1763165220000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763330880000,1763332020000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763334120000,1763334120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763396160000,1763397120000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763655120000,1763656860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1763940780000,1763942820000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1764875580000,1764876060000,1689292800000,1784073600000
