axis,timeframe,segment,bucket,lo,hi,n,share,stop_rate,mean_net_r,net_r_se,mean_stop_width
A_스윕,15m,is,swept,,,2570,0.16991735537190084,0.5571984435797666,-0.00029846418440022574,0.025457165335345186,0.010587353307161857
A_스윕,15m,is,unswept,,,1917,0.12674380165289256,0.5675534689619197,-0.03045641912921582,0.029368494913428016,0.009947518357130085
A_스윕,15m,is,no_pivot,,,10638,0.7033388429752067,0.5761421319796954,-0.05982361530392835,0.01249824659645251,0.009670206339063332
A_스윕,15m,oos_warm,swept,,,1329,0.19741532976827095,0.581640331075997,-0.08772876064173907,0.03542822179734779,0.007658470829117537
A_스윕,15m,oos_warm,unswept,,,757,0.11244800950683304,0.5852047556142669,-0.10267114825158975,0.047044300351120796,0.007352463690270355
A_스윕,15m,oos_warm,no_pivot,,,4646,0.690136660724896,0.569737408523461,-0.06094312134092876,0.019050681379696205,0.007598328620504392
A_스윕,1h,is,swept,,,617,0.14282407407407408,0.5721231766612642,0.0067470031019954725,0.05096224076355728,0.019799312847705103
A_스윕,1h,is,unswept,,,539,0.12476851851851851,0.6549165120593692,-0.206378291204191,0.0524160000840034,0.01851307067935785
A_스윕,1h,is,no_pivot,,,3164,0.7324074074074074,0.56826801517067,0.005450092254178556,0.022586648498745813,0.017333417117126458
A_스윕,1h,oos_warm,swept,,,349,0.17934224049331962,0.5673352435530086,-0.0043724281812807615,0.06870698671093835,0.014366007902010536
A_스윕,1h,oos_warm,unswept,,,209,0.10739979445015416,0.5933014354066986,-0.07106764547795245,0.08789755824804324,0.014234527352384731
A_스윕,1h,oos_warm,no_pivot,,,1388,0.7132579650565262,0.590778097982709,-0.06655604983817906,0.03403805872596836,0.013591526581513027
A_스윕,2h,is,swept,,,313,0.14324942791762013,0.5750798722044729,0.022746047823258973,0.07092161389811673,0.030069885155243104
A_스윕,2h,is,unswept,,,262,0.11990846681922197,0.6106870229007634,-0.06868694913576985,0.07652494684805841,0.030308838381538753
A_스윕,2h,is,no_pivot,,,1610,0.7368421052631579,0.5850931677018634,-0.019324142801918215,0.031307019745034886,0.024576187925310227
A_스윕,2h,oos_warm,swept,,,184,0.1754051477597712,0.5978260869565217,-0.06331238284491957,0.09312841418765347,0.01944810493567913
A_스윕,2h,oos_warm,unswept,,,104,0.09914204003813155,0.6057692307692307,-0.07459845610382988,0.1225881883267668,0.019322506975694084
A_스윕,2h,oos_warm,no_pivot,,,761,0.7254528122020972,0.5795006570302234,-0.016242657393125748,0.04577782932679377,0.01868212639188955
A_스윕,4h,is,swept,,,167,0.15251141552511416,0.5868263473053892,0.0034124792217005524,0.09636768237811373,0.03899448943992607
A_스윕,4h,is,unswept,,,115,0.1050228310502283,0.6347826086956522,-0.11850604768494127,0.11409353844342937,0.03883374365398576
A_스윕,4h,is,no_pivot,,,813,0.7424657534246575,0.5485854858548586,0.09017158228635808,0.044172699541328575,0.035539585346142794
A_스윕,4h,oos_warm,swept,,,92,0.1688073394495413,0.6413043478260869,-0.1531591341408587,0.12792994740623323,0.025677909349140163
A_스윕,4h,oos_warm,unswept,,,52,0.09541284403669725,0.5192307692307693,0.14376204227299239,0.1800338005274519,0.024858254000666328
A_스윕,4h,oos_warm,no_pivot,,,401,0.7357798165137615,0.5635910224438903,0.037942460124146565,0.0631721331161186,0.024965832531567367
D_지표선겹침,15m,is,0,0.0,0.0,10939,0.7232396694214877,0.5731785355151293,-0.04793874770212605,0.012312975976635042,0.009982771203374917
D_지표선겹침,15m,is,1+,1.0,,4186,0.2767603305785124,0.5683229813664596,-0.040887163620221774,0.0199751831713889,0.009543481015590502
D_지표선겹침,15m,oos_warm,0,0.0,0.0,5176,0.7688651218062983,0.571483771251932,-0.0630581235697862,0.018026189457304873,0.007726664468659058
D_지표선겹침,15m,oos_warm,1+,1.0,,1556,0.2311348781937017,0.5816195372750642,-0.09708642433937421,0.032846115205165394,0.007103176238120811
D_지표선겹침,1h,is,0,0.0,0.0,2972,0.687962962962963,0.5841184387617766,-0.030691917400083313,0.023161853705060492,0.01791889973974437
D_지표선겹침,1h,is,1+,1.0,,1348,0.31203703703703706,0.56973293768546,0.0010277984867513557,0.03459130967968754,0.017642939803617048
D_지표선겹침,1h,oos_warm,0,0.0,0.0,1398,0.7183967112024666,0.5879828326180258,-0.056855622564502904,0.033949606265117394,0.013833212687610787
D_지표선겹침,1h,oos_warm,1+,1.0,,548,0.2816032887975334,0.583941605839416,-0.05342108060287691,0.05448321515100469,0.013713431628303446
D_지표선겹침,2h,is,0,0.0,0.0,1517,0.694279176201373,0.5866842452208306,-0.01683767755041233,0.03214410673176603,0.02555470317968563
D_지표선겹침,2h,is,1+,1.0,,668,0.30572082379862703,0.5868263473053892,-0.02461913289222226,0.04867422237274978,0.027176598122336245
D_지표선겹침,2h,oos_warm,0,0.0,0.0,786,0.7492850333651097,0.5788804071246819,-0.010478052742828575,0.04499528345914449,0.019277187959530324
D_지표선겹침,2h,oos_warm,1+,1.0,,263,0.25071496663489035,0.6045627376425855,-0.08947768326452067,0.07762202886773471,0.017692853542487667
D_지표선겹침,4h,is,0,0.0,0.0,739,0.6748858447488585,0.5859269282814614,-7.291552097548321e-05,0.04584513534187924,0.0353147040684592
D_지표선겹침,4h,is,1+,1.0,,356,0.32511415525114157,0.5168539325842697,0.16939626268276892,0.06703775497718066,0.038691227068816746
D_지표선겹침,4h,oos_warm,0,0.0,0.0,416,0.763302752293578,0.5817307692307693,-0.005677522837415503,0.061704980724778355,0.02576901855832108
D_지표선겹침,4h,oos_warm,1+,1.0,,129,0.23669724770642203,0.5426356589147286,0.08497489819677698,0.11240378154656341,0.022840185992654957
B_접근변동성,15m,is,Q1,0.20993948143066032,0.7519439518480184,3025,0.2,0.5669421487603306,-0.03726070415415277,0.023477126057136043,0.009554347253558826
B_접근변동성,15m,is,Q2,0.7519439518480184,0.9638400090981836,3025,0.2,0.5596694214876033,-0.015461179527962771,0.023503687903906573,0.009763130104757633
B_접근변동성,15m,is,Q3,0.9638400090981836,1.2220501798078494,3025,0.2,0.572892561983471,-0.04800742983943776,0.023418774885877285,0.009796230686216566
B_접근변동성,15m,is,Q4,1.2220501798078494,1.653426332281275,3025,0.2,0.5758677685950413,-0.052630119342126525,0.023402619161796014,0.01020570298987608
