symbol,timeframe,entry_ms,entry_utc,day,ordinal,chain_size,is_reentry,engine_entry,engine_take_profit,stop_price,net_r,tick_count,ohlc_match,solo_verdict,solo_outcome_ok,chain_verdict,chain_outcome_ok,fill_offset_s
ADA/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,1,1,False,0.34416882,0.34757205,0.3419,1.331816056544844,1077,True,인공물,False,인공물,False,53.04
ADA/USDT:USDT,15m,1733778300000,2024-12-09 21:05,2024-12-09,1,1,False,0.90708138,0.92760345,0.8934,1.4257330868443108,6643,True,인공물,False,인공물,False,16.538
ADA/USDT:USDT,15m,1736262420000,2025-01-07 15:07,2025-01-07,1,1,False,1.07291454,1.09063635,1.0611,1.398774095671104,3802,True,인공물,False,인공물,False,43.48
ADA/USDT:USDT,15m,1736262540000,2025-01-07 15:09,2025-01-07,1,1,True,1.07291454,1.09063635,1.0611,1.3987740956711037,3322,True,인공물,False,인공물,False,28.465
ADA/USDT:USDT,15m,1736262900000,2025-01-07 15:15,2025-01-07,1,1,False,1.05851166,1.0679791499999998,1.0522,1.3142057761080348,3814,True,인공물,False,인공물,False,56.165
ADA/USDT:USDT,15m,1736262960000,2025-01-07 15:16,2025-01-07,1,1,True,1.05851166,1.0679791499999998,1.0522,1.314205776108035,3825,True,진짜,True,진짜,True,0.209
ADA/USDT:USDT,15m,1740152640000,2025-02-21 15:44,2025-02-21,1,1,False,0.7798559399999999,0.7863898499999998,0.7755,1.3017500757517282,1364,True,진짜,True,진짜,True,5.456
ADA/USDT:USDT,15m,1744729680000,2025-04-15 15:08,2025-04-15,1,1,False,0.61992396,0.6249099,0.6166,1.2935358066823794,1225,True,인공물,False,인공물,False,59.675
ADA/USDT:USDT,15m,1744729740000,2025-04-15 15:09,2025-04-15,1,1,True,0.61992396,0.6249099,0.6166,1.2935358066823797,1947,True,진짜,True,진짜,True,0.02
ADA/USDT:USDT,15m,1747598400000,2025-05-18 20:00,2025-05-18,1,1,False,0.7200439799999999,0.7276099499999998,0.715,1.3416503973033198,2652,True,인공물,False,인공물,False,49.052
ADA/USDT:USDT,1h,1751955240000,2025-07-08 06:14,2025-07-08,1,3,False,0.5717014226303622,0.5754535565759054,0.5692,1.2472904470199309,1320,True,진짜,True,진짜,True,48.023
ADA/USDT:USDT,1h,1751955240000,2025-07-08 06:14,2025-07-08,2,3,False,0.5717014226303622,0.5754535565759054,0.5692,1.247290447019931,1320,True,진짜,True,미체결,False,
ADA/USDT:USDT,1h,1751955240000,2025-07-08 06:14,2025-07-08,3,3,True,0.5717014226303622,0.5754535565759054,0.5692,1.2472904470199309,1320,True,진짜,True,인공물,False,
ADA/USDT:USDT,15m,1754585220000,2025-08-07 16:47,2025-08-07,1,1,False,0.7364472599999999,0.7405681499999999,0.7337,1.2038312087789589,3164,True,순서역전-성립,True,순서역전-성립,True,10.195
ADA/USDT:USDT,15m,1758520740000,2025-09-22 05:59,2025-09-22,1,1,False,0.8338667399999999,0.8402668499999999,0.8296,1.2837118128524656,1443,True,인공물,False,인공물,False,58.194
ADA/USDT:USDT,4h,1758520920000,2025-09-22 06:02,2025-09-22,1,2,False,0.78445686,0.8136421500000001,0.765,1.4543088361344014,7323,True,인공물,False,인공물,False,31.394
