symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,reentries_total,re_is_n,re_is_wins,re_is_stops,re_is_gross_r_sum,re_is_net_pp_sum,re_oos_n,re_oos_wins,re_oos_stops,re_oos_gross_r_sum,re_oos_net_pp_sum,funding_coverage
BTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,52,33,36,27,16,11,12.999999999999986,19.441243025594137,9,8,1,10.999999999999986,17.955561815524167,0.8647003745318352
BTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,254,155,168,112,69,43,60.500000000000085,69.55432919081554,56,35,21,31.499999999999908,12.03783044367905,0.8647003745318352
ETH/USDT:USDT,4h,1600128000000,1784678400000,2136.0,68,42,48,32,19,13,15.499999999999943,20.37785242433678,16,5,11,-3.5,-6.780652199555382,0.8647003745318352
ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,138,80,41,39,22.49999999999999,16.099942304358937,58,33,25,24.49999999999998,18.882023109502853,0.8647003745318352
SOL/USDT:USDT,4h,1600128000000,1784678400000,2136.0,76,44,40,15,9,6,7.499999999999984,27.157899373233207,25,12,13,4.999999999999987,13.267170603964313,0.8764044943820225
SOL/USDT:USDT,1h,1600128000000,1784678400000,2136.0,280,153,177,109,66,43,55.999999999999865,107.81460245556441,68,34,34,16.999999999999943,7.344698968396943,0.8764044943820225
BNB/USDT:USDT,4h,1600128000000,1784678400000,2136.0,61,38,50,35,19,16,12.500000000000025,21.94257932513518,15,7,8,2.5000000000000004,1.6359353852623657,0.8647003745318352
BNB/USDT:USDT,1h,1600128000000,1784678400000,2136.0,220,134,124,77,47,30,40.49999999999994,34.498621008220205,47,23,24,10.500000000000238,-5.173723974844986,0.8647003745318352
XRP/USDT:USDT,4h,1600128000000,1784678400000,2136.0,58,34,26,15,7,8,2.499999999999987,10.104583132846278,11,5,6,1.5,-1.9767923698302035,0.8647003745318352
XRP/USDT:USDT,1h,1600128000000,1784678400000,2136.0,246,153,149,108,67,41,59.50000000000008,55.38697555632805,41,17,24,1.500000000000104,-6.542527332475714,0.8647003745318352
TRX/USDT:USDT,4h,1600128000000,1784678400000,2136.0,69,46,46,29,18,11,15.999999999999982,17.211433161635973,17,10,7,8.00000000000003,4.36923934952211,0.8647003745318352
TRX/USDT:USDT,1h,1600128000000,1784678400000,2136.0,227,143,138,105,56,49,34.99999999999991,42.15670421828142,33,14,19,1.9999999999999925,0.5809280422435897,0.8647003745318352
DOGE/USDT:USDT,4h,1600128000000,1784678400000,2136.0,63,37,52,30,21,9,22.499999999999982,74.20253656682257,22,14,8,12.999999999999948,5.560712694129874,0.0
DOGE/USDT:USDT,1h,1600128000000,1784678400000,2136.0,232,141,139,91,49,42,31.499999999999957,33.46444235313339,48,18,30,-3.000000000000006,-13.014398172948608,0.0
LINK/USDT:USDT,4h,1600128000000,1784678400000,2136.0,59,36,37,26,14,12,9.000000000000014,28.878081877026837,11,5,6,1.5000000000000187,0.8373351390543942,0.0
LINK/USDT:USDT,1h,1600128000000,1784678400000,2136.0,266,146,161,101,54,47,34.00000000000008,22.110222743934827,60,31,29,17.499999999999986,8.424120007774869,0.0
LTC/USDT:USDT,4h,1600128000000,1784678400000,2136.0,53,31,33,15,6,9,-1.887379141862766e-14,5.115361227693912,18,12,6,12.000000000000027,17.2134451732709,0.0
LTC/USDT:USDT,1h,1600128000000,1784678400000,2136.0,242,132,124,74,37,37,18.499999999999886,12.693177424009807,50,30,20,25.000000000000036,25.385275974271302,0.0
