symbol,timeframe,segment,side,setups_no_band,setups_with_band,reject_rate,fill_rate_no_band,fill_rate_with_band,filled,path_proximal,path_band,r_shrink_median,qty_amp_median,stops,revert_10,revert_20,revert_50,fee_pct,funding_pct,funding_total,old_gate_pass_frac
BTC/USDT:USDT,1h,full,long,657,636,0.0319634703196347,1.0,0.7452830188679245,226,162,64,0.7323420247975732,1.3654822011291927,105,0.4571428571428571,0.5904761904761905,0.6634615384615384,0.0006010350879638,7.526404596353944e-05,174.94914162555267,0.3141592920353982
BTC/USDT:USDT,1h,full,short,667,638,0.0434782608695651,1.0,0.7429467084639498,225,165,60,0.7543976608817693,1.325560843907126,108,0.4299065420560747,0.4953271028037383,0.6635514018691588,0.0005994479071926,-9.754743712731456e-05,-222.42618026785925,0.3688888888888889
BTC/USDT:USDT,1h,is,long,375,361,0.0373333333333333,1.0,0.7617728531855956,139,101,38,0.7323420247975732,1.3654822011291927,68,0.4852941176470588,0.6470588235294118,0.7205882352941176,0.0006007316690576,8.846444927000804e-05,112.56640249280784,0.2733812949640288
BTC/USDT:USDT,1h,is,short,459,438,0.045751633986928,1.0,0.7488584474885844,160,115,45,0.7461398966143221,1.3402312415373998,78,0.3846153846153846,0.4358974358974359,0.6282051282051282,0.0005995839890297,-0.0001093643010297,-161.18125463034954,0.35
BTC/USDT:USDT,1h,oos,long,282,275,0.0248226950354609,1.0,0.7236363636363636,87,61,26,0.7336308339724951,1.3630833843026444,37,0.4054054054054054,0.4864864864864865,0.5555555555555556,0.0006014020803877,5.9297842454706675e-05,62.3827391327448,0.3793103448275862
BTC/USDT:USDT,1h,oos,short,208,200,0.0384615384615384,1.0,0.73,65,50,15,0.8485104738254441,1.178535835263856,30,0.5517241379310345,0.6551724137931034,0.7586206896551724,0.0005991991947423,-7.595013040020561e-05,-61.24492563750987,0.4153846153846154
ETH/USDT:USDT,1h,full,long,707,692,0.0212164073550211,1.0,0.7615606936416185,262,178,84,0.7306904545146812,1.368568583072831,119,0.4453781512605042,0.5294117647058824,0.6218487394957983,0.0006014240284917,4.841839575272431e-05,139.5290189728957,0.3167938931297709
ETH/USDT:USDT,1h,full,short,604,576,0.0463576158940397,1.0,0.7829861111111112,244,188,56,0.7539016533211415,1.3264329579259158,115,0.4824561403508772,0.5929203539823009,0.7699115044247787,0.0005987867739617,-6.701830174296869e-05,-198.97701584407068,0.3647540983606557
ETH/USDT:USDT,1h,is,long,454,443,0.0242290748898678,1.0,0.7652370203160271,162,108,54,0.7302765255169978,1.3693443032309602,80,0.475,0.575,0.6625,0.0006008817153132,8.985744449277104e-05,118.42296331727108,0.3024691358024691
ETH/USDT:USDT,1h,is,short,373,355,0.0482573726541555,1.0,0.7746478873239436,144,111,33,0.7790963729582597,1.283538256253152,70,0.4714285714285714,0.5714285714285714,0.7428571428571429,0.0005991516902136,-9.666449614832216e-05,-130.79740277389587,0.3333333333333333
ETH/USDT:USDT,1h,oos,long,253,249,0.0158102766798419,1.0,0.7550200803212851,100,70,30,0.7361428917556316,1.3584319174978297,39,0.3846153846153846,0.4358974358974359,0.5384615384615384,0.0006018810539537,1.3496322775516365e-05,21.10605565562462,0.34
ETH/USDT:USDT,1h,oos,short,231,221,0.0432900432900432,1.0,0.7963800904977375,100,77,23,0.7161965690133113,1.3962647173494265,45,0.5,0.627906976744186,0.813953488372093,0.0005984812016385,-4.21932728438719e-05,-68.17961307017487,0.41
SOL/USDT:USDT,1h,full,long,643,630,0.0202177293934681,1.0,0.753968253968254,244,179,65,0.7422651156901698,1.3472275321334268,134,0.4701492537313433,0.5298507462686567,0.7164179104477612,0.0006005041359178,1.9209922814933005e-05,34.27187514690653,0.2950819672131147
SOL/USDT:USDT,1h,full,short,648,623,0.0385802469135801,1.0,0.7463884430176565,269,191,78,0.7759006185883432,1.288824852104614,139,0.4748201438848921,0.5539568345323741,0.6690647482014388,0.0005993614149363,-3.983487263725169e-05,-87.40978496662538,0.3271375464684015
SOL/USDT:USDT,1h,is,long,418,414,0.0095693779904306,1.0,0.7922705314009661,168,124,44,0.7492833815275963,1.3346085401777588,92,0.5217391304347826,0.5543478260869565,0.7391304347826086,0.0006006092052952,4.900860425818897e-05,55.95703054044629,0.2619047619047619
SOL/USDT:USDT,1h,is,short,427,414,0.0304449648711944,1.0,0.7632850241545893,182,127,55,0.7932230482600128,1.2606794547808036,92,0.4347826086956521,0.5108695652173914,0.6413043478260869,0.0005991968421812,-4.04188352580769e-05,-56.47506472862073,0.2912087912087912
SOL/USDT:USDT,1h,oos,long,225,216,0.04,1.0,0.6805555555555556,76,55,21,0.7207340709362066,1.3874742992252849,42,0.3571428571428571,0.4761904761904761,0.6666666666666666,0.0006003173577354,-3.376215810406496e-05,-21.68515539353975,0.3684210526315789
SOL/USDT:USDT,1h,oos,short,221,209,0.0542986425339366,1.0,0.7129186602870813,87,64,23,0.7073098789617839,1.4138074834580816,47,0.5531914893617021,0.6382978723404256,0.723404255319149,0.0005996499121087,-3.881118214366955e-05,-30.934720238004683,0.4022988505747126
BNB/USDT:USDT,1h,full,long,623,605,0.028892455858748,1.0,0.7322314049586777,218,159,59,0.803628348693862,1.2443563017970944,110,0.5363636363636364,0.6454545454545455,0.7272727272727273,0.0006006842917778,-2.1902537178957032e-05,-48.30131486173939,0.3486238532110092
BNB/USDT:USDT,1h,full,short,553,535,0.0325497287522603,1.0,0.7233644859813084,207,138,69,0.778178904080681,1.285051541176604,106,0.5566037735849056,0.6698113207547169,0.8113207547169812,0.0005995987191531,-4.398265318765649e-06,-10.059991869382902,0.3043478260869565
BNB/USDT:USDT,1h,is,long,407,400,0.0171990171990171,1.0,0.7175,128,94,34,0.7668721724563261,1.3039982880027514,63,0.6031746031746031,0.7301587301587301,0.8095238095238095,0.0006009143116033,-5.110675255460893e-05,-66.08938536835386,0.3515625
BNB/USDT:USDT,1h,is,short,364,355,0.0247252747252747,1.0,0.7408450704225352,142,92,50,0.7830058146182726,1.2771297241100508,71,0.5492957746478874,0.6338028169014085,0.8028169014084507,0.0005993187205505,4.819843872350816e-06,7.662626837855294,0.2535211267605634
BNB/USDT:USDT,1h,oos,long,216,205,0.0509259259259259,1.0,0.7609756097560976,90,65,25,0.8352185197958416,1.1972914588201864,47,0.4468085106382978,0.5319148936170213,0.6170212765957447,0.0006003581800152,1.9501885799554775e-05,17.788070506614467,0.3444444444444444
BNB/USDT:USDT,1h,oos,short,189,180,0.0476190476190476,1.0,0.6888888888888889,65,46,19,0.7249337516085113,1.3794363937134408,35,0.5714285714285714,0.7428571428571429,0.8285714285714286,0.0006002369592863,-2.541039603524363e-05,-17.722618707238198,0.4153846153846154
XRP/USDT:USDT,1h,full,long,619,599,0.0323101777059773,1.0,0.7328881469115192,222,164,58,0.7591503610046743,1.3172621016429218,106,0.6132075471698113,0.7358490566037735,0.8113207547169812,0.0006010870338051,4.046718754662041e-05,108.80866021084417,0.2747747747747748
XRP/USDT:USDT,1h,full,short,578,560,0.0311418685121107,1.0,0.7678571428571429,228,172,56,0.7642491988662046,1.3084737301439655,107,0.616822429906542,0.6822429906542056,0.8037383177570093,0.0005987834048535,-8.307503503460445e-05,-239.38273585182608,0.3508771929824561
XRP/USDT:USDT,1h,is,long,415,402,0.0313253012048192,1.0,0.746268656716418,155,119,36,0.7363794800118957,1.357995472638436,71,0.6338028169014085,0.7464788732394366,0.8028169014084507,0.0006014608578811,7.204132356153126e-05,116.69641722202766,0.232258064516129
XRP/USDT:USDT,1h,is,short,383,373,0.0261096605744125,1.0,0.7828418230563002,161,120,41,0.7731662254817799,1.293382932469501,72,0.5833333333333334,0.6527777777777778,0.7916666666666666,0.0005983578561212,-0.0001184743629065,-210.163862458532,0.3229813664596273
XRP/USDT:USDT,1h,oos,long,204,197,0.034313725490196,1.0,0.7055837563451777,67,45,22,0.7842402681323881,1.2751194253024372,35,0.5714285714285714,0.7142857142857143,0.8285714285714286,0.0006005205566393,-7.378920373992054e-06,-7.887757011183553,0.373134328358209
XRP/USDT:USDT,1h,oos,short,195,187,0.0410256410256409,1.0,0.7379679144385026,67,52,15,0.6016964845614959,1.6619674963346005,35,0.6857142857142857,0.7428571428571429,0.8285714285714286,0.0005994649548445,-2.6380208421134506e-05,-29.218873393293975,0.417910447761194
TRX/USDT:USDT,1h,full,long,513,493,0.0389863547758284,1.0,0.77079107505071,197,153,44,0.8078276845895411,1.2378877563574735,104,0.4519230769230769,0.5096153846153846,0.6504854368932039,0.0006002905798949,-5.303496019931213e-05,-86.42540500891374,0.365482233502538
TRX/USDT:USDT,1h,full,short,479,453,0.0542797494780793,1.0,0.7152317880794702,171,128,43,0.762492504230394,1.3114883024447948,105,0.4476190476190476,0.580952380952381,0.7333333333333333,0.0006004452626701,-5.312878223305508e-05,-79.09183142053706,0.391812865497076
TRX/USDT:USDT,1h,is,long,341,329,0.035190615835777,1.0,0.7659574468085106,130,100,30,0.8032823160761129,1.2448923373351688,66,0.4696969696969697,0.5151515151515151,0.6363636363636364,0.0006005205721596,-1.9325010258601977e-05,-21.37786138970863,0.3923076923076923
TRX/USDT:USDT,1h,is,short,291,267,0.0824742268041237,1.0,0.7228464419475655,106,79,27,0.7287679064042278,1.372178976615536,65,0.5076923076923077,0.6,0.7692307692307693,0.0006004175426974,-4.475645474529817e-05,-43.343770609026954,0.3962264150943396
TRX/USDT:USDT,1h,oos,long,172,164,0.0465116279069767,1.0,0.7804878048780488,67,53,14,0.8641898363166287,1.1571531600767544,38,0.4210526315789473,0.5,0.6756756756756757,0.0005998044495428,-0.00012428705143,-65.04754361920513,0.3134328358208955
TRX/USDT:USDT,1h,oos,short,188,186,0.0106382978723403,1.0,0.7043010752688172,65,49,16,0.9002436239784819,1.1108104221617932,40,0.35,0.55,0.675,0.0006004968633824,-6.871386478339278e-05,-35.748060811510136,0.3846153846153846
BTC/USDT:USDT,15m,full,long,2619,2538,0.030927835051546393,1.0,0.8010244286840031,725,572,153,0.8413784925465118,1.1885257453793538,365,0.5013698630136987,0.6,0.7232876712328767,0.0006004212005473668,3.218471470276568e-05,246.72288381795292,0.3448275862068966
BTC/USDT:USDT,15m,full,short,2455,2386,0.028105906313645623,1.0,0.7489522212908634,611,457,154,0.8486253571308647,1.1783762900756596,328,0.4969512195121951,0.5762195121951219,0.6941896024464832,0.0005998853461423373,-4.2391421519106506e-05,-275.8860861676069,0.36661211129296234
BTC/USDT:USDT,15m,is,long,1725,1679,0.026666666666666616,1.0,0.7945205479452054,471,372,99,0.8587581307082217,1.1644722352442771,233,0.5321888412017167,0.6266094420600858,0.759656652360515,0.0006004715531238063,3.772663151345203e-05,189.4378142248102,0.3248407643312102
BTC/USDT:USDT,15m,is,short,1642,1589,0.03227771010962244,1.0,0.7520453115166772,418,313,105,0.8514493822496578,1.174467937668648,230,0.5043478260869565,0.591304347826087,0.6782608695652174,0.0005999980010747452,-5.339899758779218e-05,-238.01017700627898,0.3708133971291866
BTC/USDT:USDT,15m,oos,long,894,859,0.03914988814317677,1.0,0.8137369033760187,254,200,54,0.7867425351867405,1.2710638554233513,132,0.44696969696969696,0.553030303030303,0.6590909090909091,0.0006003255924124443,2.166187024048187e-05,57.28506959314278,0.38188976377952755
BTC/USDT:USDT,15m,oos,short,813,797,0.019680196801967975,1.0,0.7427854454203262,193,144,49,0.8264173185144977,1.2100424054490058,98,0.47959183673469385,0.5408163265306123,0.7319587628865979,0.0005996405094987211,-1.8468296970455144e-05,-37.87590916132785,0.35751295336787564
ETH/USDT:USDT,15m,full,long,2686,2591,0.035368577810871216,1.0,0.7834812813585488,869,654,215,0.8341199179266484,1.1988683863174923,429,0.48951048951048953,0.5944055944055944,0.7086247086247086,0.0006005114366248838,2.610036774844269e-05,187.214161778764,0.3245109321058688
ETH/USDT:USDT,15m,full,short,2486,2414,0.028962188254223697,1.0,0.7609776304888153,776,613,163,0.8389090993464497,1.1920242619600236,411,0.4609756097560976,0.5682926829268292,0.6951219512195121,0.0005997621357286308,-2.7942943015777948e-05,-182.76769976128423,0.36597938144329895
ETH/USDT:USDT,15m,is,long,1693,1632,0.03603071470761965,1.0,0.7886029411764706,565,434,131,0.8147170666078432,1.2274199731246591,290,0.496551724137931,0.6068965517241379,0.7241379310344828,0.0006003117826499528,3.713763298775181e-05,151.0595640503588,0.32035398230088497
ETH/USDT:USDT,15m,is,short,1568,1521,0.029974489795918324,1.0,0.7666009204470743,518,421,97,0.8534441049128534,1.17172289812947,287,0.47735191637630664,0.578397212543554,0.7073170731707317,0.0006000575242000025,-3.786458427338004e-05,-146.32368922371157,0.3687258687258687
ETH/USDT:USDT,15m,oos,long,993,959,0.03423967774420944,1.0,0.7747653806047967,304,220,84,0.8803068701444854,1.1359675062354895,139,0.4748201438848921,0.5683453237410072,0.6762589928057554,0.0006007729591554147,1.164288681663841e-05,36.154597728405115,0.33223684210526316
ETH/USDT:USDT,15m,oos,short,918,893,0.027233115468409563,1.0,0.7513997760358343,258,192,66,0.744224206109554,1.343681100118362,124,0.42276422764227645,0.5447154471544715,0.6666666666666666,0.0005993356232023942,-1.361704783936997e-05,-36.444010537572595,0.36046511627906974
SOL/USDT:USDT,15m,full,long,2638,2558,0.030326004548900665,1.0,0.7677873338545739,1052,746,306,0.8019859883085416,1.2469045776087524,521,0.4779270633397313,0.6065259117082533,0.7332053742802304,0.0006005274348054093,5.959319834418866e-06,109.6445645777022,0.282319391634981
SOL/USDT:USDT,15m,full,short,2520,2418,0.04047619047619044,1.0,0.7684036393713813,983,715,268,0.8242109902206628,1.2132815648724533,521,0.5316698656429942,0.6314779270633397,0.727447216890595,0.0005997115718128621,-1.3986945232408857e-05,-233.33743164068736,0.31536113936927773
SOL/USDT:USDT,15m,is,long,1751,1696,0.03141062250142779,1.0,0.7623820754716981,708,499,209,0.7847318961257169,1.2743205736087428,351,0.4843304843304843,0.6296296296296297,0.7549857549857549,0.0006005536178945594,1.507748096878867e-05,164.7475075267844,0.2570621468926554
SOL/USDT:USDT,15m,is,short,1697,1626,0.041838538597525066,1.0,0.7699876998769988,687,495,192,0.8298589866783892,1.2050240053465238,363,0.5344352617079889,0.6363636363636364,0.7355371900826446,0.0005996966439651127,-1.8378006448573835e-05,-190.93497833311562,0.31004366812227074
