symbol,timeframe,segment,direction,entry_point,stop_variant,runway_atr,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,real_win_rate,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,runway_density_corr,buy_hold
BTC/USDT:USDT,2h,is,long,A_close,ob,,-0.0416222001911099,149,-0.0491015697091464,0.1625153463864198,0.436241610738255,1455,3880,0.0131557126570255,-0.161499157521047,0.208581526208606,0.665,200,,,,4.757997114455272
BTC/USDT:USDT,2h,is,long,A_close,atr,,0.1632219810224565,176,0.0866293084312089,0.0988411215867733,0.4829545454545454,0,3880,,,,,0,,,,4.757997114455272
BTC/USDT:USDT,2h,is,long,B_open,ob,,0.0001765613830248,154,-0.0183191867646998,0.1328920558958783,0.448051948051948,1457,3880,0.0305016012609643,-0.1711423280508323,0.2432879626634399,0.605,200,,,,4.757997114455272
BTC/USDT:USDT,2h,is,long,B_open,atr,,0.1703818526217732,180,0.088276570257168,0.0933422670357197,0.4833333333333333,0,3880,,,,,0,,,,4.757997114455272
BTC/USDT:USDT,2h,is,short,A_close,ob,,-0.1300203148633838,148,-0.1211648399032957,0.1737372654899555,0.3986486486486486,1397,3880,-0.1164422075312393,-0.2910098258991845,0.0609857395363402,0.55,200,,,,4.757997114455272
BTC/USDT:USDT,2h,is,short,A_close,atr,,-0.0652341726575314,182,-0.0280998770667854,0.1736501769308062,0.4230769230769231,0,3880,,,,,0,,,,4.757997114455272
BTC/USDT:USDT,2h,is,short,B_open,ob,,-0.099886766874414,154,-0.0978874270000224,0.1524543799551695,0.4090909090909091,1397,3880,-0.1142023951379449,-0.3026225014129856,0.0882318224457436,0.425,200,,,,4.757997114455272
BTC/USDT:USDT,2h,is,short,B_open,atr,,-0.0352962448669361,188,-0.0101763588617295,0.1609304238769801,0.4308510638297872,0,3880,,,,,0,,,,4.757997114455272
BTC/USDT:USDT,2h,is,both,A_close,ob,,-0.1043416100524262,286,-0.0608953267467316,0.2239214886794901,0.4265734265734265,2852,3880,-0.1055920562358142,-0.3059090474584276,0.1543428538577571,0.47,200,,,,4.757997114455272
BTC/USDT:USDT,2h,is,both,A_close,atr,,0.1320144546940868,352,0.0401172584581485,0.2129268102974705,0.4573863636363636,0,3880,,,,,0,,,,4.757997114455272
BTC/USDT:USDT,2h,is,both,B_open,ob,,-0.0189418006155194,295,-0.0257704800940288,0.177238054978179,0.4406779661016949,2854,3880,-0.0757853948547366,-0.3177556571987431,0.1981854845759595,0.32,200,,,,4.757997114455272
BTC/USDT:USDT,2h,is,both,B_open,atr,,0.1754363207360102,362,0.0496221664620362,0.1880812275887439,0.4613259668508287,0,3880,,,,,0,,,,4.757997114455272
BTC/USDT:USDT,2h,oos_warm,long,A_close,ob,,-0.1661075878394202,74,-0.2667205619329647,0.2052353625742392,0.3648648648648648,692,5816,-0.046700447074025,-0.1677352321413853,0.1089341742461851,0.975,200,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,long,A_close,atr,,-0.154157622696048,85,-0.1977333360179894,0.1781520841003204,0.3764705882352941,0,5816,,,,,0,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,long,B_open,ob,,-0.1424262188812566,76,-0.223195622880454,0.1945304208139566,0.3815789473684211,692,5816,-0.0417258702800936,-0.168344223821332,0.1078759107596577,0.925,200,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,long,B_open,atr,,-0.1422435003115493,86,-0.1789877636171124,0.1774627850396594,0.3837209302325581,0,5816,,,,,0,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,short,A_close,ob,,-0.1929409301650635,82,-0.309501177259928,0.1929409301650635,0.3414634146341463,740,5816,-0.1301462015796124,-0.2442884055003721,-0.0170274607180161,0.885,200,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,short,A_close,atr,,-0.1575586872590272,103,-0.1696954795151206,0.1723846586985092,0.3786407766990291,0,5816,,,,,0,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,short,B_open,ob,,-0.1816987185437426,83,-0.2891166948916085,0.1816987185437426,0.3493975903614458,740,5816,-0.1223537125503134,-0.2475790848823164,0.0081686847311772,0.79,200,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,short,B_open,atr,,-0.1273254313836458,106,-0.1285466045140645,0.1537528565041265,0.3962264150943396,0,5816,,,,,0,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,both,A_close,ob,,-0.3269995654992714,156,-0.2892078084509838,0.3529002096378734,0.3525641025641026,1432,5816,-0.1774697934127037,-0.334178343365156,-0.0231361368673398,0.975,200,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,both,A_close,atr,,-0.2712897622310779,186,-0.1723307303668308,0.2962407936779478,0.3817204301075269,0,5816,,,,,0,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,both,B_open,ob,,-0.298246275967244,159,-0.257607251666151,0.3352399434822957,0.3647798742138364,1432,5816,-0.1542639202903994,-0.3378401698429227,0.0298099427886751,0.94,200,,,,0.0798413471801482
BTC/USDT:USDT,2h,oos_warm,both,B_open,atr,,-0.2345054392256589,190,-0.1409812396540652,0.2798566427611443,0.3947368421052631,0,5816,,,,,0,,,,0.0798413471801482
BTC/USDT:USDT,4h,is,long,A_close,ob,,0.0842084896225947,78,0.1143377886285632,0.1005159947534704,0.5,744,1952,0.037392238548718,-0.1052066437731255,0.1849594606077617,0.26,200,,,,4.737081522462245
BTC/USDT:USDT,4h,is,long,A_close,atr,,-0.0104883939193539,89,-0.0031795871266352,0.0951881781635536,0.4382022471910112,0,1952,,,,,0,,,,4.737081522462245
BTC/USDT:USDT,4h,is,long,B_open,ob,,0.1041346673205456,81,0.1330174969422851,0.0869121983818097,0.5061728395061729,744,1952,0.0623094407853698,-0.1138459372552732,0.2731093891054801,0.32,200,,,,4.737081522462245
BTC/USDT:USDT,4h,is,long,B_open,atr,,0.0200331410022996,93,0.0299608380018094,0.1041870056080069,0.4516129032258064,0,1952,,,,,0,,,,4.737081522462245
BTC/USDT:USDT,4h,is,short,A_close,ob,,-0.1833184665782168,75,-0.3189251086137706,0.2274142858706494,0.3066666666666666,705,1952,-0.002575690529027,-0.1513724315862031,0.1407250217822911,0.995,200,,,,4.737081522462245
BTC/USDT:USDT,4h,is,short,A_close,atr,,0.0065805673999679,93,0.0149941732893381,0.0709476964989479,0.4301075268817204,0,1952,,,,,0,,,,4.737081522462245
