symbol,timeframe,min_stop_distance_fraction,total_return,num_trades,win_rate,profit_factor
BTC/USDT:USDT,4h,0.0,0.05265911312970875,22,0.36363636363636365,1.35751502684328
BTC/USDT:USDT,4h,0.005,0.05265911312970875,22,0.36363636363636365,1.35751502684328
BTC/USDT:USDT,4h,0.01,0.03654759831681567,21,0.3333333333333333,1.2519869836325066
BTC/USDT:USDT,1h,0.0,0.19281075697199304,68,0.27941176470588236,1.4093137413477597
BTC/USDT:USDT,1h,0.005,0.2562893492540552,58,0.3275862068965517,1.6041295352205183
BTC/USDT:USDT,1h,0.01,0.12183955262043128,35,0.3142857142857143,1.4459023403513542
BTC/USDT:USDT,1d,0.0,-0.030334659993718198,3,0.0,0.0
BTC/USDT:USDT,1d,0.005,-0.030334659993718198,3,0.0,0.0
BTC/USDT:USDT,1d,0.01,-0.030334659993718198,3,0.0,0.0
ETH/USDT:USDT,4h,0.0,0.004680727427949387,18,0.3888888888888889,1.040644049658121
ETH/USDT:USDT,4h,0.005,0.004680727427949387,18,0.3888888888888889,1.040644049658121
ETH/USDT:USDT,4h,0.01,0.015822218653742674,17,0.4117647058823529,1.151759191408649
ETH/USDT:USDT,1h,0.0,-0.01564000324439003,76,0.35526315789473684,0.9683999193460836
ETH/USDT:USDT,1h,0.005,-0.05841476554018572,71,0.3380281690140845,0.8765852465130272
ETH/USDT:USDT,1h,0.01,-0.04862451185444279,57,0.3684210526315789,0.8704512820689078
ETH/USDT:USDT,1d,0.0,-0.01397468104458767,5,0.4,0.5443479588526262
ETH/USDT:USDT,1d,0.005,-0.01397468104458767,5,0.4,0.5443479588526262
ETH/USDT:USDT,1d,0.01,-0.01397468104458767,5,0.4,0.5443479588526262
SOL/USDT:USDT,4h,0.0,0.10053544836521978,28,0.2857142857142857,1.4711970493215436
SOL/USDT:USDT,4h,0.005,0.10053544836521978,28,0.2857142857142857,1.4711970493215436
SOL/USDT:USDT,4h,0.01,0.10053544836521978,28,0.2857142857142857,1.4711970493215436
SOL/USDT:USDT,1h,0.0,-0.020070162124436682,70,0.34285714285714286,0.9580504930844123
SOL/USDT:USDT,1h,0.005,-0.01412728642262664,69,0.34782608695652173,0.9701248412953739
SOL/USDT:USDT,1h,0.01,-0.015040321115436564,57,0.38596491228070173,0.9615382027386915
SOL/USDT:USDT,1d,0.0,-0.018894698208181397,4,0.25,0.3792016545166705
SOL/USDT:USDT,1d,0.005,-0.018894698208181397,4,0.25,0.3792016545166705
SOL/USDT:USDT,1d,0.01,-0.018894698208181397,4,0.25,0.3792016545166705
