barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,lens,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
zone,BTC/USDT:USDT,1h,is,default,-1,286.0,162.0,0.0452481728732314,0.134116583939256,0.4938271604938271,baseline,0.003,0.25,0.0750744835809707,1.3271491073623614,-1.1464617347423371,0.1402391536352589,0.4560956614541036,0.0377314990397235,1.058280562505599,0.5864197530864198,0.0077124893990967,0.0734265734265734
zone,BTC/USDT:USDT,1h,is,filter_bot3,-1,72.0,54.0,0.1301945580163146,0.054742666189012,0.6296296296296297,baseline,0.003,0.25,0.3559377072198834,1.287448838266169,-1.227631215558802,0.2332511644932982,0.4933004657973193,0.1363291638323103,1.8575693956414767,0.925925925925926,0.0057925178078643,0.1944444444444444
zone,BTC/USDT:USDT,1h,is,matched_random,0,72.0,54.0,0.0257314609092205,0.0753716869562682,0.5,baseline,0.003,0.25,0.0824599131116028,1.326232504425544,-1.1613126782023382,0.1450188592375691,0.4580075436950276,0.0419924563049723,1.104376158688876,0.6481481481481481,0.0076832462068246,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,1,72.0,59.0,-0.0920584995362214,0.1289183751055239,0.4067796610169492,baseline,0.003,0.25,-0.1425160302247248,1.319442919980147,-1.1450021675080655,0.137259256044712,0.4549037024178848,-0.0481240414009356,0.6942330818914851,0.6610169491525424,0.0076346917272645,0.0555555555555555
zone,BTC/USDT:USDT,1h,is,matched_random,2,72.0,57.0,0.0286368864392976,0.0764274619285049,0.4912280701754385,baseline,0.003,0.25,0.0755738361933008,1.340295881790717,-1.1455371043835143,0.1302166647003103,0.4520866658801242,0.0391414042953143,1.1072822302076049,0.5789473684210527,0.0078829824436346,0.0555555555555555
zone,BTC/USDT:USDT,1h,is,matched_random,3,72.0,56.0,-0.0421229140594965,0.0881806610141556,0.4107142857142857,baseline,0.003,0.25,-0.1400800194843964,1.3411191468583703,-1.1724309536020825,0.1532850268688572,0.4613140107475429,-0.0505997250332572,0.8446374168836491,0.6785714285714286,0.0074534496103283,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,4,72.0,60.0,-0.0227370790138897,0.0721952274901146,0.45,baseline,0.003,0.25,-0.030797905021423,1.333166364610901,-1.146768671084234,0.1356522845144492,0.4542609138057797,-0.0042609138057796,0.9222302512152928,0.6666666666666666,0.0076666499591217,0.1111111111111111
zone,BTC/USDT:USDT,1h,is,matched_random,5,72.0,59.0,-0.0547655789669775,0.0993003424709617,0.4067796610169492,baseline,0.003,0.25,-0.14096939085189,1.3351292620110362,-1.1531513242436109,0.1376082522743318,0.4550433009097327,-0.0482636398927835,0.8212930520237695,0.5254237288135594,0.0078930031358985,0.0416666666666666
zone,BTC/USDT:USDT,1h,is,matched_random,6,72.0,52.0,-0.0772220334443585,0.1064825975782198,0.4038461538461538,baseline,0.003,0.25,-0.1279830438280426,1.3387788503673017,-1.1215959398958564,0.1184976569951195,0.4473990627980478,-0.0435529089518939,0.7345520078367024,0.4807692307692308,0.0084995142749523,0.1111111111111111
zone,BTC/USDT:USDT,1h,is,matched_random,7,72.0,53.0,-0.0701038892751938,0.1241194098372601,0.4150943396226415,baseline,0.003,0.25,-0.134415953762999,1.3070121981948255,-1.1573649648298423,0.1513970461782448,0.4605588184712979,-0.0454644788486564,0.7407349554430946,0.6981132075471698,0.0074477429978674,0.0972222222222222
zone,BTC/USDT:USDT,1h,is,matched_random,8,72.0,58.0,0.0403718354590164,0.0581135689503774,0.5517241379310345,baseline,0.003,0.25,0.2230469275603707,1.3161516962744813,-1.122312787780073,0.1369936661857184,0.4547974664742874,0.096926671456747,1.1538773727082872,0.5517241379310345,0.00785929578041,0.0555555555555555
zone,BTC/USDT:USDT,1h,is,matched_random,9,72.0,58.0,-0.0786448109652346,0.0808213118223173,0.396551724137931,baseline,0.003,0.25,-0.1799311429220029,1.3161249794349144,-1.1630537376136914,0.1550189132250171,0.4620075652900068,-0.0654558411520757,0.7307648045744919,0.6551724137931034,0.0074078310316642,0.0694444444444444
zone,BTC/USDT:USDT,1h,is,matched_random,10,72.0,58.0,-0.0387778717428966,0.0709211949167148,0.4310344827586206,baseline,0.003,0.25,-0.0582036374857602,1.351163284811472,-1.1259058513473,0.1142892772552247,0.4457157109020898,-0.0146812281434691,0.8787246152244066,0.4827586206896552,0.0085065910038215,0.0555555555555555
zone,BTC/USDT:USDT,1h,is,matched_random,11,72.0,54.0,-0.0299747319354259,0.0875458431811432,0.4444444444444444,baseline,0.003,0.25,-0.0409558914506584,1.3354239470767355,-1.142059762272574,0.1296083628126144,0.4518433451250457,-0.0073989006806013,0.8897738978298438,0.6851851851851852,0.0079399082511596,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,12,72.0,58.0,0.0614903344895914,0.0442149539448726,0.5172413793103449,baseline,0.003,0.25,0.1344554205482043,1.338355586154016,-1.1554376140294509,0.1323182376348797,0.4529272950539519,0.0643140842563929,1.2404423878455022,0.5689655172413793,0.0076854277632721,0.0555555555555555
zone,BTC/USDT:USDT,1h,is,matched_random,13,72.0,58.0,-0.0493885238104285,0.0757455176226923,0.4310344827586206,baseline,0.003,0.25,-0.0843758405920819,1.3220852356603208,-1.1498766559348117,0.1445985530481919,0.4578394212192768,-0.0268049384606561,0.8314366160751151,0.5689655172413793,0.0076425650105208,0.0694444444444444
zone,BTC/USDT:USDT,1h,is,matched_random,14,72.0,56.0,0.0125849807683418,0.0879434230418904,0.4821428571428571,baseline,0.003,0.25,0.0564208630901106,1.3359217964161616,-1.1348386265582815,0.140839130405232,0.4563356521620928,0.0258072049807643,1.0458461505331471,0.5714285714285714,0.0079435651951986,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,15,72.0,60.0,-0.0405204185650945,0.0527543271834794,0.45,baseline,0.003,0.25,-0.0244393914472711,1.3341575812527862,-1.136018732747318,0.121273021260765,0.448509208504306,0.0014907914956939,0.8675612853146056,0.5166666666666667,0.0080040699663716,0.0277777777777777
zone,BTC/USDT:USDT,1h,is,matched_random,16,72.0,49.0,0.0109423695983428,0.0790119506932035,0.5102040816326531,baseline,0.003,0.25,0.1202020939707698,1.3197216916790877,-1.1292974869753944,0.1434895034775191,0.4573958013910076,0.0528082802416454,1.0486232722740425,0.5714285714285714,0.007769091302652,0.0833333333333333
zone,BTC/USDT:USDT,1h,is,matched_random,17,72.0,56.0,-0.0814548209817779,0.1366667320436866,0.375,baseline,0.003,0.25,-0.2235884270444904,1.3376207084977605,-1.1603139083698408,0.1389546570234841,0.4555818628093936,-0.0805818628093936,0.7275900063172561,0.6071428571428571,0.0077670714532694,0.0972222222222222
zone,BTC/USDT:USDT,1h,is,matched_random,18,72.0,58.0,-0.0165232991852653,0.06715326565557,0.4655172413793103,baseline,0.003,0.25,0.0156011186749311,1.3372185944955006,-1.1354850699429844,0.1440846178547726,0.457633847141909,0.0078833942374013,0.9435260587474492,0.6206896551724138,0.0080473197353395,0.0972222222222222
zone,BTC/USDT:USDT,1h,is,matched_random,19,72.0,60.0,-0.0173703049909361,0.0791263641931455,0.45,baseline,0.003,0.25,-0.0194661134836377,1.352849347034584,-1.1422696720894556,0.1352888633845664,0.4541155453538265,-0.0041155453538265,0.9420814316447832,0.55,0.0080307087092881,0.0416666666666666
zone,BTC/USDT:USDT,1h,is,matched_random,-1,72.0,56.65,-0.0265953454404693,0.0845507107815051,0.4494668501444117,baseline,0.003,0.25,-0.0319981307225044,1.3318985788513331,-1.145001685470536,0.137284592519079,0.4549138370076316,-0.0054469868632198,0.9134793526639704,0.5943892221005308,0.007838236277943,0.0729166666666666
atr,BTC/USDT:USDT,1h,is,default,-1,286.0,189.0,0.150425272828808,0.1377390991292911,0.4814814814814814,baseline,0.003,0.25,0.0631048003770154,1.3621876143461435,-1.143186384022889,0.1281091656111785,0.4512436662444714,0.03023781523701,1.142966943752766,0.5873015873015873,0.008347909162071,0.0209790209790209
atr,BTC/USDT:USDT,1h,is,filter_bot3,-1,72.0,61.0,0.2043859648284322,0.0402360303824365,0.5573770491803278,baseline,0.003,0.25,0.2672694990579018,1.3914133019748895,-1.1483189935042308,0.1127441493287825,0.445097659731513,0.1122793894488147,1.735028219237631,0.4918032786885246,0.008672887769497,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,0,72.0,62.0,0.1081229538422441,0.0524934769588847,0.532258064516129,baseline,0.003,0.25,0.1854391178044405,1.3541129614291556,-1.1444311180443731,0.1358437969847085,0.4543375187938833,0.0779205457222456,1.372533550729044,0.6774193548387096,0.0081538829171365,0.0138888888888888
atr,BTC/USDT:USDT,1h,is,matched_random,1,72.0,65.0,-0.0129206643120513,0.0798576130579724,0.4615384615384615,baseline,0.003,0.25,0.0034861844968558,1.3415508601363335,-1.1434263946226964,0.125775397848522,0.4503101591394088,0.0112283023990527,0.9611628766525652,0.6153846153846154,0.0080944746751572,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,2,72.0,65.0,-0.0352034051221444,0.0888549095525761,0.4,baseline,0.003,0.25,-0.1475177814846605,1.3712101636007032,-1.1600030782082364,0.130300722895116,0.4521202891580464,-0.0521202891580463,0.8980616268646302,0.5846153846153846,0.0081822623687021,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,3,72.0,64.0,0.0585773298179361,0.0521770479439556,0.46875,baseline,0.003,0.25,0.0257532926396475,1.367916825985993,-1.1585086485483045,0.1299127145333156,0.4519650858133263,0.0167849141866737,1.1869256359884683,0.578125,0.0081126159158419,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,4,72.0,66.0,-0.095030359040416,0.1149571406914093,0.3787878787878788,baseline,0.003,0.25,-0.197577242889593,1.3604640743496077,-1.14760243632813,0.1334792159674878,0.4533916863869951,-0.0746038075991163,0.7367222857424541,0.7121212121212122,0.0081044136117831,0.0138888888888888
atr,BTC/USDT:USDT,1h,is,matched_random,5,72.0,65.0,-0.1094256623770872,0.1760829612624552,0.3692307692307692,baseline,0.003,0.25,-0.2239096713863662,1.3427914558490883,-1.1410030141583396,0.1303010747106888,0.4521204298842755,-0.0828896606535062,0.7125545459214315,0.6153846153846154,0.0082375776464316,0.0138888888888888
atr,BTC/USDT:USDT,1h,is,matched_random,6,72.0,58.0,0.0536575766008883,0.0728499275440305,0.5,baseline,0.003,0.25,0.106626890613216,1.3539501321387886,-1.1406963509123569,0.1284751629424225,0.451390065176969,0.048609934823031,1.1877151835062991,0.5689655172413793,0.0084028733215228,0.0277777777777777
atr,BTC/USDT:USDT,1h,is,matched_random,7,72.0,61.0,0.0183644954305551,0.0830141038353388,0.4590163934426229,baseline,0.003,0.25,0.0059128762813282,1.3606719791664703,-1.1435796958636406,0.1357674562104033,0.4543069824841613,0.0047094109584616,1.0586661264895192,0.6229508196721312,0.0082621617462199,0.0138888888888888
atr,BTC/USDT:USDT,1h,is,matched_random,8,72.0,66.0,0.192073519776337,0.0510221066165964,0.5757575757575758,baseline,0.003,0.25,0.2975573804007584,1.360298992429355,-1.144734807352337,0.1215696323721626,0.4486278529488651,0.1271297228087107,1.6600487716191974,0.5606060606060606,0.0083522268161811,0.0
atr,BTC/USDT:USDT,1h,is,matched_random,9,72.0,57.0,-0.0198206988510559,0.0580753727614086,0.4035087719298245,baseline,0.003,0.25,-0.155771784777004,1.3516844809069215,-1.1755216115631892,0.154333329498731,0.4617333317994924,-0.0582245598696678,0.9270708831815452,0.7192982456140351,0.0075797979640566,0.0555555555555555
atr,BTC/USDT:USDT,1h,is,matched_random,10,72.0,65.0,0.0307565003958839,0.0713293616858687,0.4615384615384615,baseline,0.003,0.25,0.0131707583987092,1.3667074260459993,-1.1470035281561108,0.1176468477697096,0.4470587391078838,0.0144797224305777,1.0895733752129424,0.4769230769230769,0.0084677304990232,0.0138888888888888
atr,BTC/USDT:USDT,1h,is,matched_random,11,72.0,61.0,0.0612464757239598,0.0813908523730914,0.5081967213114754,baseline,0.003,0.25,0.128906956882255,1.3574699620308628,-1.140608148437973,0.1394217358783308,0.4557686943513324,0.052428026960143,1.210957489755338,0.6557377049180327,0.0081389846702559,0.0416666666666666
