symbol,timeframe,segment,fill,cost_multiplier,total_return,num_trades,win_rate
ETH/USDT:USDT,15m,OOS,pen_5bp,1.0,0.3848958063585455,264,0.5265151515151515
ETH/USDT:USDT,15m,OOS,pen_5bp,1.5,0.21690038902180694,264,0.5265151515151515
ETH/USDT:USDT,15m,OOS,pen_5bp,2.0,0.0692379449844415,264,0.5265151515151515
ETH/USDT:USDT,1h,IS,baseline,1.0,0.16554634900370838,148,0.5135135135135135
ETH/USDT:USDT,1h,IS,baseline,1.5,0.09979586800322596,148,0.5135135135135135
ETH/USDT:USDT,1h,IS,baseline,2.0,0.03773779402535692,148,0.5135135135135135
ETH/USDT:USDT,1h,IS,pen_5bp,1.0,0.14718570232980346,146,0.5068493150684932
ETH/USDT:USDT,1h,IS,pen_5bp,1.5,0.08366149372589389,146,0.5068493150684932
ETH/USDT:USDT,1h,IS,pen_5bp,2.0,0.023638821012729933,146,0.5068493150684932
ETH/USDT:USDT,1h,OOS,baseline,1.0,0.216215553851569,85,0.5647058823529412
ETH/USDT:USDT,1h,OOS,baseline,1.5,0.17623939163350516,85,0.5647058823529412
ETH/USDT:USDT,1h,OOS,baseline,2.0,0.1375670371049082,85,0.5647058823529412
ETH/USDT:USDT,1h,OOS,pen_5bp,1.0,0.1742681660443184,81,0.5432098765432098
ETH/USDT:USDT,1h,OOS,pen_5bp,1.5,0.1381698475744788,81,0.5432098765432098
ETH/USDT:USDT,1h,OOS,pen_5bp,2.0,0.1031722496465467,81,0.5432098765432098
ETH/USDT:USDT,4h,IS,baseline,1.0,0.050835802423045605,30,0.5
ETH/USDT:USDT,4h,IS,baseline,1.5,0.04264649316737214,30,0.5
ETH/USDT:USDT,4h,IS,baseline,2.0,0.03451975734730149,30,0.5
ETH/USDT:USDT,4h,IS,pen_5bp,1.0,0.035966777089029164,29,0.4827586206896552
ETH/USDT:USDT,4h,IS,pen_5bp,1.5,0.028093696648268995,29,0.4827586206896552
ETH/USDT:USDT,4h,IS,pen_5bp,2.0,0.02027922207305055,29,0.4827586206896552
ETH/USDT:USDT,4h,OOS,baseline,1.0,0.07566882458445943,20,0.6
ETH/USDT:USDT,4h,OOS,baseline,1.5,0.07065369931930982,20,0.6
ETH/USDT:USDT,4h,OOS,baseline,2.0,0.06566109691367547,20,0.6
ETH/USDT:USDT,4h,OOS,pen_5bp,1.0,0.07566050047828231,20,0.6
ETH/USDT:USDT,4h,OOS,pen_5bp,1.5,0.07064541324435031,20,0.6
ETH/USDT:USDT,4h,OOS,pen_5bp,2.0,0.06565284870289378,20,0.6
ETH/USDT:USDT,1d,IS,baseline,1.0,0.022609753444698982,5,0.6
ETH/USDT:USDT,1d,IS,baseline,1.5,0.022085274320536884,5,0.6
ETH/USDT:USDT,1d,IS,baseline,2.0,0.021561091148289052,5,0.6
ETH/USDT:USDT,1d,IS,pen_5bp,1.0,0.022609753444698982,5,0.6
ETH/USDT:USDT,1d,IS,pen_5bp,1.5,0.022085274320536884,5,0.6
ETH/USDT:USDT,1d,IS,pen_5bp,2.0,0.021561091148289052,5,0.6
ETH/USDT:USDT,1d,OOS,baseline,1.0,-0.006706446885225887,7,0.42857142857142855
ETH/USDT:USDT,1d,OOS,baseline,1.5,-0.007673295172956023,7,0.42857142857142855
ETH/USDT:USDT,1d,OOS,baseline,2.0,-0.008639199964252293,7,0.42857142857142855
ETH/USDT:USDT,1d,OOS,pen_5bp,1.0,-0.006706446885225887,7,0.42857142857142855
ETH/USDT:USDT,1d,OOS,pen_5bp,1.5,-0.007673295172956023,7,0.42857142857142855
ETH/USDT:USDT,1d,OOS,pen_5bp,2.0,-0.008639199964252293,7,0.42857142857142855
SOL/USDT:USDT,15m,IS,baseline,1.0,0.8656988117971574,609,0.5155993431855501
SOL/USDT:USDT,15m,IS,baseline,1.5,0.39359827919267976,609,0.5155993431855501
SOL/USDT:USDT,15m,IS,baseline,2.0,0.04086047275305609,609,0.5155993431855501
SOL/USDT:USDT,15m,IS,pen_5bp,1.0,0.2686996514395716,571,0.4746059544658494
SOL/USDT:USDT,15m,IS,pen_5bp,1.5,-0.033220475208636344,571,0.4746059544658494
SOL/USDT:USDT,15m,IS,pen_5bp,2.0,-0.2633554936084847,571,0.4746059544658494
SOL/USDT:USDT,15m,OOS,baseline,1.0,0.16580043667249464,291,0.5120274914089347
SOL/USDT:USDT,15m,OOS,baseline,1.5,0.008438406378723267,291,0.5120274914089347
SOL/USDT:USDT,15m,OOS,baseline,2.0,-0.1277251100487114,291,0.5120274914089347
SOL/USDT:USDT,15m,OOS,pen_5bp,1.0,0.05601086529307904,282,0.48226950354609927
SOL/USDT:USDT,15m,OOS,pen_5bp,1.5,-0.08198171334844027,282,0.48226950354609927
SOL/USDT:USDT,15m,OOS,pen_5bp,2.0,-0.2019797591683415,282,0.48226950354609927
SOL/USDT:USDT,1h,IS,baseline,1.0,0.2856327300052337,157,0.5159235668789809
SOL/USDT:USDT,1h,IS,baseline,1.5,0.21983760297016453,157,0.5159235668789809
SOL/USDT:USDT,1h,IS,baseline,2.0,0.1573953282204293,157,0.5159235668789809
SOL/USDT:USDT,1h,IS,pen_5bp,1.0,0.2545394977957787,151,0.5099337748344371
SOL/USDT:USDT,1h,IS,pen_5bp,1.5,0.19381730049965554,151,0.5099337748344371
SOL/USDT:USDT,1h,IS,pen_5bp,2.0,0.13602114106842345,151,0.5099337748344371
SOL/USDT:USDT,1h,OOS,baseline,1.0,0.05557517526105512,72,0.4861111111111111
SOL/USDT:USDT,1h,OOS,baseline,1.5,0.02791876902218337,72,0.4861111111111111
SOL/USDT:USDT,1h,OOS,baseline,2.0,0.0009802688878764456,72,0.4861111111111111
SOL/USDT:USDT,1h,OOS,pen_5bp,1.0,0.04077785182803273,69,0.4782608695652174
SOL/USDT:USDT,1h,OOS,pen_5bp,1.5,0.014811838365079892,69,0.4782608695652174
SOL/USDT:USDT,1h,OOS,pen_5bp,2.0,-0.010512579863864266,69,0.4782608695652174
SOL/USDT:USDT,4h,IS,baseline,1.0,0.03296811339906908,40,0.45
SOL/USDT:USDT,4h,IS,baseline,1.5,0.025897872482176898,40,0.45
SOL/USDT:USDT,4h,IS,baseline,2.0,0.018875876211682043,40,0.45
SOL/USDT:USDT,4h,IS,pen_5bp,1.0,0.03300696619452701,40,0.45
SOL/USDT:USDT,4h,IS,pen_5bp,1.5,0.02593646715130908,40,0.45
SOL/USDT:USDT,4h,IS,pen_5bp,2.0,0.018914214463989266,40,0.45
SOL/USDT:USDT,4h,OOS,baseline,1.0,0.1040938587400913,19,0.631578947368421
SOL/USDT:USDT,4h,OOS,baseline,1.5,0.09916441456327084,19,0.631578947368421
SOL/USDT:USDT,4h,OOS,baseline,2.0,0.09425641903834567,19,0.631578947368421
SOL/USDT:USDT,4h,OOS,pen_5bp,1.0,0.1040938587400913,19,0.631578947368421
SOL/USDT:USDT,4h,OOS,pen_5bp,1.5,0.09916441456327084,19,0.631578947368421
