check,arm,segment,metric,left,right,abs_diff
a WAN-388 같은 팔,split_every,full,num_trades,49431.0,49431.0,0.0
a WAN-388 같은 팔,split_every,full,win_rate,0.40426048431146444,0.4042604843114644,5.551115123125783e-17
a WAN-388 같은 팔,split_every,full,mean_net_r,-0.09810767893188604,-0.098107678931886,4.163336342344337e-17
a WAN-388 같은 팔,split_every,full,gross_r,0.07690242690732474,0.0769024269073247,4.163336342344337e-17
a WAN-388 같은 팔,split_every,full,cost_r,0.17501010583920915,0.1750101058392091,5.551115123125783e-17
a WAN-388 같은 팔,split_every,full,stop_width_p50,0.008608235529573184,0.0086082355295731,8.500145032286355e-17
a WAN-388 같은 팔,split_every,full,retap_trades,15794.0,15794.0,0.0
a WAN-388 같은 팔,split_every,full,reentry_trades,6216.0,6216.0,0.0
a WAN-388 같은 팔,split_every,full,total_return_flat,-29.418246687520018,-29.418246687520018,0.0
a WAN-388 같은 팔,split_every,full,max_drawdown,20.65579126431821,20.65579126431821,0.0
a WAN-388 같은 팔,split_every,oos_warm,num_trades,14825.0,14825.0,0.0
a WAN-388 같은 팔,split_every,oos_warm,win_rate,0.4008094435075885,0.4008094435075885,0.0
a WAN-388 같은 팔,split_every,oos_warm,mean_net_r,-0.11941478623732331,-0.1194147862373233,1.3877787807814457e-17
a WAN-388 같은 팔,split_every,oos_warm,gross_r,0.07654604116592223,0.0765460411659222,2.7755575615628914e-17
a WAN-388 같은 팔,split_every,oos_warm,cost_r,0.1959608274032462,0.1959608274032462,0.0
a WAN-388 같은 팔,split_every,oos_warm,stop_width_p50,0.007237420176222316,0.0072374201762223,1.5612511283791264e-17
a WAN-388 같은 팔,split_every,oos_warm,retap_trades,4824.0,4824.0,0.0
a WAN-388 같은 팔,split_every,oos_warm,reentry_trades,1591.0,1591.0,0.0
a WAN-388 같은 팔,split_every,oos_warm,total_return_flat,-11.06157160318877,-11.06157160318877,0.0
a WAN-388 같은 팔,split_every,oos_warm,max_drawdown,9.956212511599691,9.956212511599691,0.0
b 재진입 축이 실제로 걸렸나,split_every_no_reentry,full,reentry_trades,0.0,0.0,0.0
b 재진입 축이 실제로 걸렸나,split_every_no_reentry,oos_warm,reentry_trades,0.0,0.0,0.0
b 재진입 축이 실제로 걸렸나,split_once_no_reentry,full,reentry_trades,0.0,0.0,0.0
b 재진입 축이 실제로 걸렸나,split_once_no_reentry,oos_warm,reentry_trades,0.0,0.0,0.0
c 재탭 축이 실제로 걸렸나,split_once,full,retap_trades,0.0,0.0,0.0
c 재탭 축이 실제로 걸렸나,split_once,oos_warm,retap_trades,0.0,0.0,0.0
c 재탭 축이 실제로 걸렸나,split_once_no_reentry,full,retap_trades,0.0,0.0,0.0
c 재탭 축이 실제로 걸렸나,split_once_no_reentry,oos_warm,retap_trades,0.0,0.0,0.0
d 팔 사이 좌표 불변,split_every_no_reentry,full,num_cells,48.0,48.0,0.0
d 팔 사이 좌표 불변,split_every_no_reentry,full,num_symbols,12.0,12.0,0.0
d 팔 사이 좌표 불변,split_every_no_reentry,oos_warm,num_cells,48.0,48.0,0.0
d 팔 사이 좌표 불변,split_every_no_reentry,oos_warm,num_symbols,12.0,12.0,0.0
d 팔 사이 좌표 불변,split_once,full,num_cells,48.0,48.0,0.0
d 팔 사이 좌표 불변,split_once,full,num_symbols,12.0,12.0,0.0
d 팔 사이 좌표 불변,split_once,oos_warm,num_cells,48.0,48.0,0.0
d 팔 사이 좌표 불변,split_once,oos_warm,num_symbols,12.0,12.0,0.0
d 팔 사이 좌표 불변,split_once_no_reentry,full,num_cells,48.0,48.0,0.0
d 팔 사이 좌표 불변,split_once_no_reentry,full,num_symbols,12.0,12.0,0.0
d 팔 사이 좌표 불변,split_once_no_reentry,oos_warm,num_cells,48.0,48.0,0.0
d 팔 사이 좌표 불변,split_once_no_reentry,oos_warm,num_symbols,12.0,12.0,0.0
