segment,axis,bucket,metric,conditional,num_bars,p25,p50,p75,p90,p99,share_above_5bp,percentile_of_5bp
full,overall,전체,bar_range_bp,True,29451,39.90951412873206,76.03576893919212,177.14636499166957,475.4054772666842,1893.053473263369,0.9985059930053309,0.0014940069946691114
full,overall,전체,adverse_bp,True,29451,7.173233844409438,20.811654526535207,58.17750258731158,159.90768216287483,748.1296758104729,0.8073749618009575,0.19262503819904248
full,symbol,ADA/USDT:USDT,bar_range_bp,True,2533,41.1656375257288,74.82229704451795,176.16470338533466,502.69959615456844,2076.822916666667,1.0,0.0
full,symbol,ADA/USDT:USDT,adverse_bp,True,2533,7.1123755334273815,20.646937370957147,57.00325732899073,167.98111225450575,774.4750584006252,0.8006316620607975,0.19936833793920253
full,symbol,ADA/USDT:USDT,bar_range_bp,False,3074948,8.107012565868585,12.74047649382074,20.56907781967739,32.77792952745246,78.53582754873672,0.918895539046514,0.08110446095348604
full,symbol,BCH/USDT:USDT,bar_range_bp,True,2674,42.18836321313919,82.75931042242257,198.03950838433687,505.682318738436,1494.5608702607594,0.9985041136873598,0.0014958863126402393
full,symbol,BCH/USDT:USDT,adverse_bp,True,2674,8.416973723914948,22.296395737298518,69.69903777205764,169.55359055856945,825.7415967329357,0.8302169035153328,0.16978309648466716
full,symbol,BCH/USDT:USDT,bar_range_bp,False,3074948,6.212879047013509,10.4612559912042,17.579393893070648,28.842383106858225,72.36892406127795,0.8274517162566651,0.17254828374333483
full,symbol,BNB/USDT:USDT,bar_range_bp,True,2251,30.96009771391168,56.84531783288869,119.91476112322093,286.22956041165406,1346.25838014133,0.9977787649933363,0.002221235006663705
full,symbol,BNB/USDT:USDT,adverse_bp,True,2251,5.384890167243501,16.25745133185987,39.010815479148675,95.56907037358769,415.5227036505748,0.7654375832963127,0.23456241670368724
full,symbol,BNB/USDT:USDT,bar_range_bp,False,3074948,4.394731393198113,7.9690937754450575,14.115597735496836,23.800876349428012,62.88503792693344,0.702978066620964,0.297021933379036
full,symbol,BTC/USDT:USDT,bar_range_bp,True,2105,32.012008484775464,60.72710149869291,125.28445006321158,296.21769726991704,764.794565076434,0.9961995249406176,0.003800475059382423
full,symbol,BTC/USDT:USDT,adverse_bp,True,2105,5.896968693059225,16.84052228295966,43.59673024523161,102.2970475490002,390.8675799086758,0.790498812351544,0.20950118764845604
full,symbol,BTC/USDT:USDT,bar_range_bp,False,3074948,3.47390084752997,6.585652308346648,11.689279994641804,19.243997188774195,47.536887930529545,0.6196641374098033,0.38033586259019664
